time,Sacramento,pts.away,score,pts.home,Minnesota
3:59.0,A. Afflalo makes 3-pt shot from 23 ft (assist by T. Lawson),3,114-103,,
3:37.0,,,114-103,,A. Wiggins misses 2-pt shot from 21 ft
3:36.0,Defensive rebound by W. Cauley-Stein,,114-103,,
3:20.0,T. Lawson misses 2-pt shot from 20 ft,,114-103,,
3:19.0,,,114-103,,Defensive rebound by K. Towns
3:14.0,,,114-103,,Shooting foul by T. Lawson (drawn by R. Rubio)
3:14.0,,,114-104,1,R. Rubio makes free throw 1 of 2
3:14.0,,,114-105,1,R. Rubio makes free throw 2 of 2
3:08.0,Turnover by A. Tolliver (traveling),,114-105,,
2:52.0,,,114-105,,S. Muhammad misses 2-pt shot from 11 ft
2:50.0,,,114-105,,Offensive rebound by K. Towns
2:44.0,,,114-105,,A. Payne misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by A. Tolliver,,114-105,,
2:34.0,Sacramento full timeout,,114-105,,
2:34.0,,,114-105,,Minnesota full timeout
2:23.0,A. Tolliver makes 2-pt shot from 2 ft (assist by T. Lawson),2,116-105,,
2:23.0,Shooting foul by S. Muhammad (drawn by A. Tolliver),,116-105,,
2:23.0,A. Tolliver misses free throw 1 of 1,,116-105,,
2:23.0,,,116-105,,Defensive rebound by A. Payne
2:10.0,,,116-105,,K. Towns misses 3-pt shot from 24 ft
2:09.0,,,116-105,,Offensive rebound by S. Muhammad
2:03.0,,,116-105,,A. Wiggins misses 3-pt shot from 28 ft
2:02.0,,,116-105,,Offensive rebound by K. Towns
2:01.0,,,116-107,2,K. Towns makes 2-pt shot from 2 ft
1:39.0,A. Tolliver misses 2-pt shot from 21 ft,,116-107,,
1:38.0,,,116-107,,Defensive rebound by A. Wiggins
1:35.0,,,116-107,,Shooting foul by B. Hield (drawn by A. Wiggins)
1:35.0,,,116-107,,A. Wiggins misses free throw 1 of 2
1:35.0,,,116-107,,Offensive rebound by Team
1:35.0,,,116-107,,A. Wiggins misses free throw 2 of 2
1:35.0,,,116-107,,K. Dunn enters the game for S. Muhammad
1:35.0,D. Collison enters the game for B. Hield,,116-107,,
1:34.0,,,116-107,,Offensive rebound by Team
1:23.0,,,116-109,2,A. Payne makes 2-pt shot at rim (assist by K. Towns)
1:18.0,,,116-109,,Personal foul by K. Towns (drawn by T. Lawson)
1:18.0,T. Lawson misses free throw 1 of 2,,116-109,,
1:18.0,Offensive rebound by Team,,116-109,,
1:18.0,T. Lawson makes free throw 2 of 2,1,117-109,,
1:10.0,,,117-109,,A. Wiggins misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by Team,,117-109,,
1:09.0,,,117-109,,Loose ball foul by K. Towns (drawn by W. Cauley-Stein)
1:09.0,W. Cauley-Stein makes free throw 1 of 2,1,118-109,,
1:09.0,W. Cauley-Stein makes free throw 2 of 2,1,119-109,,
1:09.0,,,119-109,,Minnesota full timeout
1:02.0,Personal foul by W. Cauley-Stein (drawn by K. Towns),,119-109,,
1:02.0,,,119-110,1,K. Towns makes free throw 1 of 2
1:02.0,,,119-111,1,K. Towns makes free throw 2 of 2
0:53.0,,,119-111,,Personal take foul by K. Dunn (drawn by D. Collison)
0:53.0,D. Collison makes free throw 1 of 2,1,120-111,,
0:53.0,D. Collison makes free throw 2 of 2,1,121-111,,
0:53.0,,,119-111,,T. Jones enters the game for K. Dunn
0:44.0,,,121-113,2,A. Payne makes 2-pt shot from 2 ft
0:42.0,Sacramento full timeout,,121-113,,
0:42.0,Sacramento full timeout,,121-113,,
0:42.0,B. Hield enters the game for A. Afflalo,,121-113,,
0:32.0,Turnover by W. Cauley-Stein (bad pass; steal by T. Jones),,121-113,,
0:28.0,,,121-113,,Shooting foul by B. Hield (drawn by A. Payne)
0:28.0,,,121-113,,A. Payne misses free throw 1 of 2
0:28.0,,,121-113,,Offensive rebound by Team
0:28.0,,,121-113,,A. Payne misses free throw 2 of 2
0:27.0,,,121-113,,Offensive rebound by A. Payne
0:26.0,,,121-113,,Shooting foul by B. Hield (drawn by A. Payne)
0:26.0,,,121-114,1,A. Payne makes free throw 1 of 2
0:26.0,,,121-115,1,A. Payne makes free throw 2 of 2
0:22.0,Turnover by D. Collison (lost ball; steal by R. Rubio),,121-115,,
0:22.0,Jump ball: D. Collison vs. R. Rubio (T. Jones gains possession),,,,Jump ball: D. Collison vs. R. Rubio (T. Jones gains possession)
0:15.0,,,121-115,,K. Towns misses 3-pt shot from 23 ft
0:14.0,,,121-115,,Offensive rebound by R. Rubio
0:08.0,,,121-117,2,A. Wiggins makes 2-pt shot from 1 ft (assist by T. Jones)
0:06.0,,,121-117,,Personal take foul by R. Rubio (drawn by T. Lawson)
0:06.0,T. Lawson misses free throw 1 of 2,,121-117,,
0:06.0,Offensive rebound by Team,,121-117,,
0:06.0,T. Lawson makes free throw 2 of 2,1,122-117,,
0:06.0,,,122-117,,Minnesota full timeout
0:04.0,,,122-117,,Turnover by K. Towns (bad pass; steal by W. Cauley-Stein)
0:03.0,,,122-117,,Personal take foul by A. Payne (drawn by W. Cauley-Stein)
0:03.0,W. Cauley-Stein makes free throw 1 of 2,1,123-117,,
0:03.0,W. Cauley-Stein misses free throw 2 of 2,,123-117,,
0:03.0,,,123-117,,Defensive rebound by K. Towns
0:00.0,End of 4th quarter,,,,End of 4th quarter
