time,Sacramento,pts.away,score,pts.home,LA Clippers
4:09.0,Personal foul by S. Labissiere (drawn by B. Bass),,80-94,,
4:09.0,W. Cauley-Stein enters the game for S. Labissiere,,80-94,,
4:09.0,B. McLemore enters the game for G. Temple,,80-94,,
4:09.0,,,80-94,,W. Johnson enters the game for A. Rivers
3:59.0,,,80-94,,P. Pierce misses 2-pt shot from 19 ft
3:56.0,Defensive rebound by W. Cauley-Stein,,80-94,,
3:48.0,G. Papagiannis makes 2-pt shot from 10 ft (assist by L. Galloway),2,82-94,,
3:32.0,,,82-94,,B. Bass misses 2-pt shot from 12 ft
3:30.0,Defensive rebound by B. Hield,,82-94,,
3:22.0,B. Hield makes 3-pt shot from 26 ft,3,85-94,,
3:07.0,,,85-94,,R. Felton misses 2-pt shot from 2 ft
3:05.0,,,85-94,,Offensive rebound by B. Bass
3:04.0,,,85-94,,B. Bass misses 2-pt shot from 2 ft (block by G. Papagiannis)
3:04.0,,,85-94,,Offensive rebound by B. Bass
3:04.0,,,85-94,,Shooting foul by W. Cauley-Stein (drawn by B. Bass)
3:04.0,,,85-95,1,B. Bass makes free throw 1 of 2
3:04.0,,,85-96,1,B. Bass makes free throw 2 of 2
3:04.0,,,85-95,,C. Paul enters the game for R. Felton
3:04.0,,,85-95,,B. Griffin enters the game for P. Pierce
3:03.0,Sacramento full timeout,,85-96,,
2:54.0,G. Papagiannis makes 2-pt shot from 10 ft (assist by L. Galloway),2,87-96,,
2:36.0,,,87-96,,J. Crawford misses 2-pt shot from 21 ft
2:33.0,Defensive rebound by B. Hield,,87-96,,
2:19.0,B. Hield makes 3-pt shot from 27 ft (assist by L. Galloway),3,90-96,,
2:13.0,,,90-96,,Turnover by B. Griffin (bad pass; steal by B. Hield)
2:10.0,B. Hield makes 3-pt shot from 25 ft,3,93-96,,
2:10.0,,,93-96,,LA Clippers full timeout
2:10.0,,,93-96,,D. Jordan enters the game for B. Bass
