time,Golden State,pts.away,score,pts.home,Washington
6:26.0,,,94-92,,Defensive rebound by M. Morris
6:24.0,,,94-92,,Turnover by M. Morris (bad pass; steal by S. Curry)
6:21.0,S. Curry misses 2-pt shot from 2 ft (block by M. Morris),,94-92,,
6:19.0,Offensive rebound by S. Curry,,94-92,,
5:59.0,D. Green misses 2-pt shot from 19 ft,,94-92,,
5:58.0,Offensive rebound by S. Curry,,94-92,,
5:55.0,S. Curry misses 2-pt shot from 2 ft (block by M. Morris),,94-92,,
5:54.0,Offensive rebound by S. Curry,,94-92,,
5:48.0,Turnover by S. Livingston (lost ball; steal by O. Porter),,94-92,,
5:35.0,,,94-95,3,M. Morris makes 3-pt shot from 26 ft (assist by J. Wall)
5:33.0,Golden State full timeout,,94-95,,
5:33.0,,,94-95,,M. Gortat enters the game for B. Bogdanovic
5:33.0,A. Iguodala enters the game for S. Livingston,,94-95,,
5:20.0,A. Iguodala misses 2-pt shot at rim,,94-95,,
5:19.0,,,94-95,,Defensive rebound by M. Gortat
5:11.0,,,94-95,,O. Porter misses 2-pt shot from 2 ft
5:10.0,Defensive rebound by D. Green,,94-95,,
5:05.0,P. McCaw makes 2-pt shot from 2 ft (assist by S. Curry),2,96-95,,
4:59.0,,,96-95,,Turnover by B. Beal (bad pass; steal by D. Green)
4:56.0,Turnover by S. Curry (lost ball),,96-95,,
4:40.0,,,96-95,,J. Wall misses 2-pt shot from 19 ft
4:39.0,Defensive rebound by J. McAdoo,,96-95,,
4:20.0,A. Iguodala misses 3-pt shot from 26 ft,,96-95,,
4:19.0,Offensive rebound by S. Curry,,96-95,,
4:11.0,,,96-95,,Personal foul by M. Gortat (drawn by S. Curry)
4:11.0,S. Curry makes free throw 1 of 2,1,97-95,,
4:11.0,S. Curry makes free throw 2 of 2,1,98-95,,
4:11.0,K. Thompson enters the game for P. McCaw,,97-95,,
3:53.0,Personal foul by J. McAdoo (drawn by M. Morris),,98-95,,
3:53.0,,,98-96,1,M. Morris makes free throw 1 of 2
3:53.0,,,98-97,1,M. Morris makes free throw 2 of 2
3:35.0,Turnover by D. Green (bad pass; steal by B. Beal),,98-97,,
3:29.0,,,98-97,,J. Wall misses 2-pt shot from 2 ft
3:28.0,,,98-97,,Offensive rebound by M. Gortat
3:28.0,,,98-99,2,M. Gortat makes 2-pt shot from 1 ft
3:07.0,K. Thompson misses 3-pt shot from 27 ft,,98-99,,
3:06.0,Offensive rebound by D. Green,,98-99,,
3:04.0,D. Green makes 2-pt shot from 1 ft,2,100-99,,
2:46.0,,,100-102,3,O. Porter makes 3-pt shot from 26 ft (assist by M. Gortat)
2:39.0,Golden State full timeout,,100-102,,
2:38.0,S. Livingston enters the game for J. McAdoo,,100-102,,
2:17.0,D. Green makes 3-pt shot from 23 ft (assist by S. Livingston),3,103-102,,
1:51.0,,,103-104,2,B. Beal makes 2-pt shot from 12 ft
1:30.0,Turnover by A. Iguodala (bad pass),,103-104,,
1:18.0,Personal foul by S. Livingston (drawn by B. Beal),,103-104,,
1:18.0,,,103-105,1,B. Beal makes free throw 1 of 2
1:18.0,,,103-106,1,B. Beal makes free throw 2 of 2
1:18.0,,,103-105,,K. Oubre enters the game for M. Gortat
1:04.0,D. Green makes 3-pt shot from 27 ft (assist by A. Iguodala),3,106-106,,
0:54.0,,,106-108,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
0:54.0,Golden State full timeout,,106-108,,
0:42.0,S. Curry makes 2-pt shot from 2 ft,2,108-108,,
0:21.0,,,108-108,,J. Wall misses 2-pt shot from 19 ft
0:20.0,,,108-108,,Offensive rebound by O. Porter
0:18.0,,,108-108,,Shooting foul by S. Curry (drawn by O. Porter)
0:18.0,,,108-109,1,O. Porter makes free throw 1 of 2
0:18.0,,,108-110,1,O. Porter makes free throw 2 of 2
0:07.0,S. Curry misses 3-pt shot from 31 ft,,108-110,,
0:06.0,,,108-110,,Defensive rebound by M. Morris
0:04.0,Personal foul by D. Green (drawn by M. Morris),,108-110,,
0:04.0,,,108-111,1,M. Morris makes free throw 1 of 2
0:04.0,,,108-112,1,M. Morris makes free throw 2 of 2
0:04.0,Golden State full timeout,,108-112,,
0:04.0,D. West enters the game for S. Curry,,108-111,,
0:04.0,S. Curry enters the game for D. West,,108-112,,
0:01.0,K. Thompson misses 3-pt shot from 26 ft,,108-112,,
0:00.0,Offensive rebound by Team,,108-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
