time,Chicago,pts.away,score,pts.home,San Antonio
2:50.0,N. Mirotic misses 2-pt shot from 2 ft (block by K. Leonard),,97-113,,
2:48.0,,,97-113,,Defensive rebound by K. Leonard
2:44.0,,,97-113,,Turnover by K. Leonard (bad pass; steal by J. Butler)
2:38.0,J. Butler makes 2-pt shot at rim,2,99-113,,
2:24.0,,,99-113,,T. Parker misses 2-pt shot from 16 ft
2:23.0,,,99-113,,Offensive rebound by P. Gasol
2:23.0,,,99-115,2,P. Gasol makes 2-pt shot at rim
2:23.0,Chicago full timeout,,99-115,,
2:23.0,J. Grant enters the game for J. Butler,,99-115,,
2:23.0,C. Felicio enters the game for T. Gibson,,99-115,,
2:23.0,P. Zipser enters the game for R. Rondo,,99-115,,
2:23.0,D. Valentine enters the game for N. Mirotic,,99-115,,
2:23.0,B. Portis enters the game for D. McDermott,,99-115,,
2:23.0,,,99-115,,K. Anderson enters the game for K. Leonard
2:23.0,,,99-115,,D. Dedmon enters the game for L. Aldridge
2:23.0,,,99-115,,D. Murray enters the game for P. Gasol
2:23.0,,,99-115,,J. Simmons enters the game for T. Parker
2:23.0,,,99-115,,D. Bertans enters the game for M. Ginobili
2:04.0,J. Grant misses 2-pt shot from 3 ft,,99-115,,
2:03.0,,,99-115,,Defensive rebound by D. Dedmon
1:58.0,,,99-117,2,D. Murray makes 2-pt shot from 1 ft
1:44.0,,,99-117,,Personal foul by J. Simmons (drawn by P. Zipser)
1:44.0,P. Zipser misses free throw 1 of 2,,99-117,,
1:44.0,Offensive rebound by Team,,99-117,,
1:44.0,P. Zipser misses free throw 2 of 2,,99-117,,
1:42.0,,,99-117,,Defensive rebound by K. Anderson
1:27.0,,,99-117,,J. Simmons misses 2-pt shot from 16 ft
1:26.0,Defensive rebound by P. Zipser,,99-117,,
1:21.0,Offensive foul by B. Portis,,99-117,,
1:21.0,Turnover by B. Portis (offensive foul),,99-117,,
1:08.0,,,99-119,2,D. Murray makes 2-pt shot from 1 ft
0:57.0,Turnover by P. Zipser (bad pass; steal by D. Bertans),,99-119,,
0:38.0,,,99-119,,D. Bertans misses 3-pt shot from 27 ft
0:36.0,Defensive rebound by B. Portis,,99-119,,
0:22.0,Shooting foul by K. Anderson (drawn by C. Felicio),,99-119,,
0:22.0,C. Felicio misses free throw 1 of 2,,99-119,,
0:22.0,Offensive rebound by Team,,99-119,,
0:22.0,C. Felicio makes free throw 2 of 2,1,100-119,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
