time,Memphis,pts.away,score,pts.home,Philadelphia
4:57.0,,,36-42,,Turnover by R. Covington (bad pass; steal by A. Harrison)
4:50.0,T. Allen misses 2-pt shot from 3 ft,,36-42,,
4:47.0,,,36-42,,Defensive rebound by N. Stauskas
4:32.0,,,36-42,,Offensive foul by J. Embiid
4:32.0,,,36-42,,Turnover by J. Embiid (offensive foul)
4:32.0,,,36-42,,J. Bayless enters the game for S. Rodriguez
4:32.0,,,36-42,,D. Saric enters the game for J. Embiid
4:16.0,T. Daniels misses 3-pt shot from 26 ft,,36-42,,
4:14.0,,,36-42,,Defensive rebound by J. Bayless
4:07.0,,,36-42,,Turnover by J. Bayless (bad pass; steal by M. Gasol)
3:54.0,T. Allen misses 2-pt shot from 3 ft,,36-42,,
3:50.0,,,36-42,,Defensive rebound by R. Covington
3:39.0,,,36-42,,Offensive foul by R. Covington
3:39.0,,,36-42,,Turnover by R. Covington (offensive foul)
3:39.0,M. Conley enters the game for T. Daniels,,36-42,,
3:39.0,V. Carter enters the game for T. Allen,,36-42,,
3:26.0,M. Gasol misses 2-pt shot from 17 ft,,36-42,,
3:25.0,,,36-42,,Defensive rebound by E. Ilyasova
3:10.0,,,36-42,,D. Saric misses 3-pt shot from 28 ft
3:09.0,Defensive rebound by M. Conley,,36-42,,
3:05.0,Turnover by M. Conley (lost ball),,36-42,,
2:57.0,,,36-42,,J. Bayless misses 2-pt shot from 12 ft
2:56.0,,,36-42,,Offensive rebound by J. Bayless
2:55.0,,,36-42,,Turnover by J. Bayless (lost ball; steal by A. Harrison)
2:48.0,V. Carter misses 3-pt shot from 24 ft,,36-42,,
2:46.0,,,36-42,,Defensive rebound by D. Saric
2:33.0,,,36-45,3,R. Covington makes 3-pt shot from 28 ft (assist by J. Bayless)
2:12.0,M. Gasol misses 2-pt shot from 1 ft (block by R. Covington),,36-45,,
2:11.0,Offensive rebound by M. Gasol,,36-45,,
2:10.0,M. Gasol makes 2-pt shot from 4 ft,2,38-45,,
2:10.0,Shooting foul by E. Ilyasova (drawn by M. Gasol),,38-45,,
2:10.0,M. Gasol makes free throw 1 of 1,1,39-45,,
2:10.0,Memphis full timeout,,39-45,,
2:05.0,,,39-45,,Turnover by R. Covington (offensive foul)
2:05.0,,,39-45,,Offensive foul by R. Covington
1:53.0,,,39-45,,Personal foul by E. Ilyasova (drawn by M. Conley)
1:53.0,M. Conley makes free throw 1 of 2,1,40-45,,
1:53.0,M. Conley makes free throw 2 of 2,1,41-45,,
1:34.0,,,41-48,3,R. Covington makes 3-pt shot from 27 ft (assist by N. Stauskas)
1:06.0,M. Gasol misses 2-pt shot from 12 ft,,41-48,,
1:04.0,Offensive rebound by J. Green,,41-48,,
1:02.0,J. Green makes 2-pt shot at rim,2,43-48,,
0:49.0,,,43-48,,D. Saric misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by J. Green,,43-48,,
0:37.0,A. Harrison misses 3-pt shot from 27 ft,,43-48,,
0:36.0,,,43-48,,Defensive rebound by D. Saric
0:30.0,Shooting block foul by A. Harrison (drawn by J. Bayless),,43-48,,
0:30.0,,,43-48,,J. Bayless misses free throw 1 of 2
0:30.0,,,43-48,,Offensive rebound by Team
0:30.0,,,43-49,1,J. Bayless makes free throw 2 of 2
0:30.0,,,43-48,,T. McConnell enters the game for R. Covington
0:30.0,T. Daniels enters the game for J. Green,,43-48,,
0:07.0,V. Carter misses 3-pt shot from 26 ft,,43-49,,
0:05.0,,,43-49,,Defensive rebound by N. Stauskas
0:00.0,,,43-51,2,J. Bayless makes 2-pt shot from 11 ft (assist by N. Stauskas)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,43-51,,Turnover by S. Rodriguez (traveling)
11:34.0,M. Gasol misses 2-pt shot from 17 ft,,43-51,,
11:32.0,,,43-51,,Defensive rebound by H. Thompson
11:20.0,,,43-53,2,J. Embiid makes 2-pt shot from 16 ft (assist by S. Rodriguez)
11:03.0,M. Conley misses 2-pt shot from 17 ft,,43-53,,
11:01.0,,,43-53,,Defensive rebound by J. Embiid
10:48.0,,,43-53,,H. Thompson misses 2-pt shot from 2 ft
10:46.0,Defensive rebound by M. Conley,,43-53,,
10:33.0,Shooting foul by J. Embiid (drawn by J. Green),,43-53,,
10:33.0,J. Green misses free throw 1 of 2,,43-53,,
10:33.0,Offensive rebound by Team,,43-53,,
10:33.0,J. Green makes free throw 2 of 2,1,44-53,,
10:24.0,,,44-53,,S. Rodriguez misses 2-pt shot from 17 ft
10:23.0,Defensive rebound by Team,,44-53,,
10:23.0,,,44-53,,Loose ball foul by J. Embiid (drawn by T. Daniels)
10:14.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol),2,46-53,,
