time,Portland,pts.away,score,pts.home,Oklahoma City
7:02.0,,,60-58,,R. Westbrook misses 2-pt shot from 13 ft
7:01.0,Defensive rebound by C. McCollum,,60-58,,
6:54.0,Turnover by C. McCollum (bad pass; steal by A. Roberson),,60-58,,
6:49.0,,,60-60,2,V. Oladipo makes 2-pt shot from 1 ft
6:49.0,,,60-60,,Shooting foul by D. Lillard (drawn by V. Oladipo)
6:49.0,,,60-61,1,V. Oladipo makes free throw 1 of 1
6:25.0,Turnover by Team (shot clock),,60-61,,
6:11.0,,,60-61,,R. Westbrook misses 2-pt shot from 15 ft
6:11.0,Defensive rebound by E. Turner,,60-61,,
5:59.0,Shooting foul by A. Roberson (drawn by C. McCollum),,60-61,,
5:59.0,,,60-61,,Oklahoma City full timeout
5:59.0,C. McCollum makes free throw 1 of 2,1,61-61,,
5:59.0,C. McCollum makes free throw 2 of 2,1,62-61,,
5:50.0,,,62-61,,Turnover by R. Westbrook (bad pass; steal by E. Turner)
5:44.0,E. Turner misses 2-pt shot from 1 ft,,62-61,,
5:43.0,,,62-61,,Defensive rebound by A. Roberson
5:41.0,Personal foul by E. Turner (drawn by A. Roberson),,62-61,,
5:41.0,,,62-61,,A. Morrow enters the game for V. Oladipo
5:41.0,A. Crabbe enters the game for C. McCollum,,62-61,,
5:33.0,,,62-61,,R. Westbrook misses 2-pt shot from 18 ft
5:32.0,Defensive rebound by D. Lillard,,62-61,,
5:24.0,Turnover by M. Plumlee (lost ball; steal by S. Adams),,62-61,,
5:21.0,,,62-63,2,R. Westbrook makes 2-pt shot at rim (assist by S. Adams)
4:54.0,Turnover by A. Crabbe (bad pass),,62-63,,
4:54.0,,,62-63,,J. Lauvergne enters the game for D. Sabonis
4:41.0,,,62-63,,A. Morrow misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by D. Lillard,,62-63,,
4:33.0,A. Crabbe misses 3-pt shot from 24 ft,,62-63,,
4:32.0,Offensive rebound by N. Vonleh,,62-63,,
4:26.0,D. Lillard misses 3-pt shot from 25 ft,,62-63,,
4:25.0,,,62-63,,Defensive rebound by R. Westbrook
4:18.0,,,62-63,,R. Westbrook misses 2-pt shot from 18 ft
4:17.0,Defensive rebound by D. Lillard,,62-63,,
4:09.0,Shooting foul by A. Roberson (drawn by D. Lillard),,62-63,,
4:09.0,D. Lillard makes free throw 1 of 2,1,63-63,,
