time,Miami,pts.away,score,pts.home,LA Lakers
7:52.0,,,90-103,,Defensive rebound by L. Deng
7:50.0,,,90-105,2,L. Williams makes 2-pt shot from 15 ft
7:50.0,,,90-105,,Shooting foul by T. Johnson
7:50.0,,,90-106,1,L. Williams makes free throw 1 of 1
7:28.0,D. Waiters misses 3-pt shot from 25 ft,,90-106,,
7:26.0,,,90-106,,Defensive rebound by T. Black
7:16.0,,,90-109,3,L. Williams makes 3-pt shot from 25 ft
7:16.0,Miami full timeout,,90-109,,
7:16.0,R. McGruder enters the game for D. Waiters,,90-109,,
7:00.0,Shooting foul by L. Deng (drawn by T. Johnson),,90-109,,
7:00.0,T. Johnson makes free throw 1 of 2,1,91-109,,
7:00.0,T. Johnson misses free throw 2 of 2,,91-109,,
6:58.0,,,91-109,,Defensive rebound by L. Deng
6:48.0,,,91-111,2,B. Ingram makes 2-pt shot from 1 ft
6:37.0,W. Reed misses 2-pt shot at rim,,91-111,,
6:32.0,,,91-111,,Defensive rebound by N. Young
6:26.0,,,91-111,,L. Williams misses 3-pt shot from 26 ft
6:25.0,Defensive rebound by T. Johnson,,91-111,,
6:16.0,R. McGruder misses 2-pt shot from 5 ft,,91-111,,
6:12.0,,,91-111,,Defensive rebound by L. Deng
5:56.0,,,91-114,3,L. Deng makes 3-pt shot from 26 ft (assist by B. Ingram)
5:55.0,Miami full timeout,,91-114,,
5:38.0,J. Richardson makes 2-pt shot from 20 ft,2,93-114,,
5:21.0,,,93-117,3,L. Williams makes 3-pt shot from 26 ft (assist by B. Ingram)
5:09.0,J. Johnson misses 3-pt shot from 26 ft,,93-117,,
5:08.0,,,93-117,,Defensive rebound by B. Ingram
4:55.0,,,93-117,,N. Young misses 3-pt shot from 26 ft
4:54.0,Defensive rebound by R. McGruder,,93-117,,
4:52.0,Turnover by R. McGruder (bad pass),,93-117,,
4:39.0,,,93-117,,Turnover by L. Williams (step out of bounds)
4:18.0,J. Richardson misses 3-pt shot from 25 ft,,93-117,,
4:17.0,,,93-117,,Defensive rebound by L. Deng
3:54.0,,,93-117,,Turnover by Team (shot clock)
3:54.0,,,93-117,,T. Robinson enters the game for T. Black
3:33.0,T. Johnson misses 2-pt shot from 13 ft,,93-117,,
3:33.0,Offensive rebound by W. Reed,,93-117,,
3:33.0,W. Reed misses 2-pt shot from 1 ft,,93-117,,
3:33.0,Offensive rebound by W. Reed,,93-117,,
3:33.0,W. Reed makes 2-pt shot from 1 ft,2,95-117,,
3:33.0,Shooting foul by T. Robinson (drawn by W. Reed),,95-117,,
3:33.0,W. Reed misses free throw 1 of 1,,95-117,,
3:33.0,W. Ellington enters the game for J. Richardson,,95-117,,
3:31.0,,,95-117,,Defensive rebound by T. Robinson
3:14.0,,,95-119,2,L. Williams makes 2-pt shot from 6 ft
3:03.0,T. Johnson makes 2-pt shot from 21 ft,2,97-119,,
2:46.0,,,97-122,3,L. Williams makes 3-pt shot from 24 ft
2:26.0,Turnover by T. Johnson (lost ball),,97-122,,
2:12.0,,,97-122,,Shooting foul by W. Reed (drawn by T. Robinson)
2:12.0,,,97-122,,T. Robinson misses free throw 1 of 2
2:12.0,,,97-122,,Offensive rebound by Team
2:12.0,,,97-122,,T. Robinson misses free throw 2 of 2
2:12.0,,,97-122,,M. World Peace enters the game for L. Deng
2:12.0,,,97-122,,M. Huertas enters the game for L. Williams
2:10.0,Defensive rebound by W. Reed,,97-122,,
2:05.0,,,97-122,,Personal foul by M. World Peace (drawn by J. Johnson)
2:05.0,J. Johnson misses free throw 1 of 2,,97-122,,
2:05.0,Offensive rebound by Team,,97-122,,
2:05.0,J. Johnson makes free throw 2 of 2,1,98-122,,
1:44.0,,,98-124,2,M. Huertas makes 2-pt shot from 12 ft (assist by T. Robinson)
1:36.0,,,98-124,,Personal foul by M. World Peace (drawn by W. Reed)
1:36.0,W. Reed makes free throw 1 of 2,1,99-124,,
1:36.0,W. Reed misses free throw 2 of 2,,99-124,,
1:35.0,,,99-124,,Defensive rebound by T. Robinson
1:28.0,,,99-126,2,B. Ingram makes 2-pt shot from 2 ft (assist by M. Huertas)
1:13.0,W. Ellington misses 3-pt shot from 25 ft,,99-126,,
1:12.0,,,99-126,,Defensive rebound by N. Young
1:06.0,,,99-126,,M. World Peace misses 3-pt shot from 27 ft
1:02.0,Defensive rebound by W. Reed,,99-126,,
0:54.0,Turnover by J. Johnson (bad pass; steal by T. Robinson),,99-126,,
0:45.0,,,99-126,,N. Young misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by T. Johnson,,99-126,,
0:43.0,,,99-126,,Personal foul by M. World Peace (drawn by W. Ellington)
0:43.0,W. Ellington misses free throw 1 of 2,,99-126,,
0:43.0,Offensive rebound by Team,,99-126,,
0:43.0,W. Ellington makes free throw 2 of 2,1,100-126,,
0:43.0,D. Williams enters the game for W. Reed,,99-126,,
0:39.0,,,100-126,,Shooting foul by D. Williams (drawn by T. Robinson)
0:39.0,,,100-127,1,T. Robinson makes free throw 1 of 2
0:39.0,,,100-127,,T. Robinson misses free throw 2 of 2
0:38.0,Defensive rebound by D. Williams,,100-127,,
0:28.0,D. Williams misses 3-pt shot from 24 ft,,100-127,,
0:26.0,,,100-127,,Defensive rebound by T. Robinson
0:01.0,,,100-127,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
