time,New York,pts.away,score,pts.home,LA Lakers
6:11.0,,,69-68,,LA Lakers full timeout
6:11.0,,,69-68,,J. Clarkson enters the game for N. Young
5:56.0,,,69-68,,D. Russell misses 2-pt shot from 2 ft (block by K. Porzingis)
5:54.0,,,69-68,,Offensive rebound by T. Mozgov
5:53.0,,,69-68,,T. Mozgov misses 2-pt shot from 5 ft (block by K. Porzingis)
5:51.0,Defensive rebound by K. Porzingis,,69-68,,
5:36.0,C. Lee makes 3-pt shot from 24 ft (assist by K. Porzingis),3,72-68,,
5:14.0,,,72-70,2,J. Clarkson makes 2-pt shot from 2 ft
4:52.0,C. Anthony misses 2-pt shot from 11 ft,,72-70,,
4:48.0,,,72-70,,Defensive rebound by J. Randle
4:38.0,,,72-70,,Turnover by L. Deng (bad pass; steal by C. Lee)
4:34.0,Turnover by C. Anthony (bad pass; steal by D. Russell),,72-70,,
4:28.0,,,72-73,3,D. Russell makes 3-pt shot from 25 ft (assist by J. Clarkson)
4:08.0,K. Porzingis makes 3-pt shot from 24 ft (assist by C. Anthony),3,75-73,,
3:51.0,,,75-73,,L. Deng misses 3-pt shot from 26 ft
3:50.0,Defensive rebound by K. Porzingis,,75-73,,
3:43.0,D. Rose makes 2-pt shot from 14 ft,2,77-73,,
3:27.0,Personal foul by C. Anthony (drawn by L. Deng),,77-73,,
3:27.0,,,77-73,,L. Williams enters the game for L. Deng
3:27.0,,,77-73,,L. Nance enters the game for T. Mozgov
3:27.0,,,77-73,,B. Ingram enters the game for D. Russell
3:27.0,W. Hernangomez enters the game for C. Anthony,,77-73,,
3:27.0,L. Thomas enters the game for J. Noah,,77-73,,
3:14.0,,,77-73,,J. Randle misses 2-pt shot from 4 ft (block by K. Porzingis)
3:13.0,,,77-73,,Offensive rebound by J. Randle
3:13.0,,,77-73,,Turnover by Team (shot clock)
2:59.0,Turnover by K. Porzingis (bad pass; steal by L. Nance),,77-73,,
2:42.0,,,77-73,,L. Williams misses 3-pt shot from 27 ft
2:40.0,,,77-73,,Offensive rebound by J. Clarkson
2:30.0,,,77-73,,J. Clarkson misses 2-pt shot from 1 ft
2:26.0,Defensive rebound by W. Hernangomez,,77-73,,
2:18.0,K. Porzingis misses 2-pt shot from 4 ft,,77-73,,
2:17.0,Offensive rebound by W. Hernangomez,,77-73,,
2:17.0,,,77-73,,Loose ball foul by J. Randle (drawn by W. Hernangomez)
2:17.0,New York full timeout,,77-73,,
2:17.0,,,77-73,,T. Robinson enters the game for J. Randle
2:07.0,K. Porzingis makes 2-pt shot from 2 ft (assist by W. Hernangomez),2,79-73,,
2:07.0,Shooting foul by L. Williams (drawn by K. Porzingis),,79-73,,
2:07.0,K. Porzingis misses free throw 1 of 1,,79-73,,
2:04.0,,,79-73,,Defensive rebound by J. Clarkson
1:52.0,,,79-73,,B. Ingram misses 2-pt shot from 18 ft
1:50.0,Defensive rebound by Team,,79-73,,
1:35.0,D. Rose makes 2-pt shot from 20 ft,2,81-73,,
1:12.0,,,81-73,,Turnover by L. Williams (bad pass; steal by L. Thomas)
0:51.0,C. Lee makes 3-pt shot from 27 ft,3,84-73,,
0:36.0,,,84-73,,L. Williams misses 2-pt shot from 4 ft (block by W. Hernangomez)
0:36.0,,,84-73,,Offensive rebound by Team
0:28.0,,,84-73,,Shooting foul by D. Rose (drawn by J. Clarkson)
0:28.0,,,84-74,1,J. Clarkson makes free throw 1 of 2
0:28.0,,,84-75,1,J. Clarkson makes free throw 2 of 2
0:04.0,K. Porzingis misses 2-pt shot from 16 ft,,84-75,,
0:03.0,,,84-75,,Defensive rebound by T. Robinson
0:02.0,,,84-75,,Turnover by T. Robinson (bad pass; steal by W. Hernangomez)
0:00.0,D. Rose misses 3-pt shot from 28 ft,,84-75,,
0:00.0,Offensive rebound by Team,,84-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,L. Thomas misses 2-pt shot from 20 ft,,84-75,,
11:36.0,,,84-75,,Defensive rebound by T. Robinson
11:31.0,,,84-75,,Turnover by L. Williams (lost ball; steal by J. Holiday)
11:28.0,,,84-75,,Personal foul by L. Nance (drawn by L. Thomas)
11:16.0,W. Hernangomez misses 2-pt shot from 3 ft,,84-75,,
11:10.0,,,84-75,,Defensive rebound by L. Williams
11:00.0,,,84-77,2,T. Robinson makes 2-pt shot from 2 ft (assist by B. Ingram)
11:00.0,,,84-77,,Shooting foul by W. Hernangomez (drawn by T. Robinson)
11:00.0,,,84-77,,T. Robinson misses free throw 1 of 1
10:56.0,Defensive rebound by C. Anthony,,84-77,,
10:42.0,C. Anthony misses 2-pt shot from 15 ft,,84-77,,
10:37.0,,,84-77,,Defensive rebound by L. Williams
10:30.0,,,84-80,3,L. Williams makes 3-pt shot from 26 ft
10:13.0,B. Jennings makes 2-pt shot from 12 ft,2,86-80,,
9:58.0,Personal foul by J. Holiday,,86-80,,
9:49.0,,,86-80,,L. Nance misses 2-pt shot from 13 ft
9:48.0,Defensive rebound by C. Anthony,,86-80,,
9:42.0,Turnover by B. Jennings (lost ball),,86-80,,
9:22.0,,,86-82,2,J. Clarkson makes 2-pt shot from 3 ft
9:09.0,Turnover by W. Hernangomez (offensive foul),,86-82,,
9:09.0,Offensive foul by C. Anthony,,86-82,,
8:56.0,,,86-82,,Shooting foul by J. Holiday
8:56.0,Official timeout,,86-82,,
8:56.0,,,86-83,1,L. Williams makes free throw 1 of 3
8:56.0,,,86-84,1,L. Williams makes free throw 2 of 3
8:56.0,,,86-85,1,L. Williams makes free throw 3 of 3
8:56.0,,,86-82,,L. Deng enters the game for T. Robinson
8:56.0,K. Porzingis enters the game for L. Thomas,,86-82,,
8:31.0,C. Anthony misses 2-pt shot from 21 ft,,86-85,,
8:29.0,,,86-85,,Defensive rebound by L. Williams
8:21.0,,,86-87,2,L. Nance makes 2-pt shot from 5 ft (assist by J. Clarkson)
8:05.0,Shooting foul by B. Ingram (drawn by J. Holiday),,86-87,,
8:05.0,J. Holiday misses free throw 1 of 3,,86-87,,
8:05.0,Offensive rebound by Team,,86-87,,
8:05.0,J. Holiday makes free throw 2 of 3,1,87-87,,
8:05.0,J. Holiday makes free throw 3 of 3,1,88-87,,
8:05.0,C. Lee enters the game for W. Hernangomez,,87-87,,
7:54.0,,,88-87,,L. Williams misses 2-pt shot from 1 ft (block by K. Porzingis)
7:51.0,,,88-87,,Offensive rebound by L. Nance
7:49.0,,,88-87,,Turnover by L. Nance (bad pass; steal by C. Anthony)
7:34.0,B. Jennings makes 3-pt shot from 27 ft,3,91-87,,
7:23.0,,,91-89,2,L. Nance makes 2-pt shot at rim (assist by L. Williams)
