time,Indiana,pts.away,score,pts.home,Charlotte
4:22.0,,,90-116,,Turnover by R. Sessions (bad pass; steal by G. Robinson)
4:22.0,,,90-116,,Personal foul by S. Hawes (drawn by G. Robinson)
4:22.0,,,90-116,,B. Roberts enters the game for M. Belinelli
4:05.0,A. Brooks misses 2-pt shot from 12 ft,,90-116,,
4:04.0,,,90-116,,Defensive rebound by S. Hawes
3:48.0,,,90-118,2,R. Sessions makes 2-pt shot from 2 ft
3:36.0,G. Robinson makes 2-pt shot from 1 ft (assist by J. Young),2,92-118,,
3:18.0,,,92-118,,Turnover by R. Sessions (bad pass; steal by A. Brooks)
3:15.0,J. Young misses 2-pt shot from 14 ft,,92-118,,
3:15.0,Offensive rebound by G. Robinson,,92-118,,
3:15.0,Shooting foul by R. Sessions (drawn by G. Robinson),,92-118,,
3:15.0,G. Robinson misses free throw 1 of 2,,92-118,,
3:15.0,Offensive rebound by Team,,92-118,,
3:15.0,G. Robinson makes free throw 2 of 2,1,93-118,,
3:15.0,,,92-118,,A. Harrison enters the game for S. Hawes
3:15.0,,,92-118,,C. Wood enters the game for R. Sessions
3:02.0,,,93-118,,F. Kaminsky misses 2-pt shot from 1 ft (block by A. Brooks)
2:58.0,Defensive rebound by G. Niang,,93-118,,
2:54.0,Shooting foul by T. Graham (drawn by A. Brooks),,93-118,,
2:54.0,,,93-118,,Charlotte full timeout
2:54.0,A. Brooks makes free throw 1 of 2,1,94-118,,
2:54.0,A. Brooks makes free throw 2 of 2,1,95-118,,
2:33.0,,,95-118,,B. Roberts misses 3-pt shot from 23 ft
2:32.0,Defensive rebound by G. Niang,,95-118,,
2:22.0,G. Robinson misses 2-pt shot from 17 ft,,95-118,,
2:21.0,,,95-118,,Defensive rebound by B. Roberts
2:09.0,,,95-118,,C. Wood misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by G. Niang,,95-118,,
1:58.0,G. Robinson misses 3-pt shot from 25 ft,,95-118,,
1:57.0,,,95-118,,Defensive rebound by C. Wood
1:49.0,,,95-118,,T. Graham misses 3-pt shot from 24 ft
1:48.0,Defensive rebound by K. Seraphin,,95-118,,
1:41.0,Shooting foul by T. Graham (drawn by J. Young),,95-118,,
1:41.0,J. Young misses free throw 1 of 2,,95-118,,
1:41.0,Offensive rebound by Team,,95-118,,
1:41.0,J. Young makes free throw 2 of 2,1,96-118,,
1:25.0,,,96-118,,A. Harrison misses 2-pt shot from 20 ft
1:23.0,Defensive rebound by G. Robinson,,96-118,,
1:16.0,J. Young makes 2-pt shot from 22 ft,2,98-118,,
1:02.0,,,98-120,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by A. Harrison)
0:50.0,G. Niang misses 2-pt shot from 10 ft,,98-120,,
0:50.0,,,98-120,,Defensive rebound by C. Wood
0:41.0,,,98-122,2,B. Roberts makes 2-pt shot from 17 ft
0:35.0,J. Young misses 3-pt shot from 26 ft,,98-122,,
0:34.0,,,98-122,,Defensive rebound by A. Harrison
0:10.0,,,98-122,,Turnover by Team (shot clock)
0:05.0,J. Young makes 2-pt shot at rim,2,100-122,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
