time,San Antonio,pts.away,score,pts.home,Philadelphia
3:34.0,,,96-91,2,E. Ilyasova makes 2-pt shot from 13 ft (assist by T. McConnell)
3:21.0,Shooting foul by N. Noel (drawn by K. Leonard),,96-91,,
3:21.0,K. Leonard makes free throw 1 of 2,1,97-91,,
3:21.0,K. Leonard makes free throw 2 of 2,1,98-91,,
3:21.0,T. Parker enters the game for P. Mills,,97-91,,
3:14.0,,,98-91,,E. Ilyasova misses 3-pt shot from 26 ft
3:12.0,Defensive rebound by K. Leonard,,98-91,,
3:08.0,Turnover by K. Leonard (lost ball),,98-91,,
2:58.0,,,98-91,,R. Covington misses 2-pt shot from 18 ft
2:57.0,,,98-91,,Offensive rebound by N. Noel
2:57.0,,,98-91,,Shooting foul by D. Dedmon (drawn by N. Noel)
2:57.0,,,98-92,1,N. Noel makes free throw 1 of 2
2:57.0,,,98-92,,N. Noel misses free throw 2 of 2
2:56.0,Defensive rebound by L. Aldridge,,98-92,,
2:35.0,T. Parker makes 2-pt shot from 6 ft,2,100-92,,
2:20.0,,,100-92,,T. McConnell misses 2-pt shot from 3 ft
2:19.0,Defensive rebound by T. Parker,,100-92,,
2:14.0,D. Green makes 3-pt shot from 23 ft (assist by T. Parker),3,103-92,,
2:12.0,,,103-92,,Philadelphia full timeout
2:00.0,,,103-95,3,N. Stauskas makes 3-pt shot from 26 ft
1:38.0,D. Green misses 2-pt shot from 11 ft,,103-95,,
1:38.0,Offensive rebound by L. Aldridge,,103-95,,
1:38.0,L. Aldridge makes 2-pt shot at rim,2,105-95,,
1:21.0,,,105-95,,N. Stauskas misses 2-pt shot from 7 ft (block by D. Dedmon)
1:18.0,Defensive rebound by D. Dedmon,,105-95,,
0:59.0,T. Parker misses 2-pt shot from 1 ft,,105-95,,
0:58.0,Offensive rebound by D. Dedmon,,105-95,,
0:58.0,D. Dedmon makes 2-pt shot from 2 ft,2,107-95,,
0:58.0,,,107-95,,Philadelphia full timeout
0:58.0,,,107-95,,D. Saric enters the game for N. Noel
0:43.0,,,107-98,3,D. Saric makes 3-pt shot from 26 ft (assist by N. Stauskas)
0:27.0,,,107-98,,Personal foul by T. McConnell
0:27.0,T. Parker makes free throw 1 of 2,1,108-98,,
0:27.0,T. Parker makes free throw 2 of 2,1,109-98,,
0:27.0,J. Simmons enters the game for K. Leonard,,108-98,,
0:27.0,K. Anderson enters the game for D. Green,,108-98,,
0:27.0,J. Anthony enters the game for L. Aldridge,,108-98,,
0:17.0,,,109-101,3,N. Stauskas makes 3-pt shot from 26 ft (assist by D. Saric)
0:13.0,J. Anthony makes 2-pt shot at rim (assist by D. Dedmon),2,111-101,,
0:04.0,,,111-103,2,D. Saric makes 2-pt shot from 6 ft (assist by E. Ilyasova)
0:00.0,End of 4th quarter,,,,End of 4th quarter
