time,LA Clippers,pts.away,score,pts.home,Dallas
1:09.0,,,95-96,2,H. Barnes makes 2-pt shot from 14 ft
1:09.0,LA Clippers full timeout,,95-96,,
1:09.0,J. Crawford enters the game for A. Rivers,,95-96,,
1:00.0,Turnover by J. Crawford (lost ball; steal by N. Noel),,95-96,,
0:41.0,,,95-96,,H. Barnes misses 2-pt shot from 18 ft
0:40.0,Defensive rebound by C. Paul,,95-96,,
0:31.0,C. Paul misses 2-pt shot from 17 ft,,95-96,,
0:30.0,,,95-96,,Defensive rebound by Team
0:30.0,A. Rivers enters the game for J. Crawford,,95-96,,
0:30.0,L. Mbah a Moute enters the game for J. Redick,,95-96,,
0:11.0,,,95-96,,Turnover by H. Barnes (lost ball; steal by L. Mbah a Moute)
0:08.0,,,95-96,,Personal foul by N. Noel (drawn by C. Paul)
0:08.0,LA Clippers full timeout,,95-96,,
0:08.0,,,95-96,,D. Harris enters the game for D. Nowitzki
0:08.0,J. Redick enters the game for L. Mbah a Moute,,95-96,,
0:08.0,J. Crawford enters the game for A. Rivers,,95-96,,
0:04.0,Turnover by B. Griffin (lost ball; steal by H. Barnes),,95-96,,
0:02.0,Personal take foul by C. Paul (drawn by H. Barnes),,95-96,,
0:02.0,A. Rivers enters the game for J. Crawford,,95-96,,
0:02.0,,,95-96,,D. Nowitzki enters the game for N. Noel
0:01.0,Personal take foul by B. Griffin (drawn by W. Matthews),,95-96,,
0:01.0,,,95-96,,W. Matthews misses free throw 1 of 2
0:01.0,,,95-96,,Offensive rebound by Team
0:01.0,,,95-97,1,W. Matthews makes free throw 2 of 2
0:01.0,LA Clippers full timeout,,95-97,,
0:01.0,,,95-96,,N. Noel enters the game for D. Nowitzki
0:01.0,,,95-97,,S. Mejri enters the game for N. Noel
0:01.0,M. Speights enters the game for D. Jordan,,95-97,,
0:01.0,J. Crawford enters the game for A. Rivers,,95-97,,
0:00.0,J. Redick misses 3-pt shot from 25 ft,,95-97,,
0:00.0,Offensive rebound by Team,,95-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
