time,San Antonio,pts.away,score,pts.home,Milwaukee
5:56.0,,,85-82,,Defensive rebound by G. Monroe
5:40.0,,,85-85,3,J. Parker makes 3-pt shot from 25 ft (assist by M. Teletovic)
5:15.0,K. Leonard makes 2-pt shot from 11 ft,2,87-85,,
5:06.0,,,87-88,3,M. Dellavedova makes 3-pt shot from 27 ft
4:58.0,K. Leonard misses 3-pt shot from 24 ft,,87-88,,
4:56.0,,,87-88,,Defensive rebound by J. Parker
4:49.0,,,87-88,,T. Snell misses 3-pt shot from 28 ft
4:47.0,,,87-88,,Offensive rebound by J. Parker
4:44.0,,,87-90,2,G. Monroe makes 2-pt shot at rim (assist by J. Parker)
4:43.0,San Antonio full timeout,,87-90,,
4:43.0,M. Ginobili enters the game for D. Lee,,87-90,,
4:43.0,L. Aldridge enters the game for J. Simmons,,87-90,,
4:32.0,K. Leonard makes 2-pt shot from 2 ft (assist by M. Ginobili),2,89-90,,
4:13.0,,,89-92,2,M. Teletovic makes 2-pt shot from 13 ft (assist by J. Parker)
3:52.0,K. Leonard misses 2-pt shot from 16 ft,,89-92,,
3:46.0,Offensive rebound by Team,,89-92,,
3:29.0,M. Ginobili makes 2-pt shot at rim (assist by P. Mills),2,91-92,,
3:14.0,,,91-92,,Turnover by M. Dellavedova (bad pass; steal by M. Ginobili)
3:10.0,P. Gasol misses 2-pt shot at rim,,91-92,,
3:06.0,Offensive rebound by K. Leonard,,91-92,,
3:06.0,K. Leonard makes 2-pt shot at rim,2,93-92,,
2:53.0,,,93-94,2,J. Parker makes 2-pt shot from 19 ft
2:29.0,M. Ginobili misses 3-pt shot from 25 ft,,93-94,,
2:27.0,,,93-94,,Defensive rebound by G. Monroe
2:25.0,,,93-96,2,J. Parker makes 2-pt shot at rim
2:00.0,P. Mills misses 3-pt shot from 26 ft,,93-96,,
1:57.0,Offensive rebound by P. Gasol,,93-96,,
1:52.0,K. Leonard misses 3-pt shot from 26 ft,,93-96,,
1:51.0,,,93-96,,Defensive rebound by M. Teletovic
1:38.0,,,93-96,,Turnover by J. Parker (bad pass; steal by M. Ginobili)
1:30.0,P. Mills misses 3-pt shot from 25 ft,,93-96,,
1:29.0,,,93-96,,Defensive rebound by M. Teletovic
1:28.0,,,93-96,,Milwaukee full timeout
1:28.0,J. Simmons enters the game for P. Gasol,,93-96,,
1:28.0,,,93-96,,G. Antetokounmpo enters the game for G. Monroe
1:11.0,,,93-96,,Turnover by J. Parker (lost ball; steal by L. Aldridge)
1:09.0,Shooting foul by T. Snell (drawn by K. Leonard),,93-96,,
1:09.0,K. Leonard makes free throw 1 of 2,1,94-96,,
1:09.0,K. Leonard makes free throw 2 of 2,1,95-96,,
0:59.0,,,95-96,,J. Parker misses 2-pt shot from 1 ft (block by L. Aldridge)
0:56.0,Defensive rebound by M. Ginobili,,95-96,,
0:48.0,Turnover by J. Simmons (bad pass),,95-96,,
0:33.0,,,95-96,,Turnover by G. Antetokounmpo (traveling)
0:33.0,,,95-96,,J. Henson enters the game for M. Teletovic
0:33.0,San Antonio full timeout,,95-96,,
0:33.0,D. Green enters the game for J. Simmons,,95-96,,
0:26.0,K. Leonard misses 2-pt shot from 15 ft,,95-96,,
0:24.0,Offensive rebound by L. Aldridge,,95-96,,
0:21.0,L. Aldridge makes 2-pt shot from 2 ft,2,97-96,,
0:21.0,,,97-96,,Violation by G. Antetokounmpo (def goaltending)
0:21.0,,,97-96,,Milwaukee full timeout
0:21.0,J. Simmons enters the game for P. Mills,,97-96,,
0:21.0,,,97-96,,M. Teletovic enters the game for J. Henson
0:04.0,,,97-96,,M. Teletovic misses 3-pt shot from 24 ft
0:03.0,Defensive rebound by L. Aldridge,,97-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
