time,Houston,pts.away,score,pts.home,Charlotte
3:32.0,M. Harrell enters the game for C. Capela,,98-89,,
3:22.0,,,98-89,,Personal block foul by K. Walker (drawn by P. Beverley)
3:05.0,P. Beverley makes 2-pt shot from 20 ft (assist by J. Harden),2,100-89,,
2:48.0,,,100-91,2,N. Batum makes 2-pt shot from 11 ft
2:37.0,J. Harden misses 2-pt shot from 1 ft,,100-91,,
2:35.0,Offensive rebound by M. Harrell,,100-91,,
2:35.0,M. Harrell makes 2-pt shot from 2 ft,2,102-91,,
2:22.0,,,102-91,,N. Batum misses 3-pt shot from 26 ft
2:20.0,Defensive rebound by T. Ariza,,102-91,,
2:20.0,Houston full timeout,,102-91,,
1:59.0,J. Harden misses 3-pt shot from 28 ft,,102-91,,
1:58.0,,,102-91,,Defensive rebound by M. Williams
1:45.0,,,102-91,,M. Belinelli misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by Team,,102-91,,
1:23.0,M. Harrell misses 2-pt shot from 10 ft,,102-91,,
1:21.0,,,102-91,,Defensive rebound by N. Batum
1:10.0,,,102-91,,M. Williams misses 2-pt shot from 8 ft
1:08.0,Defensive rebound by M. Harrell,,102-91,,
0:57.0,P. Beverley misses 3-pt shot from 23 ft,,102-91,,
0:56.0,Offensive rebound by Team,,102-91,,
0:52.0,Turnover by P. Beverley (traveling),,102-91,,
0:39.0,,,102-91,,N. Batum misses 2-pt shot from 10 ft
0:39.0,,,102-91,,Offensive rebound by M. Belinelli
0:39.0,,,102-93,2,M. Belinelli makes 2-pt shot at rim
0:32.0,M. Harrell makes 2-pt shot at rim,2,104-93,,
0:32.0,Shooting foul by K. Walker (drawn by M. Harrell),,104-93,,
0:32.0,M. Harrell makes free throw 1 of 1,1,105-93,,
0:20.0,,,105-93,,K. Walker misses 3-pt shot from 27 ft
0:20.0,,,105-93,,Offensive rebound by M. Williams
0:20.0,,,105-95,2,M. Williams makes 2-pt shot from 1 ft
0:13.0,M. Harrell makes 2-pt shot at rim (assist by J. Harden),2,107-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
