time,Boston,pts.away,score,pts.home,Charlotte
1:42.0,Shooting foul by C. Zeller (drawn by I. Thomas),,111-109,,
1:42.0,I. Thomas makes free throw 1 of 2,1,112-109,,
1:42.0,I. Thomas makes free throw 2 of 2,1,113-109,,
1:42.0,,,112-109,,J. Lamb enters the game for M. Kidd-Gilchrist
1:33.0,,,113-109,,Shooting foul by A. Bradley (drawn by N. Batum)
1:33.0,,,113-109,,N. Batum misses free throw 1 of 3
1:33.0,,,113-109,,Offensive rebound by Team
1:33.0,,,113-110,1,N. Batum makes free throw 2 of 3
1:33.0,,,113-111,1,N. Batum makes free throw 3 of 3
1:21.0,I. Thomas makes 3-pt shot from 24 ft,3,116-111,,
1:21.0,,,116-111,,Charlotte full timeout
1:12.0,,,116-111,,N. Batum misses 3-pt shot from 28 ft
1:11.0,Defensive rebound by I. Thomas,,116-111,,
0:54.0,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas),3,119-111,,
0:48.0,,,119-111,,Charlotte full timeout
0:48.0,,,119-111,,B. Roberts enters the game for K. Walker
0:43.0,,,119-111,,Turnover by M. Williams (offensive goaltending)
0:36.0,A. Bradley misses 3-pt shot from 24 ft,,119-111,,
0:34.0,,,119-111,,Defensive rebound by C. Zeller
0:28.0,,,119-111,,Shooting foul by I. Thomas (drawn by B. Roberts)
0:28.0,,,119-112,1,B. Roberts makes free throw 1 of 3
0:28.0,,,119-113,1,B. Roberts makes free throw 2 of 3
0:28.0,,,119-114,1,B. Roberts makes free throw 3 of 3
0:25.0,,,119-114,,Personal foul by M. Williams (drawn by M. Smart)
0:25.0,M. Smart makes free throw 1 of 2,1,120-114,,
0:25.0,M. Smart makes free throw 2 of 2,1,121-114,,
0:11.0,,,121-114,,B. Roberts misses 2-pt shot from 19 ft
0:10.0,Defensive rebound by J. Crowder,,121-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
