time,Cleveland,pts.away,score,pts.home,Utah
2:49.0,C. Frye enters the game for T. Thompson,,88-96,,
2:37.0,I. Shumpert makes 2-pt shot at rim,2,90-96,,
2:06.0,,,90-99,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward)
1:51.0,K. Love misses 2-pt shot from 5 ft,,90-99,,
1:50.0,,,90-99,,Defensive rebound by R. Gobert
1:33.0,,,90-99,,J. Ingles misses 3-pt shot from 24 ft
1:33.0,Defensive rebound by I. Shumpert,,90-99,,
1:27.0,,,90-99,,Personal foul by J. Ingles (drawn by L. James)
1:27.0,L. James makes free throw 1 of 2,1,91-99,,
1:27.0,L. James makes free throw 2 of 2,1,92-99,,
1:27.0,T. Thompson enters the game for C. Frye,,91-99,,
1:03.0,,,92-99,,R. Hood misses 2-pt shot from 13 ft
1:02.0,,,92-99,,Offensive rebound by R. Gobert
0:43.0,Personal foul by K. Irving (drawn by G. Hill),,92-99,,
0:43.0,,,92-99,,G. Hill misses free throw 1 of 2
0:43.0,,,92-99,,Offensive rebound by Team
0:43.0,,,92-99,,G. Hill misses free throw 2 of 2
0:43.0,Defensive rebound by K. Love,,92-99,,
0:43.0,Cleveland full timeout,,92-99,,
0:39.0,K. Irving misses 3-pt shot from 25 ft,,92-99,,
0:37.0,,,92-99,,Defensive rebound by G. Hill
0:27.0,Personal foul by K. Irving (drawn by G. Hill),,92-99,,
0:27.0,,,92-100,1,G. Hill makes free throw 1 of 2
0:27.0,,,92-100,,G. Hill misses free throw 2 of 2
0:27.0,D. Liggins enters the game for K. Irving,,92-100,,
0:27.0,J. McRae enters the game for T. Thompson,,92-100,,
0:27.0,J. Jones enters the game for L. James,,92-100,,
0:27.0,K. Felder enters the game for K. Love,,92-100,,
0:25.0,,,92-100,,Offensive rebound by R. Gobert
0:25.0,,,92-100,,R. Gobert misses 2-pt shot from 2 ft
0:24.0,Defensive rebound by D. Liggins,,92-100,,
0:19.0,D. Liggins misses 2-pt shot from 2 ft,,92-100,,
0:18.0,,,92-100,,Defensive rebound by G. Hayward
0:00.0,End of 4th quarter,,,,End of 4th quarter
