time,Portland,pts.away,score,pts.home,Orlando
7:04.0,Offensive rebound by S. Napier,,89-95,,
6:55.0,A. Crabbe makes 2-pt shot from 12 ft (assist by S. Napier),2,91-95,,
6:39.0,,,91-95,,T. Ross misses 2-pt shot from 15 ft
6:38.0,Defensive rebound by D. Lillard,,91-95,,
6:34.0,Turnover by D. Lillard (bad pass),,91-95,,
6:34.0,,,91-95,,Orlando full timeout
6:34.0,,,91-95,,E. Fournier enters the game for T. Ross
6:34.0,,,91-95,,N. Vucevic enters the game for B. Biyombo
6:20.0,,,91-95,,E. Fournier misses 3-pt shot from 23 ft
6:19.0,Defensive rebound by D. Lillard,,91-95,,
6:03.0,J. Nurkic misses 2-pt shot from 5 ft,,91-95,,
6:01.0,,,91-95,,Defensive rebound by N. Vucevic
6:00.0,,,91-95,,A. Gordon enters the game for J. Green
6:00.0,C. McCollum enters the game for A. Crabbe,,91-95,,
5:58.0,,,91-95,,Turnover by N. Vucevic (lost ball; steal by M. Harkless)
5:58.0,Jump ball: M. Harkless vs. N. Vucevic (S. Napier gains possession),,,,Jump ball: M. Harkless vs. N. Vucevic (S. Napier gains possession)
5:47.0,M. Harkless makes 2-pt shot at rim (assist by J. Nurkic),2,93-95,,
5:28.0,,,93-95,,E. Payton misses 2-pt shot from 2 ft (block by M. Harkless)
5:26.0,Defensive rebound by S. Napier,,93-95,,
5:21.0,D. Lillard makes 3-pt shot from 24 ft (assist by C. McCollum),3,96-95,,
5:03.0,Personal foul by J. Nurkic (drawn by E. Fournier),,96-95,,
5:03.0,,,96-96,1,E. Fournier makes free throw 1 of 2
5:03.0,,,96-96,,E. Fournier misses free throw 2 of 2
5:03.0,,,96-96,,T. Ross enters the game for M. Hezonja
5:01.0,Defensive rebound by J. Nurkic,,96-96,,
4:41.0,D. Lillard makes 2-pt shot from 2 ft,2,98-96,,
4:34.0,,,98-96,,Shooting foul by S. Napier (drawn by E. Payton)
4:34.0,,,98-96,,E. Payton misses free throw 1 of 2
4:34.0,,,98-96,,Offensive rebound by Team
4:34.0,,,98-97,1,E. Payton makes free throw 2 of 2
4:20.0,D. Lillard makes 3-pt shot from 25 ft (assist by J. Nurkic),3,101-97,,
4:06.0,,,101-97,,Turnover by E. Payton (bad pass; steal by C. McCollum)
3:57.0,M. Harkless misses 2-pt shot from 2 ft (block by A. Gordon),,101-97,,
3:55.0,Offensive rebound by J. Nurkic,,101-97,,
3:55.0,J. Nurkic makes 2-pt shot from 4 ft,2,103-97,,
3:55.0,,,103-97,,Orlando full timeout
3:55.0,,,103-97,,D. Augustin enters the game for E. Payton
3:45.0,,,103-100,3,E. Fournier makes 3-pt shot from 24 ft (assist by A. Gordon)
3:26.0,M. Harkless makes 2-pt shot from 10 ft,2,105-100,,
3:00.0,,,105-100,,N. Vucevic misses 2-pt shot from 12 ft
2:57.0,Defensive rebound by M. Harkless,,105-100,,
2:56.0,Portland full timeout,,105-100,,
2:37.0,D. Lillard misses 3-pt shot from 30 ft,,105-100,,
2:36.0,,,105-100,,Defensive rebound by A. Gordon
2:27.0,,,105-100,,A. Gordon misses 2-pt shot from 6 ft
2:26.0,,,105-100,,Offensive rebound by N. Vucevic
2:26.0,,,105-100,,Shooting foul by M. Harkless (drawn by N. Vucevic)
2:26.0,,,105-101,1,N. Vucevic makes free throw 1 of 2
2:26.0,,,105-101,,N. Vucevic misses free throw 2 of 2
2:25.0,Defensive rebound by J. Nurkic,,105-101,,
2:05.0,J. Nurkic misses 2-pt shot from 2 ft,,105-101,,
2:03.0,,,105-101,,Defensive rebound by N. Vucevic
1:55.0,,,105-103,2,N. Vucevic makes 2-pt shot from 3 ft (assist by E. Fournier)
1:37.0,M. Harkless makes 3-pt shot from 26 ft (assist by J. Nurkic),3,108-103,,
1:19.0,,,108-103,,E. Fournier misses 2-pt shot from 18 ft
1:18.0,Defensive rebound by S. Napier,,108-103,,
0:58.0,D. Lillard misses 2-pt shot from 2 ft,,108-103,,
0:56.0,Offensive rebound by J. Nurkic,,108-103,,
0:54.0,Turnover by J. Nurkic (bad pass; steal by T. Ross),,108-103,,
0:49.0,,,108-103,,T. Ross misses 3-pt shot from 26 ft
0:47.0,Defensive rebound by J. Nurkic,,108-103,,
0:36.0,,,108-103,,Personal take foul by E. Fournier (drawn by D. Lillard)
0:36.0,Portland full timeout,,108-103,,
0:36.0,,,108-103,,J. Green enters the game for N. Vucevic
0:36.0,A. Crabbe enters the game for M. Harkless,,108-103,,
0:36.0,M. Leonard enters the game for J. Nurkic,,108-103,,
0:33.0,C. McCollum makes 2-pt shot at rim (assist by S. Napier),2,110-103,,
0:33.0,,,110-103,,Orlando full timeout
0:33.0,J. Nurkic enters the game for A. Crabbe,,110-103,,
0:33.0,M. Harkless enters the game for M. Leonard,,110-103,,
0:33.0,,,110-103,,M. Hezonja enters the game for A. Gordon
0:33.0,,,110-103,,N. Vucevic enters the game for J. Green
0:28.0,,,110-103,,T. Ross misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by S. Napier,,110-103,,
0:24.0,,,110-103,,Personal take foul by N. Vucevic (drawn by D. Lillard)
0:24.0,D. Lillard makes free throw 1 of 2,1,111-103,,
0:24.0,D. Lillard makes free throw 2 of 2,1,112-103,,
0:24.0,,,111-103,,A. Gordon enters the game for M. Hezonja
0:18.0,,,112-103,,Offensive foul by N. Vucevic
0:18.0,,,112-103,,Turnover by N. Vucevic (offensive foul)
0:00.0,End of 4th quarter,,,,End of 4th quarter
