time,Detroit,pts.away,score,pts.home,Denver
0:53.0,,,103-95,,Personal take foul by E. Mudiay (drawn by K. Caldwell-Pope)
0:53.0,K. Caldwell-Pope makes free throw 1 of 2,1,104-95,,
0:53.0,K. Caldwell-Pope makes free throw 2 of 2,1,105-95,,
0:53.0,S. Johnson enters the game for B. Udrih,,104-95,,
0:43.0,,,105-95,,E. Mudiay misses 3-pt shot from 26 ft
0:42.0,Defensive rebound by S. Johnson,,105-95,,
0:42.0,,,105-95,,Personal take foul by J. Murray (drawn by S. Johnson)
0:42.0,S. Johnson makes free throw 1 of 2,1,106-95,,
0:42.0,S. Johnson misses free throw 2 of 2,,106-95,,
0:41.0,,,106-95,,Defensive rebound by K. Faried
0:41.0,,,106-95,,Denver full timeout
0:37.0,,,106-95,,D. Gallinari misses 2-pt shot from 20 ft
0:36.0,Defensive rebound by J. Leuer,,106-95,,
0:14.0,M. Morris misses 3-pt shot from 24 ft,,106-95,,
0:14.0,,,106-95,,Defensive rebound by K. Faried
0:01.0,,,106-95,,K. Faried misses 3-pt shot from 28 ft
0:00.0,,,106-95,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
