time,Minnesota,pts.away,score,pts.home,Indiana
4:52.0,K. Towns makes free throw 1 of 2,1,100-106,,
4:52.0,K. Towns makes free throw 2 of 2,1,101-106,,
4:52.0,,,100-106,,T. Young enters the game for L. Allen
4:34.0,,,101-108,2,P. George makes 2-pt shot from 3 ft
4:14.0,A. Wiggins makes 2-pt shot from 17 ft (assist by K. Towns),2,103-108,,
3:48.0,,,103-110,2,M. Ellis makes 2-pt shot from 9 ft
3:31.0,K. Towns makes 2-pt shot from 7 ft,2,105-110,,
3:31.0,,,105-110,,Shooting block foul by T. Young (drawn by K. Towns)
3:31.0,K. Towns makes free throw 1 of 1,1,106-110,,
3:20.0,,,106-112,2,P. George makes 2-pt shot from 16 ft (assist by M. Ellis)
2:51.0,G. Dieng makes 2-pt shot from 6 ft (assist by R. Rubio),2,108-112,,
2:36.0,,,108-112,,T. Young misses 2-pt shot from 1 ft (block by K. Dunn)
2:34.0,Defensive rebound by K. Towns,,108-112,,
2:15.0,A. Wiggins makes 2-pt shot from 19 ft (assist by K. Dunn),2,110-112,,
1:55.0,,,110-112,,Turnover by M. Ellis (lost ball)
1:55.0,Minnesota full timeout,,110-112,,
1:34.0,R. Rubio misses 2-pt shot from 18 ft,,110-112,,
1:33.0,,,110-112,,Defensive rebound by T. Young
1:16.0,,,110-112,,Indiana full timeout
1:11.0,,,110-112,,P. George misses 3-pt shot from 24 ft
1:11.0,Defensive rebound by K. Towns,,110-112,,
0:55.0,Turnover by R. Rubio (bad pass),,110-112,,
0:45.0,Personal foul by G. Dieng (drawn by M. Turner),,110-112,,
0:45.0,,,110-113,1,M. Turner makes free throw 1 of 2
0:45.0,,,110-114,1,M. Turner makes free throw 2 of 2
0:45.0,Minnesota full timeout,,110-114,,
0:40.0,Shooting foul by T. Young (drawn by K. Towns),,110-114,,
0:40.0,K. Towns makes free throw 1 of 2,1,111-114,,
0:40.0,K. Towns makes free throw 2 of 2,1,112-114,,
0:18.0,,,112-114,,J. Teague misses 2-pt shot from 3 ft
0:16.0,Defensive rebound by K. Towns,,112-114,,
0:12.0,Minnesota full timeout,,112-114,,
0:03.0,Shooting foul by J. Teague (drawn by R. Rubio),,112-114,,
0:03.0,R. Rubio makes free throw 1 of 3,1,113-114,,
0:03.0,R. Rubio makes free throw 2 of 3,1,114-114,,
0:03.0,R. Rubio makes free throw 3 of 3,1,115-114,,
0:03.0,,,115-114,,Indiana full timeout
0:03.0,,,115-114,,Indiana full timeout
0:03.0,,,115-114,,C. Miles enters the game for T. Young
0:00.0,,,115-114,,M. Ellis misses 3-pt shot from 26 ft
0:00.0,,,115-114,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
