time,Milwaukee,pts.away,score,pts.home,Dallas
0:13.0,,,74-74,2,H. Barnes makes 2-pt shot from 2 ft
0:13.0,Milwaukee full timeout,,74-74,,
0:01.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,74-74,,
0:00.0,Offensive rebound by Team,,74-74,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:46.0,,,74-76,2,H. Barnes makes 2-pt shot from 20 ft
4:22.0,Turnover by G. Antetokounmpo (bad pass; steal by H. Barnes),,74-76,,
4:01.0,,,74-76,,D. Finney-Smith misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by M. Dellavedova,,74-76,,
3:52.0,Turnover by M. Dellavedova (bad pass; steal by D. Finney-Smith),,74-76,,
3:37.0,Personal foul by G. Antetokounmpo,,74-76,,
3:37.0,,,74-76,,S. Mejri enters the game for A. Bogut
3:29.0,,,74-76,,H. Barnes misses 3-pt shot from 23 ft
3:28.0,Defensive rebound by J. Parker,,74-76,,
3:21.0,Offensive foul by M. Plumlee,,74-76,,
3:21.0,Turnover by M. Plumlee (offensive foul),,74-76,,
3:09.0,,,74-76,,Turnover by W. Matthews (bad pass; steal by G. Antetokounmpo)
3:08.0,,,74-76,,Personal foul by W. Matthews (drawn by G. Antetokounmpo)
2:57.0,M. Dellavedova misses 3-pt shot from 25 ft,,74-76,,
2:56.0,,,74-76,,Defensive rebound by J. Barea
2:36.0,,,74-79,3,J. Barea makes 3-pt shot from 25 ft
2:35.0,Milwaukee full timeout,,74-79,,
2:35.0,,,74-79,,A. Bogut enters the game for S. Mejri
2:19.0,Shooting foul by D. Finney-Smith (drawn by G. Antetokounmpo),,74-79,,
2:19.0,G. Antetokounmpo misses free throw 1 of 2,,74-79,,
2:19.0,Offensive rebound by Team,,74-79,,
2:19.0,G. Antetokounmpo makes free throw 2 of 2,1,75-79,,
1:58.0,,,75-79,,W. Matthews misses 2-pt shot from 7 ft
1:56.0,,,75-79,,Offensive rebound by A. Bogut
1:56.0,,,75-79,,A. Bogut misses 2-pt shot from 1 ft
1:55.0,Defensive rebound by G. Antetokounmpo,,75-79,,
1:49.0,T. Snell misses 3-pt shot from 26 ft,,75-79,,
1:48.0,,,75-79,,Defensive rebound by A. Bogut
1:31.0,,,75-81,2,J. Barea makes 2-pt shot from 12 ft
1:21.0,Turnover by M. Plumlee (bad pass; steal by D. Finney-Smith),,75-81,,
0:59.0,,,75-84,3,W. Matthews makes 3-pt shot from 22 ft (assist by J. Barea)
0:59.0,Milwaukee full timeout,,75-84,,
0:59.0,M. Teletovic enters the game for M. Plumlee,,75-84,,
0:59.0,G. Monroe enters the game for T. Snell,,75-84,,
0:55.0,,,75-84,,Personal foul by W. Matthews (drawn by M. Teletovic)
0:51.0,Turnover by G. Antetokounmpo (step out of bounds),,75-84,,
0:50.0,Personal take foul by J. Parker (drawn by W. Matthews),,75-84,,
0:35.0,Personal take foul by M. Teletovic (drawn by D. Finney-Smith),,75-84,,
0:35.0,,,75-85,1,D. Finney-Smith makes free throw 1 of 2
0:35.0,,,75-86,1,D. Finney-Smith makes free throw 2 of 2
0:27.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,75-86,,
0:25.0,Offensive rebound by G. Monroe,,75-86,,
0:21.0,M. Dellavedova misses 3-pt shot from 25 ft,,75-86,,
0:20.0,,,75-86,,Defensive rebound by A. Bogut
0:00.0,End of 1st overtime,,,,End of 1st overtime
