time,Boston,pts.away,score,pts.home,Houston
3:32.0,J. Crowder misses 3-pt shot from 23 ft,,100-100,,
3:30.0,,,100-100,,Defensive rebound by R. Anderson
3:23.0,,,100-102,2,M. Harrell makes 2-pt shot at rim (assist by T. Ariza)
3:23.0,Boston full timeout,,100-102,,
3:23.0,M. Smart enters the game for J. Jerebko,,100-102,,
3:01.0,A. Bradley makes 2-pt shot from 3 ft (assist by A. Horford),2,102-102,,
2:39.0,Personal foul by A. Bradley (drawn by J. Harden),,102-102,,
2:39.0,Official timeout,,102-102,,
2:39.0,,,102-103,1,J. Harden makes free throw 1 of 2
2:39.0,,,102-104,1,J. Harden makes free throw 2 of 2
2:26.0,,,102-104,,Personal foul by R. Anderson (drawn by I. Thomas)
2:26.0,,,102-104,,E. Gordon enters the game for R. Anderson
2:19.0,A. Horford misses 2-pt shot from 20 ft,,102-104,,
2:18.0,,,102-104,,Defensive rebound by E. Gordon
2:10.0,,,102-104,,Turnover by M. Harrell (bad pass)
1:47.0,I. Thomas misses 2-pt shot from 4 ft (block by M. Harrell),,102-104,,
1:47.0,Offensive rebound by Team,,102-104,,
1:43.0,J. Crowder misses 3-pt shot from 26 ft,,102-104,,
1:42.0,Offensive rebound by M. Smart,,102-104,,
1:40.0,M. Smart misses 2-pt shot from 2 ft,,102-104,,
1:40.0,,,102-104,,Defensive rebound by J. Harden
1:30.0,,,102-104,,J. Harden misses 3-pt shot from 27 ft
1:29.0,Defensive rebound by A. Bradley,,102-104,,
1:07.0,A. Horford misses 2-pt shot from 14 ft,,102-104,,
1:06.0,,,102-104,,Defensive rebound by P. Beverley
0:55.0,,,102-107,3,J. Harden makes 3-pt shot from 27 ft
0:55.0,Boston full timeout,,102-107,,
0:47.0,A. Bradley makes 2-pt shot from 22 ft (assist by M. Smart),2,104-107,,
0:23.0,,,104-107,,J. Harden misses 2-pt shot from 13 ft
0:22.0,,,104-107,,Offensive rebound by P. Beverley
0:16.0,,,104-107,,Flagrant foul type 1 by J. Harden (drawn by M. Smart)
0:16.0,,,104-107,,Turnover by J. Harden (offensive foul)
0:16.0,M. Smart makes flagrant free throw 1 of 2,1,105-107,,
0:16.0,M. Smart makes flagrant free throw 2 of 2,1,106-107,,
0:08.0,I. Thomas misses 2-pt shot from 3 ft,,106-107,,
0:07.0,Offensive rebound by Team,,106-107,,
0:05.0,,,106-107,,S. Dekker enters the game for E. Gordon
0:01.0,A. Horford misses 2-pt shot from 4 ft,,106-107,,
0:01.0,,,106-107,,Defensive rebound by J. Harden
0:00.0,End of 4th quarter,,,,End of 4th quarter
