time,Washington,pts.away,score,pts.home,Miami
10:58.0,K. Oubre misses 2-pt shot from 19 ft,,50-62,,
10:57.0,,,50-62,,Defensive rebound by H. Whiteside
10:44.0,,,50-64,2,R. McGruder makes 2-pt shot from 6 ft
10:30.0,K. Oubre makes 2-pt shot from 1 ft (assist by T. Satoransky),2,52-64,,
10:08.0,,,52-66,2,G. Dragic makes 2-pt shot from 19 ft
9:56.0,S. Mac makes 2-pt shot from 18 ft,2,54-66,,
9:34.0,,,54-66,,J. Richardson misses 2-pt shot from 1 ft
9:33.0,Defensive rebound by T. Satoransky,,54-66,,
9:23.0,K. Oubre misses 3-pt shot from 24 ft,,54-66,,
9:22.0,,,54-66,,Defensive rebound by G. Dragic
9:18.0,,,54-66,,G. Dragic misses 2-pt shot from 18 ft
9:17.0,Defensive rebound by S. Mac,,54-66,,
9:00.0,S. Mac makes 3-pt shot from 25 ft (assist by T. Satoransky),3,57-66,,
8:30.0,,,57-66,,J. Johnson misses 3-pt shot from 24 ft
8:29.0,,,57-66,,Offensive rebound by R. McGruder
8:21.0,,,57-66,,Turnover by G. Dragic (bad pass)
8:09.0,K. Oubre misses 2-pt shot at rim,,57-66,,
8:08.0,,,57-66,,Defensive rebound by J. Johnson
8:03.0,,,57-66,,J. Johnson misses 2-pt shot from 2 ft
8:02.0,,,57-66,,Offensive rebound by H. Whiteside
8:00.0,,,57-68,2,H. Whiteside makes 2-pt shot from 1 ft
7:51.0,Turnover by S. Mac (lost ball; steal by G. Dragic),,57-68,,
7:47.0,,,57-70,2,G. Dragic makes 2-pt shot from 1 ft
7:45.0,Washington full timeout,,57-70,,
7:40.0,Turnover by T. Satoransky (traveling),,57-70,,
7:25.0,,,57-70,,Turnover by H. Whiteside (traveling)
7:09.0,M. Gortat makes 2-pt shot from 3 ft (assist by B. Jennings),2,59-70,,
6:57.0,,,59-73,3,J. Richardson makes 3-pt shot from 25 ft (assist by G. Dragic)
6:44.0,M. Gortat makes 2-pt shot from 1 ft,2,61-73,,
6:20.0,,,61-73,,H. Whiteside misses 2-pt shot at rim
6:19.0,Defensive rebound by B. Jennings,,61-73,,
6:11.0,T. Satoransky makes 2-pt shot from 2 ft (assist by M. Gortat),2,63-73,,
5:55.0,,,63-73,,J. Richardson misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by K. Oubre,,63-73,,
5:43.0,B. Jennings misses 2-pt shot from 18 ft,,63-73,,
5:42.0,,,63-73,,Defensive rebound by H. Whiteside
5:36.0,,,63-73,,G. Dragic misses 2-pt shot from 6 ft
5:35.0,Defensive rebound by M. Gortat,,63-73,,
5:21.0,S. Mac misses 3-pt shot from 24 ft,,63-73,,
5:20.0,,,63-73,,Defensive rebound by J. Richardson
5:09.0,,,63-75,2,J. Johnson makes 2-pt shot at rim
4:40.0,S. Mac misses 3-pt shot from 24 ft,,63-75,,
4:39.0,,,63-75,,Defensive rebound by G. Dragic
4:33.0,,,63-75,,Miami full timeout
4:33.0,T. Burke enters the game for M. Gortat,,63-75,,
4:33.0,D. Ochefu enters the game for T. Satoransky,,63-75,,
