time,Phoenix,pts.away,score,pts.home,Boston
8:51.0,,,90-104,3,I. Thomas makes 3-pt shot from 25 ft
8:43.0,D. Booker misses 2-pt shot from 23 ft,,90-104,,
8:42.0,,,90-104,,Defensive rebound by T. Rozier
8:29.0,,,90-106,2,J. Jerebko makes 2-pt shot from 3 ft (assist by I. Thomas)
8:29.0,Phoenix full timeout,,90-106,,
8:29.0,T. Ulis enters the game for D. Jones,,90-106,,
8:22.0,Turnover by T. Ulis (lost ball),,90-106,,
8:15.0,,,90-106,,Shooting foul by T. Ulis (drawn by I. Thomas)
8:15.0,,,90-107,1,I. Thomas makes free throw 1 of 3
8:15.0,,,90-108,1,I. Thomas makes free throw 2 of 3
8:15.0,,,90-109,1,I. Thomas makes free throw 3 of 3
8:02.0,L. Barbosa misses 2-pt shot from 12 ft,,90-109,,
8:01.0,,,90-109,,Defensive rebound by T. Rozier
7:48.0,,,90-109,,J. Brown misses 3-pt shot from 25 ft
7:48.0,Defensive rebound by A. Williams,,90-109,,
7:43.0,L. Barbosa misses 3-pt shot from 23 ft,,90-109,,
7:41.0,Offensive rebound by J. Dudley,,90-109,,
7:39.0,A. Williams makes 2-pt shot from 2 ft (assist by J. Dudley),2,92-109,,
7:23.0,,,92-109,,I. Thomas misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by A. Williams,,92-109,,
7:12.0,D. Booker makes 2-pt shot from 12 ft,2,94-109,,
6:56.0,,,94-111,2,J. Brown makes 2-pt shot from 19 ft
6:40.0,D. Booker makes 2-pt shot from 1 ft (assist by J. Dudley),2,96-111,,
6:40.0,Shooting foul by J. Jerebko (drawn by D. Booker),,96-111,,
6:40.0,D. Booker makes free throw 1 of 1,1,97-111,,
6:40.0,,,96-111,,A. Johnson enters the game for A. Horford
6:27.0,,,97-113,2,I. Thomas makes 2-pt shot from 18 ft (assist by J. Jerebko)
6:17.0,D. Booker makes 2-pt shot from 11 ft,2,99-113,,
6:01.0,Personal foul by J. Dudley (drawn by I. Thomas),,99-113,,
6:01.0,,,99-114,1,I. Thomas makes free throw 1 of 2
6:01.0,,,99-115,1,I. Thomas makes free throw 2 of 2
6:01.0,,,99-114,,M. Smart enters the game for J. Brown
5:49.0,L. Barbosa misses 3-pt shot from 26 ft,,99-115,,
5:47.0,Offensive rebound by J. Dudley,,99-115,,
5:42.0,Turnover by L. Barbosa (lost ball; steal by T. Rozier),,99-115,,
5:36.0,,,99-117,2,T. Rozier makes 2-pt shot from 1 ft
5:34.0,Phoenix full timeout,,99-117,,
5:34.0,Official timeout,,99-117,,
5:26.0,D. Booker misses 3-pt shot from 25 ft,,99-117,,
5:26.0,,,99-117,,Defensive rebound by A. Johnson
5:02.0,,,99-117,,A. Johnson misses 2-pt shot from 9 ft
5:01.0,Defensive rebound by A. Williams,,99-117,,
4:56.0,L. Barbosa makes 2-pt shot from 1 ft (assist by D. Booker),2,101-117,,
4:39.0,,,101-117,,T. Rozier misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by A. Williams,,101-117,,
4:30.0,,,101-117,,Personal foul by T. Rozier (drawn by D. Booker)
4:30.0,D. Jones enters the game for T. Ulis,,101-117,,
4:24.0,A. Williams misses 2-pt shot from 5 ft,,101-117,,
4:23.0,Offensive rebound by A. Williams,,101-117,,
4:23.0,A. Williams misses 2-pt shot from 1 ft,,101-117,,
4:21.0,,,101-117,,Defensive rebound by M. Smart
4:18.0,,,101-117,,I. Thomas misses 2-pt shot from 2 ft (block by D. Booker)
4:18.0,,,101-117,,Offensive rebound by Team
4:13.0,,,101-119,2,I. Thomas makes 2-pt shot from 2 ft (assist by M. Smart)
4:02.0,D. Booker misses 3-pt shot from 26 ft,,101-119,,
4:01.0,,,101-119,,Defensive rebound by Team
4:01.0,Loose ball foul by D. Jones (drawn by A. Johnson),,101-119,,
4:01.0,,,101-119,,A. Johnson misses free throw 1 of 2
4:01.0,,,101-119,,Offensive rebound by Team
4:01.0,,,101-119,,A. Johnson misses free throw 2 of 2
4:01.0,Defensive rebound by A. Williams,,101-119,,
4:01.0,T. Ulis enters the game for D. Jones,,101-119,,
4:01.0,,,101-119,,J. Brown enters the game for I. Thomas
3:46.0,Shooting foul by J. Jerebko (drawn by D. Booker),,101-119,,
3:46.0,D. Booker makes free throw 1 of 2,1,102-119,,
3:46.0,D. Booker makes free throw 2 of 2,1,103-119,,
3:37.0,Personal foul by D. Booker (drawn by M. Smart),,103-119,,
3:37.0,,,103-120,1,M. Smart makes free throw 1 of 2
3:37.0,,,103-121,1,M. Smart makes free throw 2 of 2
3:17.0,Turnover by D. Booker (bad pass),,103-121,,
3:17.0,,,103-121,,T. Zeller enters the game for A. Johnson
2:58.0,,,103-121,,M. Smart misses 2-pt shot from 6 ft
2:57.0,Defensive rebound by A. Williams,,103-121,,
2:52.0,Offensive foul by J. Dudley,,103-121,,
2:52.0,Turnover by J. Dudley (offensive foul),,103-121,,
2:52.0,,,103-121,,Boston full timeout
2:37.0,,,103-121,,J. Jerebko misses 2-pt shot from 6 ft
2:36.0,Defensive rebound by A. Williams,,103-121,,
2:20.0,D. Booker makes 2-pt shot at rim (assist by J. Dudley),2,105-121,,
2:05.0,,,105-121,,T. Zeller misses 2-pt shot from 16 ft
2:04.0,Defensive rebound by J. Dudley,,105-121,,
1:58.0,D. Booker makes 3-pt shot from 28 ft,3,108-121,,
1:53.0,,,108-121,,Turnover by J. Brown (lost ball)
1:53.0,,,108-121,,Violation by Team (jump ball)
1:49.0,D. Booker misses 2-pt shot from 1 ft (block by T. Zeller),,108-121,,
1:48.0,Offensive rebound by D. Booker,,108-121,,
1:48.0,D. Booker makes 2-pt shot from 2 ft,2,110-121,,
1:48.0,,,110-121,,Boston full timeout
1:31.0,,,110-124,3,J. Jerebko makes 3-pt shot from 25 ft (assist by T. Rozier)
1:19.0,D. Booker makes 3-pt shot from 25 ft (assist by T. Ulis),3,113-124,,
1:10.0,,,113-124,,J. Jerebko misses 3-pt shot from 27 ft
1:08.0,Defensive rebound by L. Barbosa,,113-124,,
1:05.0,,,113-124,,Personal foul by M. Smart (drawn by J. Dudley)
1:05.0,J. Dudley makes free throw 1 of 2,1,114-124,,
1:05.0,J. Dudley misses free throw 2 of 2,,114-124,,
1:05.0,,,114-124,,J. Crowder enters the game for M. Smart
1:05.0,,,114-124,,I. Thomas enters the game for J. Brown
1:04.0,,,114-124,,Defensive rebound by J. Crowder
0:45.0,,,114-126,2,T. Rozier makes 2-pt shot at rim (assist by T. Zeller)
0:45.0,,,114-126,,Personal foul by J. Crowder (drawn by D. Booker)
0:45.0,D. Booker misses free throw 1 of 2,,114-126,,
0:45.0,Offensive rebound by Team,,114-126,,
0:45.0,D. Booker makes free throw 2 of 2,1,115-126,,
0:45.0,Personal foul by A. Williams (drawn by I. Thomas),,115-126,,
0:45.0,,,115-127,1,I. Thomas makes free throw 1 of 2
0:45.0,,,115-128,1,I. Thomas makes free throw 2 of 2
0:45.0,Phoenix full timeout,,115-128,,
0:42.0,Shooting foul by I. Thomas (drawn by D. Booker),,115-128,,
0:42.0,D. Booker makes free throw 1 of 3,1,116-128,,
0:42.0,D. Booker makes free throw 2 of 3,1,117-128,,
0:42.0,D. Booker makes free throw 3 of 3,1,118-128,,
0:41.0,Personal take foul by T. Ulis (drawn by I. Thomas),,118-128,,
0:41.0,,,118-129,1,I. Thomas makes free throw 1 of 2
0:41.0,,,118-130,1,I. Thomas makes free throw 2 of 2
0:41.0,Phoenix full timeout,,118-130,,
0:41.0,,,118-130,,J. Brown enters the game for I. Thomas
0:38.0,Shooting foul by J. Crowder (drawn by D. Booker),,118-130,,
0:38.0,D. Booker makes free throw 1 of 2,1,119-130,,
0:38.0,D. Booker makes free throw 2 of 2,1,120-130,,
0:16.0,,,120-130,,T. Rozier misses 3-pt shot from 26 ft
0:16.0,Defensive rebound by D. Booker,,120-130,,
0:07.0,D. Booker misses 3-pt shot from 31 ft,,120-130,,
0:06.0,Offensive rebound by L. Barbosa,,120-130,,
0:03.0,D. Booker misses 2-pt shot from 11 ft,,120-130,,
0:02.0,,,120-130,,Defensive rebound by T. Rozier
0:00.0,End of 4th quarter,,,,End of 4th quarter
