time,Philadelphia,pts.away,score,pts.home,New Orleans
4:08.0,,,90-83,,A. Davis misses 3-pt shot from 26 ft
4:07.0,Defensive rebound by J. Embiid,,90-83,,
3:50.0,D. Saric makes 3-pt shot from 26 ft (assist by J. Embiid),3,93-83,,
3:41.0,Personal foul by G. Henderson (drawn by S. Hill),,93-83,,
3:41.0,,,93-83,,S. Hill misses free throw 1 of 2
3:41.0,,,93-83,,Offensive rebound by Team
3:41.0,,,93-84,1,S. Hill makes free throw 2 of 2
3:18.0,S. Rodriguez misses 3-pt shot from 26 ft,,93-84,,
3:18.0,Offensive rebound by D. Saric,,93-84,,
3:13.0,Philadelphia full timeout,,93-84,,
3:13.0,,,93-84,,B. Hield enters the game for O. Asik
3:13.0,E. Ilyasova enters the game for G. Henderson,,93-84,,
2:59.0,J. Embiid misses 2-pt shot from 3 ft (block by A. Davis),,93-84,,
2:59.0,Offensive rebound by Team,,93-84,,
2:55.0,E. Ilyasova makes 2-pt shot from 17 ft (assist by S. Rodriguez),2,95-84,,
2:36.0,,,95-84,,A. Davis misses 2-pt shot from 13 ft
2:36.0,Defensive rebound by J. Embiid,,95-84,,
2:16.0,D. Saric misses 3-pt shot from 25 ft,,95-84,,
2:11.0,Offensive rebound by E. Ilyasova,,95-84,,
2:01.0,S. Rodriguez misses 3-pt shot from 27 ft,,95-84,,
1:59.0,,,95-84,,Defensive rebound by L. Galloway
1:48.0,,,95-84,,Turnover by A. Davis (lost ball; steal by J. Embiid)
1:23.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by S. Rodriguez),3,98-84,,
1:23.0,,,98-84,,New Orleans full timeout
1:23.0,G. Henderson enters the game for D. Saric,,98-84,,
1:23.0,,,98-84,,A. Ajinca enters the game for A. Davis
1:14.0,,,98-84,,L. Galloway misses 3-pt shot from 27 ft (block by J. Embiid)
1:14.0,Defensive rebound by Team,,98-84,,
0:54.0,Shooting foul by S. Hill (drawn by E. Ilyasova),,98-84,,
0:54.0,E. Ilyasova misses free throw 1 of 2,,98-84,,
0:54.0,Offensive rebound by Team,,98-84,,
0:54.0,E. Ilyasova makes free throw 2 of 2,1,99-84,,
0:54.0,T. McConnell enters the game for J. Embiid,,98-84,,
0:50.0,,,99-86,2,L. Galloway makes 2-pt shot from 2 ft (assist by T. Frazier)
0:28.0,S. Rodriguez misses 2-pt shot from 15 ft,,99-86,,
0:26.0,Offensive rebound by E. Ilyasova,,99-86,,
0:23.0,E. Ilyasova misses 2-pt shot from 2 ft,,99-86,,
0:23.0,,,99-86,,Defensive rebound by B. Hield
0:14.0,,,99-88,2,A. Ajinca makes 2-pt shot at rim (assist by B. Hield)
0:00.0,End of 4th quarter,,,,End of 4th quarter
