time,Phoenix,pts.away,score,pts.home,Brooklyn
0:22.0,Turnover by L. Barbosa (lost ball; steal by Q. Acy),,65-84,,
0:03.0,,,65-84,,T. Booker misses 2-pt shot from 11 ft
0:02.0,Defensive rebound by A. Williams,,65-84,,
0:00.0,A. Williams misses 3-pt shot from 77 ft,,65-84,,
0:00.0,Offensive rebound by Team,,65-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,D. Booker misses 2-pt shot from 13 ft,,65-84,,
11:43.0,,,65-84,,Defensive rebound by K. McDaniels
11:35.0,,,65-86,2,S. Dinwiddie makes 2-pt shot from 11 ft
11:26.0,M. Chriss makes 2-pt shot at rim (assist by T. Ulis),2,67-86,,
11:07.0,,,67-89,3,Q. Acy makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
10:51.0,Turnover by M. Chriss (bad pass; steal by S. Dinwiddie),,67-89,,
10:42.0,Personal foul by D. Booker (drawn by S. Dinwiddie),,67-89,,
10:42.0,A. Len enters the game for J. Dudley,,67-89,,
10:33.0,,,67-89,,Turnover by T. Booker (traveling)
10:16.0,Shooting foul by Q. Acy (drawn by A. Len),,67-89,,
10:16.0,A. Len makes free throw 1 of 2,1,68-89,,
10:16.0,A. Len makes free throw 2 of 2,1,69-89,,
9:58.0,,,69-89,,Q. Acy misses 2-pt shot from 2 ft (block by A. Len)
9:56.0,Defensive rebound by T. Ulis,,69-89,,
9:47.0,D. Booker misses 2-pt shot from 7 ft,,69-89,,
9:44.0,,,69-89,,Defensive rebound by T. Booker
9:38.0,,,69-91,2,T. Booker makes 2-pt shot from 1 ft
9:27.0,Offensive charge foul by A. Len,,69-91,,
9:27.0,Turnover by A. Len (offensive foul),,69-91,,
9:06.0,,,69-94,3,K. McDaniels makes 3-pt shot from 24 ft (assist by Q. Acy)
9:00.0,Phoenix full timeout,,69-94,,
8:53.0,Turnover by T. Ulis (bad pass; steal by K. McDaniels),,69-94,,
8:50.0,,,69-96,2,K. McDaniels makes 2-pt shot from 2 ft
8:35.0,Shooting foul by R. Foye (drawn by M. Chriss),,69-96,,
8:35.0,M. Chriss makes free throw 1 of 2,1,70-96,,
8:35.0,M. Chriss makes free throw 2 of 2,1,71-96,,
8:27.0,,,71-96,,Shooting foul by A. Len
8:27.0,,,71-97,1,K. McDaniels makes free throw 1 of 2
8:27.0,,,71-98,1,K. McDaniels makes free throw 2 of 2
8:13.0,T. Ulis misses 2-pt shot from 21 ft,,71-98,,
8:12.0,,,71-98,,Defensive rebound by T. Booker
8:01.0,,,71-98,,Shooting foul by A. Len (drawn by Q. Acy)
8:01.0,,,71-99,1,Q. Acy makes free throw 1 of 2
8:01.0,,,71-100,1,Q. Acy makes free throw 2 of 2
8:01.0,A. Williams enters the game for A. Len,,71-98,,
7:47.0,D. Booker misses 2-pt shot from 16 ft,,71-100,,
7:46.0,Offensive rebound by A. Williams,,71-100,,
7:42.0,T. Ulis misses 2-pt shot from 17 ft,,71-100,,
7:39.0,Offensive rebound by T. Ulis,,71-100,,
7:33.0,M. Chriss makes 3-pt shot from 25 ft (assist by T. Ulis),3,74-100,,
7:30.0,,,74-100,,Brooklyn full timeout
7:30.0,,,74-100,,J. Hamilton enters the game for Q. Acy
7:30.0,,,74-100,,A. Goodwin enters the game for S. Dinwiddie
7:30.0,,,74-100,,I. Whitehead enters the game for K. McDaniels
7:18.0,,,74-103,3,T. Booker makes 3-pt shot from 25 ft
7:05.0,L. Barbosa makes 2-pt shot from 13 ft,2,76-103,,
6:57.0,,,76-103,,T. Booker misses 2-pt shot from 2 ft
6:56.0,Defensive rebound by A. Williams,,76-103,,
6:51.0,D. Booker misses 2-pt shot from 2 ft (block by I. Whitehead),,76-103,,
6:49.0,,,76-103,,Defensive rebound by A. Goodwin
6:45.0,,,76-105,2,A. Goodwin makes 2-pt shot from 2 ft
6:25.0,L. Barbosa makes 2-pt shot from 2 ft,2,78-105,,
5:59.0,,,78-105,,J. Hamilton misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by A. Williams,,78-105,,
5:51.0,,,78-105,,Personal foul by J. Hamilton (drawn by L. Barbosa)
5:51.0,,,78-105,,A. Nicholson enters the game for T. Booker
5:40.0,T. Ulis misses 3-pt shot from 24 ft,,78-105,,
5:39.0,Offensive rebound by M. Chriss,,78-105,,
5:32.0,Turnover by T. Ulis (bad pass; steal by J. Hamilton),,78-105,,
5:29.0,,,78-105,,Shooting foul by D. Booker (drawn by J. Hamilton)
5:29.0,,,78-106,1,J. Hamilton makes free throw 1 of 2
5:29.0,,,78-107,1,J. Hamilton makes free throw 2 of 2
5:29.0,,,78-106,,K. McDaniels enters the game for R. Foye
5:11.0,A. Williams misses 2-pt shot from 4 ft,,78-107,,
5:11.0,,,78-107,,Defensive rebound by A. Nicholson
5:01.0,,,78-109,2,J. Hamilton makes 2-pt shot from 18 ft (assist by A. Goodwin)
4:54.0,Shooting foul by J. Hamilton (drawn by D. Booker),,78-109,,
4:54.0,D. Booker makes free throw 1 of 2,1,79-109,,
4:54.0,D. Booker misses free throw 2 of 2,,79-109,,
4:54.0,J. Eddie enters the game for T. Ulis,,79-109,,
4:53.0,Offensive rebound by A. Williams,,79-109,,
4:50.0,A. Williams makes 2-pt shot from 1 ft,2,81-109,,
4:38.0,,,81-111,2,A. Goodwin makes 2-pt shot from 3 ft (assist by J. Hamilton)
4:30.0,Shooting foul by K. McDaniels (drawn by L. Barbosa),,81-111,,
4:30.0,L. Barbosa misses free throw 1 of 2,,81-111,,
4:30.0,Offensive rebound by Team,,81-111,,
4:30.0,L. Barbosa makes free throw 2 of 2,1,82-111,,
4:18.0,,,82-113,2,J. Hamilton makes 2-pt shot from 5 ft (assist by A. Goodwin)
4:03.0,M. Chriss misses 3-pt shot from 26 ft,,82-113,,
4:02.0,,,82-113,,Defensive rebound by A. Goodwin
3:57.0,,,82-113,,Shooting foul by D. Booker (drawn by A. Goodwin)
3:57.0,,,82-114,1,A. Goodwin makes free throw 1 of 2
3:57.0,,,82-115,1,A. Goodwin makes free throw 2 of 2
3:43.0,L. Barbosa makes 2-pt shot from 4 ft,2,84-115,,
3:37.0,,,84-115,,Shooting foul by D. Booker (drawn by I. Whitehead)
3:37.0,,,84-116,1,I. Whitehead makes free throw 1 of 2
3:37.0,,,84-116,,I. Whitehead misses free throw 2 of 2
3:37.0,T. Ulis enters the game for D. Booker,,84-115,,
3:36.0,Defensive rebound by M. Chriss,,84-116,,
3:15.0,Shooting foul by K. McDaniels (drawn by L. Barbosa),,84-116,,
3:15.0,L. Barbosa makes free throw 1 of 2,1,85-116,,
3:15.0,L. Barbosa makes free throw 2 of 2,1,86-116,,
3:04.0,,,86-116,,J. Hamilton misses 2-pt shot from 3 ft
3:03.0,Defensive rebound by J. Eddie,,86-116,,
2:59.0,,,86-116,,Shooting block foul by I. Whitehead (drawn by J. Eddie)
2:59.0,Official timeout,,86-116,,
2:59.0,J. Eddie makes free throw 1 of 2,1,87-116,,
2:59.0,J. Eddie makes free throw 2 of 2,1,88-116,,
2:42.0,,,88-119,3,A. Goodwin makes 3-pt shot from 25 ft
2:27.0,M. Chriss misses 2-pt shot from 16 ft,,88-119,,
2:26.0,,,88-119,,Defensive rebound by A. Goodwin
2:10.0,,,88-119,,Turnover by A. Nicholson (lost ball; steal by J. Eddie)
2:07.0,Shooting foul by K. McDaniels (drawn by A. Williams),,88-119,,
2:07.0,A. Williams makes free throw 1 of 2,1,89-119,,
2:07.0,A. Williams makes free throw 2 of 2,1,90-119,,
1:57.0,,,90-121,2,A. Goodwin makes 2-pt shot from 2 ft
1:49.0,M. Chriss misses 3-pt shot from 25 ft,,90-121,,
1:48.0,,,90-121,,Defensive rebound by Team
1:48.0,Loose ball foul by A. Williams (drawn by J. Hamilton),,90-121,,
1:48.0,,,90-122,1,J. Hamilton makes free throw 1 of 2
1:48.0,,,90-123,1,J. Hamilton makes free throw 2 of 2
1:38.0,T. Ulis makes 2-pt shot from 12 ft,2,92-123,,
1:26.0,,,92-123,,A. Nicholson misses 3-pt shot from 27 ft
1:25.0,Defensive rebound by M. Chriss,,92-123,,
1:14.0,L. Barbosa makes 2-pt shot from 17 ft (assist by T. Ulis),2,94-123,,
1:05.0,Personal foul by L. Barbosa (drawn by A. Goodwin),,94-123,,
1:05.0,,,94-123,,A. Goodwin misses free throw 1 of 2
1:05.0,,,94-123,,Offensive rebound by Team
1:05.0,,,94-124,1,A. Goodwin makes free throw 2 of 2
0:56.0,T. Ulis makes 2-pt shot from 17 ft,2,96-124,,
0:38.0,,,96-126,2,J. Hamilton makes 2-pt shot from 2 ft (assist by A. Goodwin)
0:23.0,T. Ulis misses 2-pt shot from 20 ft,,96-126,,
0:22.0,Offensive rebound by L. Barbosa,,96-126,,
0:19.0,L. Barbosa misses 3-pt shot from 25 ft,,96-126,,
0:19.0,Offensive rebound by M. Chriss,,96-126,,
0:19.0,M. Chriss makes 2-pt shot at rim,2,98-126,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
