time,Denver,pts.away,score,pts.home,Atlanta
5:05.0,W. Barton misses 3-pt shot from 24 ft,,101-107,,
5:03.0,,,101-107,,Defensive rebound by D. Howard
4:45.0,,,101-109,2,D. Schroder makes 2-pt shot from 2 ft
4:25.0,W. Barton misses 2-pt shot from 10 ft,,101-109,,
4:22.0,,,101-109,,Defensive rebound by D. Howard
4:11.0,,,101-109,,T. Hardaway misses 2-pt shot at rim
4:10.0,,,101-109,,Offensive rebound by D. Howard
4:09.0,Personal foul by W. Chandler (drawn by D. Howard),,101-109,,
4:09.0,G. Harris enters the game for J. Murray,,101-109,,
4:09.0,J. Nelson enters the game for J. Hernangomez,,101-109,,
4:03.0,,,101-109,,D. Schroder misses 3-pt shot from 24 ft
4:02.0,Defensive rebound by W. Barton,,101-109,,
3:54.0,Shooting foul by P. Millsap (drawn by W. Chandler),,101-109,,
3:54.0,W. Chandler misses free throw 1 of 2,,101-109,,
3:54.0,Offensive rebound by Team,,101-109,,
3:54.0,W. Chandler misses free throw 2 of 2,,101-109,,
3:52.0,Offensive rebound by N. Jokic,,101-109,,
3:49.0,N. Jokic misses 2-pt shot from 2 ft,,101-109,,
3:49.0,,,101-109,,Defensive rebound by D. Howard
3:49.0,Personal foul by N. Jokic (drawn by D. Howard),,101-109,,
3:38.0,,,101-109,,D. Schroder misses 2-pt shot from 16 ft
3:36.0,Defensive rebound by W. Chandler,,101-109,,
3:28.0,N. Jokic makes 2-pt shot from 2 ft (assist by W. Chandler),2,103-109,,
3:01.0,,,103-109,,D. Schroder misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by W. Barton,,103-109,,
2:56.0,G. Harris makes 2-pt shot at rim (assist by W. Barton),2,105-109,,
2:38.0,Denver full timeout,,105-109,,
2:32.0,,,105-109,,Turnover by K. Bazemore (lost ball; steal by W. Barton)
2:27.0,W. Barton misses 2-pt shot from 1 ft (block by K. Bazemore),,105-109,,
2:24.0,Offensive rebound by J. Nelson,,105-109,,
2:02.0,G. Harris misses 3-pt shot from 25 ft,,105-109,,
2:01.0,,,105-109,,Defensive rebound by K. Bazemore
1:47.0,,,105-109,,Shooting foul by W. Chandler (drawn by P. Millsap)
1:47.0,,,105-111,2,P. Millsap makes 2-pt shot from 12 ft
1:47.0,,,105-112,1,P. Millsap makes free throw 1 of 1
1:35.0,W. Chandler misses 2-pt shot from 10 ft,,105-112,,
1:35.0,,,105-112,,Defensive rebound by Team
1:13.0,,,105-112,,D. Schroder misses 2-pt shot from 2 ft
1:13.0,,,105-112,,Offensive rebound by K. Bazemore
1:13.0,,,105-112,,K. Bazemore misses 2-pt shot from 2 ft
1:10.0,,,105-112,,Offensive rebound by D. Schroder
1:10.0,Personal foul by G. Harris (drawn by D. Schroder),,105-112,,
1:10.0,,,105-113,1,D. Schroder makes free throw 1 of 2
1:10.0,,,105-114,1,D. Schroder makes free throw 2 of 2
0:56.0,W. Barton misses 3-pt shot from 23 ft,,105-114,,
0:54.0,Offensive rebound by W. Chandler,,105-114,,
0:54.0,,,105-114,,Personal foul by T. Hardaway (drawn by W. Chandler)
0:54.0,W. Chandler misses free throw 1 of 2,,105-114,,
0:54.0,Offensive rebound by Team,,105-114,,
0:54.0,W. Chandler makes free throw 2 of 2,1,106-114,,
0:52.0,Personal take foul by W. Chandler (drawn by K. Bazemore),,106-114,,
0:52.0,,,106-114,,K. Bazemore misses free throw 1 of 2
0:52.0,,,106-114,,Offensive rebound by Team
0:52.0,,,106-115,1,K. Bazemore makes free throw 2 of 2
0:39.0,J. Nelson misses 2-pt shot from 20 ft,,106-115,,
0:38.0,,,106-115,,Defensive rebound by P. Millsap
0:38.0,Personal foul by W. Chandler (drawn by P. Millsap),,106-115,,
0:38.0,,,106-116,1,P. Millsap makes free throw 1 of 2
0:38.0,,,106-117,1,P. Millsap makes free throw 2 of 2
0:38.0,J. Hernangomez enters the game for W. Chandler,,106-115,,
0:38.0,,,106-116,,M. Muscala enters the game for D. Howard
0:30.0,J. Nelson misses 3-pt shot from 25 ft,,106-117,,
0:27.0,Offensive rebound by N. Jokic,,106-117,,
0:27.0,N. Jokic misses 2-pt shot from 1 ft,,106-117,,
0:26.0,,,106-117,,Defensive rebound by P. Millsap
0:03.0,,,106-117,,Turnover by Team (shot clock)
0:03.0,,,106-117,,D. Bembry enters the game for T. Hardaway
0:00.0,End of 4th quarter,,,,End of 4th quarter
