time,New York,pts.away,score,pts.home,Houston
6:56.0,J. Noah enters the game for W. Hernangomez,,104-110,,
6:47.0,,,105-110,,Turnover by J. Harden (lost ball; steal by J. Holiday)
6:38.0,J. Holiday misses 3-pt shot from 25 ft,,105-110,,
6:37.0,,,105-110,,Defensive rebound by J. Harden
6:18.0,,,105-110,,E. Gordon misses 2-pt shot from 5 ft
6:17.0,Defensive rebound by J. Noah,,105-110,,
6:04.0,D. Rose misses 2-pt shot from 2 ft,,105-110,,
6:03.0,,,105-110,,Defensive rebound by T. Ariza
5:48.0,,,105-110,,T. Ariza misses 3-pt shot from 24 ft
5:47.0,Defensive rebound by L. Thomas,,105-110,,
5:40.0,B. Jennings makes 2-pt shot at rim,2,107-110,,
5:38.0,,,107-110,,Houston full timeout
5:38.0,,,107-110,,M. Harrell enters the game for C. Brewer
5:32.0,Personal block foul by J. Noah (drawn by J. Harden),,107-110,,
5:32.0,,,107-111,1,J. Harden makes free throw 1 of 2
5:32.0,,,107-112,1,J. Harden makes free throw 2 of 2
5:13.0,D. Rose misses 2-pt shot from 1 ft,,107-112,,
5:12.0,,,107-112,,Defensive rebound by J. Harden
5:04.0,,,107-112,,J. Harden misses 3-pt shot from 25 ft
5:03.0,Defensive rebound by J. Noah,,107-112,,
4:54.0,B. Jennings misses 2-pt shot from 7 ft,,107-112,,
4:51.0,Offensive rebound by J. Noah,,107-112,,
4:51.0,J. Noah makes 2-pt shot from 2 ft,2,109-112,,
4:39.0,,,109-114,2,M. Harrell makes 2-pt shot from 1 ft (assist by E. Gordon)
4:19.0,D. Rose misses 2-pt shot from 6 ft,,109-114,,
4:17.0,Offensive rebound by J. Noah,,109-114,,
4:17.0,J. Noah makes 2-pt shot from 1 ft,2,111-114,,
4:01.0,,,111-114,,Shooting foul by J. Holiday (drawn by J. Harden)
4:01.0,,,111-115,1,J. Harden makes free throw 1 of 3
4:01.0,,,111-116,1,J. Harden makes free throw 2 of 3
4:01.0,,,111-117,1,J. Harden makes free throw 3 of 3
3:46.0,B. Jennings misses 2-pt shot from 2 ft,,111-117,,
3:45.0,,,111-117,,Defensive rebound by M. Harrell
3:37.0,,,111-119,2,R. Anderson makes 2-pt shot from 23 ft (assist by J. Harden)
3:37.0,New York full timeout,,111-119,,
3:32.0,,,111-119,,Personal foul by E. Gordon (drawn by B. Jennings)
3:21.0,L. Thomas misses 3-pt shot from 24 ft,,111-119,,
3:20.0,,,111-119,,Defensive rebound by T. Ariza
3:07.0,,,111-119,,J. Harden misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by Team,,111-119,,
2:52.0,J. Holiday misses 3-pt shot from 25 ft,,111-119,,
2:51.0,,,111-119,,Defensive rebound by Team
2:26.0,,,111-121,2,T. Ariza makes 2-pt shot from 5 ft (assist by J. Harden)
2:11.0,Shooting foul by M. Harrell (drawn by L. Thomas),,111-121,,
2:11.0,L. Thomas makes free throw 1 of 2,1,112-121,,
2:11.0,L. Thomas makes free throw 2 of 2,1,113-121,,
1:58.0,,,113-121,,E. Gordon misses 3-pt shot from 26 ft
1:57.0,Defensive rebound by J. Holiday,,113-121,,
1:52.0,B. Jennings misses 3-pt shot from 26 ft,,113-121,,
1:50.0,,,113-121,,Defensive rebound by M. Harrell
1:40.0,,,113-124,3,R. Anderson makes 3-pt shot from 28 ft (assist by J. Harden)
1:40.0,New York full timeout,,113-124,,
1:33.0,J. Holiday misses 3-pt shot from 25 ft,,113-124,,
1:32.0,,,113-124,,Defensive rebound by M. Harrell
1:16.0,,,113-127,3,J. Harden makes 3-pt shot from 26 ft (assist by R. Anderson)
1:07.0,J. Noah makes 2-pt shot from 6 ft,2,115-127,,
0:54.0,,,115-127,,J. Harden misses 3-pt shot from 26 ft
0:53.0,,,115-127,,Offensive rebound by R. Anderson
0:49.0,,,115-127,,T. Ariza misses 3-pt shot from 23 ft
0:48.0,Defensive rebound by B. Jennings,,115-127,,
0:41.0,J. Holiday makes 3-pt shot from 25 ft (assist by B. Jennings),3,118-127,,
0:35.0,,,118-129,2,M. Harrell makes 2-pt shot from 1 ft (assist by T. Ariza)
0:26.0,J. Noah makes 2-pt shot from 1 ft,2,120-129,,
0:26.0,,,120-129,,Shooting block foul by R. Anderson (drawn by J. Noah)
0:26.0,J. Noah misses free throw 1 of 1,,120-129,,
0:26.0,,,120-129,,Defensive rebound by J. Harden
0:09.0,,,120-129,,E. Gordon misses 3-pt shot from 23 ft
0:08.0,Defensive rebound by J. Holiday,,120-129,,
0:02.0,B. Jennings makes 2-pt shot at rim,2,122-129,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
