time,LA Clippers,pts.away,score,pts.home,Philadelphia
6:01.0,L. Mbah a Moute enters the game for D. Jordan,,98-106,,
5:47.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,98-106,,
5:46.0,Offensive rebound by Team,,98-106,,
5:39.0,J. Crawford misses 2-pt shot from 7 ft,,98-106,,
5:37.0,,,98-106,,Defensive rebound by R. Covington
5:24.0,,,98-106,,S. Rodriguez misses 3-pt shot from 25 ft
5:23.0,Defensive rebound by Team,,98-106,,
5:02.0,Turnover by J. Crawford (bad pass; steal by N. Noel),,98-106,,
4:46.0,,,98-109,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by N. Stauskas)
4:35.0,,,98-109,,Personal block foul by E. Ilyasova (drawn by J. Redick)
4:35.0,J. Redick makes free throw 1 of 2,1,99-109,,
4:35.0,J. Redick misses free throw 2 of 2,,99-109,,
4:35.0,,,99-109,,D. Saric enters the game for E. Ilyasova
4:34.0,,,99-109,,Defensive rebound by S. Rodriguez
4:22.0,,,99-109,,Turnover by N. Noel (lost ball; steal by B. Griffin)
4:18.0,Turnover by B. Griffin (dbl dribble),,99-109,,
4:18.0,,,99-109,,Philadelphia full timeout
3:53.0,,,99-111,2,N. Noel makes 2-pt shot from 1 ft (assist by D. Saric)
3:36.0,,,99-111,,Personal foul by N. Noel (drawn by B. Griffin)
3:36.0,B. Griffin makes free throw 1 of 2,1,100-111,,
3:36.0,B. Griffin misses free throw 2 of 2,,100-111,,
3:36.0,,,100-111,,T. McConnell enters the game for S. Rodriguez
3:35.0,,,100-111,,Defensive rebound by N. Noel
3:26.0,Personal foul by B. Griffin (drawn by N. Noel),,100-111,,
3:19.0,,,100-113,2,T. McConnell makes 2-pt shot from 2 ft (assist by N. Noel)
2:59.0,J. Redick makes 3-pt shot from 26 ft (assist by A. Rivers),3,103-113,,
2:45.0,,,103-115,2,D. Saric makes 2-pt shot from 2 ft (assist by T. McConnell)
2:30.0,,,103-115,,Shooting block foul by N. Noel (drawn by B. Griffin)
2:30.0,B. Griffin makes free throw 1 of 2,1,104-115,,
2:30.0,B. Griffin misses free throw 2 of 2,,104-115,,
2:30.0,D. Jordan enters the game for L. Mbah a Moute,,104-115,,
2:29.0,,,104-115,,Defensive rebound by D. Saric
2:07.0,,,104-115,,T. McConnell misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by Team,,104-115,,
1:43.0,B. Griffin misses 2-pt shot from 4 ft (block by N. Noel),,104-115,,
1:42.0,Offensive rebound by D. Jordan,,104-115,,
1:42.0,Shooting foul by R. Covington (drawn by D. Jordan),,104-115,,
1:42.0,D. Jordan misses free throw 1 of 2,,104-115,,
1:42.0,Offensive rebound by Team,,104-115,,
1:42.0,D. Jordan makes free throw 2 of 2,1,105-115,,
1:17.0,,,105-115,,D. Saric misses 2-pt shot from 3 ft
1:15.0,Defensive rebound by D. Jordan,,105-115,,
1:08.0,Turnover by B. Griffin (bad pass; steal by R. Covington),,105-115,,
0:59.0,Personal foul by A. Rivers (drawn by T. McConnell),,105-115,,
0:59.0,W. Johnson enters the game for B. Griffin,,105-115,,
0:59.0,,,105-115,,G. Henderson enters the game for N. Stauskas
0:52.0,Personal foul by D. Jordan (drawn by G. Henderson),,105-115,,
0:52.0,,,105-116,1,G. Henderson makes free throw 1 of 2
0:52.0,,,105-117,1,G. Henderson makes free throw 2 of 2
0:52.0,LA Clippers full timeout,,105-117,,
0:49.0,J. Crawford makes 3-pt shot from 22 ft (assist by J. Redick),3,108-117,,
0:45.0,Personal foul by A. Rivers (drawn by G. Henderson),,108-117,,
0:45.0,,,108-118,1,G. Henderson makes free throw 1 of 2
0:45.0,,,108-119,1,G. Henderson makes free throw 2 of 2
0:45.0,LA Clippers full timeout,,108-119,,
0:42.0,J. Redick misses 3-pt shot from 30 ft,,108-119,,
0:41.0,Offensive rebound by W. Johnson,,108-119,,
0:40.0,W. Johnson makes 2-pt shot from 7 ft,2,110-119,,
0:39.0,Personal foul by J. Redick (drawn by D. Saric),,110-119,,
0:39.0,,,110-120,1,D. Saric makes free throw 1 of 2
0:39.0,,,110-121,1,D. Saric makes free throw 2 of 2
0:30.0,A. Rivers misses 2-pt shot from 3 ft (block by D. Saric),,110-121,,
0:28.0,,,110-121,,Defensive rebound by N. Noel
0:00.0,,,110-121,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
