time,Philadelphia,pts.away,score,pts.home,Chicago
5:40.0,,,105-92,,Offensive rebound by J. Butler
5:35.0,,,105-94,2,A. Morrow makes 2-pt shot from 13 ft (assist by J. Butler)
5:27.0,D. Saric misses 2-pt shot from 7 ft (block by M. Carter-Williams),,105-94,,
5:25.0,Jump ball: M. Carter-Williams vs. D. Saric (J. Butler gains possession),,,,Jump ball: M. Carter-Williams vs. D. Saric (J. Butler gains possession)
5:25.0,,,105-94,,Offensive rebound by Team
5:18.0,,,105-94,,A. Morrow misses 2-pt shot from 10 ft (block by G. Henderson)
5:16.0,Defensive rebound by G. Henderson,,105-94,,
5:11.0,G. Henderson makes 3-pt shot from 24 ft (assist by N. Stauskas),3,108-94,,
4:57.0,,,108-96,2,J. Butler makes 2-pt shot from 9 ft
4:38.0,Shooting foul by D. Valentine (drawn by D. Saric),,108-96,,
4:38.0,D. Saric makes free throw 1 of 2,1,109-96,,
4:38.0,D. Saric misses free throw 2 of 2,,109-96,,
4:38.0,R. Covington enters the game for N. Stauskas,,109-96,,
4:36.0,Offensive rebound by R. Holmes,,109-96,,
4:19.0,G. Henderson misses 3-pt shot from 24 ft,,109-96,,
4:18.0,,,109-96,,Defensive rebound by J. Butler
4:11.0,,,109-96,,J. Butler misses 2-pt shot from 4 ft
4:10.0,Defensive rebound by D. Saric,,109-96,,
3:50.0,Shooting foul by M. Carter-Williams (drawn by T. McConnell),,109-96,,
3:50.0,T. McConnell makes free throw 1 of 2,1,110-96,,
3:50.0,T. McConnell makes free throw 2 of 2,1,111-96,,
3:35.0,,,111-96,,D. Valentine misses 3-pt shot from 26 ft
3:34.0,Defensive rebound by G. Henderson,,111-96,,
3:23.0,D. Saric misses 2-pt shot from 4 ft,,111-96,,
3:22.0,,,111-96,,Defensive rebound by D. Valentine
3:14.0,,,111-99,3,M. Carter-Williams makes 3-pt shot from 23 ft (assist by J. Butler)
2:59.0,Turnover by R. Holmes (bad pass),,111-99,,
2:59.0,,,111-99,,Chicago full timeout
2:45.0,,,111-99,,J. Butler misses 2-pt shot from 2 ft
2:44.0,Defensive rebound by R. Covington,,111-99,,
2:31.0,Turnover by D. Saric (lost ball),,111-99,,
2:23.0,,,111-99,,Shooting foul by R. Holmes (drawn by J. Butler)
2:23.0,,,111-99,,J. Butler misses free throw 1 of 2
2:23.0,,,111-99,,Offensive rebound by Team
2:23.0,,,111-100,1,J. Butler makes free throw 2 of 2
2:11.0,D. Saric makes 3-pt shot from 25 ft (assist by T. McConnell),3,114-100,,
1:56.0,,,114-102,2,B. Portis makes 2-pt shot from 21 ft (assist by J. Butler)
1:50.0,Philadelphia full timeout,,114-102,,
1:35.0,Shooting foul by D. Valentine (drawn by G. Henderson),,114-102,,
1:35.0,G. Henderson misses free throw 1 of 2,,114-102,,
1:35.0,Offensive rebound by Team,,114-102,,
1:35.0,G. Henderson makes free throw 2 of 2,1,115-102,,
1:18.0,,,115-102,,J. Butler misses 2-pt shot from 6 ft
1:17.0,Defensive rebound by T. McConnell,,115-102,,
1:08.0,,,115-102,,Personal foul by B. Portis (drawn by D. Saric)
1:08.0,D. Saric makes free throw 1 of 2,1,116-102,,
1:08.0,D. Saric makes free throw 2 of 2,1,117-102,,
1:08.0,,,116-102,,P. Zipser enters the game for J. Butler
1:00.0,,,117-102,,Shooting foul by D. Saric (drawn by M. Carter-Williams)
1:00.0,,,117-103,1,M. Carter-Williams makes free throw 1 of 2
1:00.0,,,117-104,1,M. Carter-Williams makes free throw 2 of 2
0:45.0,R. Holmes misses 2-pt shot from 6 ft,,117-104,,
0:44.0,,,117-104,,Defensive rebound by B. Portis
0:36.0,,,117-104,,Turnover by B. Portis (bad pass; steal by R. Covington)
0:15.0,T. McConnell misses 2-pt shot from 2 ft (block by M. Carter-Williams),,117-104,,
0:13.0,Offensive rebound by T. McConnell,,117-104,,
0:12.0,Turnover by Team (shot clock),,117-104,,
0:04.0,,,117-107,3,D. Valentine makes 3-pt shot from 23 ft (assist by M. Carter-Williams)
0:00.0,End of 4th quarter,,,,End of 4th quarter
