time,New York,pts.away,score,pts.home,Philadelphia
5:38.0,,,89-92,2,J. Okafor makes 2-pt shot from 1 ft (assist by D. Saric)
5:17.0,C. Anthony misses 2-pt shot from 18 ft,,89-92,,
5:15.0,,,89-92,,Defensive rebound by T. Luwawu-Cabarrot
5:02.0,,,89-94,2,T. McConnell makes 2-pt shot from 1 ft
5:00.0,New York full timeout,,89-94,,
5:00.0,,,89-94,,R. Holmes enters the game for J. Okafor
5:00.0,C. Lee enters the game for R. Baker,,89-94,,
5:00.0,,,89-94,,R. Covington enters the game for T. Luwawu-Cabarrot
4:41.0,K. Porzingis makes 2-pt shot from 6 ft (assist by C. Anthony),2,91-94,,
4:41.0,Shooting foul by R. Covington (drawn by K. Porzingis),,91-94,,
4:41.0,K. Porzingis makes free throw 1 of 1,1,92-94,,
4:21.0,,,92-94,,D. Saric misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by L. Thomas,,92-94,,
4:10.0,L. Thomas makes 3-pt shot from 25 ft (assist by D. Rose),3,95-94,,
3:54.0,,,95-96,2,D. Saric makes 2-pt shot from 6 ft
3:37.0,C. Anthony misses 2-pt shot from 8 ft,,95-96,,
3:36.0,,,95-96,,Defensive rebound by D. Saric
3:17.0,,,95-96,,T. McConnell misses 3-pt shot from 24 ft
3:16.0,Defensive rebound by K. Porzingis,,95-96,,
3:08.0,Shooting foul by D. Saric (drawn by D. Rose),,95-96,,
3:08.0,D. Rose makes free throw 1 of 2,1,96-96,,
3:08.0,D. Rose misses free throw 2 of 2,,96-96,,
3:08.0,,,96-96,,Defensive rebound by T. McConnell
3:08.0,,,96-96,,N. Stauskas enters the game for J. Anderson
2:56.0,,,96-96,,T. McConnell misses 2-pt shot from 4 ft
2:54.0,Defensive rebound by K. Porzingis,,96-96,,
2:50.0,D. Rose makes 2-pt shot at rim,2,98-96,,
2:50.0,Shooting foul by T. McConnell (drawn by D. Rose),,98-96,,
2:50.0,Official timeout,,98-96,,
2:50.0,D. Rose misses free throw 1 of 1,,98-96,,
2:48.0,,,98-96,,Defensive rebound by R. Covington
2:37.0,Personal foul by C. Anthony (drawn by D. Saric),,98-96,,
2:25.0,,,98-98,2,D. Saric makes 2-pt shot from 1 ft
2:03.0,C. Lee misses 2-pt shot from 1 ft,,98-98,,
2:01.0,,,98-98,,Defensive rebound by T. McConnell
1:56.0,,,98-98,,R. Covington misses 2-pt shot from 1 ft (block by C. Anthony)
1:54.0,,,98-98,,Offensive rebound by Team
1:46.0,,,98-100,2,T. McConnell makes 2-pt shot from 12 ft
1:24.0,C. Anthony misses 2-pt shot from 11 ft,,98-100,,
1:21.0,Offensive rebound by L. Thomas,,98-100,,
1:21.0,L. Thomas makes 2-pt shot from 2 ft,2,100-100,,
1:05.0,,,100-100,,Turnover by D. Saric (bad pass; steal by C. Lee)
1:01.0,Shooting foul by R. Covington (drawn by D. Rose),,100-100,,
1:01.0,D. Rose makes free throw 1 of 2,1,101-100,,
1:01.0,D. Rose makes free throw 2 of 2,1,102-100,,
0:48.0,,,102-100,,Shooting foul by K. Porzingis (drawn by D. Saric)
0:48.0,,,102-100,,D. Saric misses free throw 1 of 2
0:48.0,,,102-100,,Offensive rebound by Team
0:48.0,,,102-101,1,D. Saric makes free throw 2 of 2
0:48.0,New York full timeout,,102-101,,
0:48.0,,,102-100,,J. Anderson enters the game for N. Stauskas
0:47.0,D. Rose misses 2-pt shot from 3 ft,,102-101,,
0:45.0,,,102-101,,Defensive rebound by D. Saric
0:24.0,,,102-103,2,J. Anderson makes 2-pt shot from 6 ft (assist by D. Saric)
0:24.0,New York full timeout,,102-103,,
0:18.0,D. Rose misses 2-pt shot from 3 ft (block by T. McConnell),,102-103,,
0:18.0,,,102-103,,Defensive rebound by Team
0:18.0,,,102-103,,Philadelphia full timeout
0:18.0,J. Holiday enters the game for C. Anthony,,102-103,,
0:18.0,,,102-103,,N. Stauskas enters the game for R. Holmes
0:18.0,,,102-103,,S. Rodriguez enters the game for J. Anderson
0:16.0,,,102-103,,Turnover by R. Covington (back court)
0:16.0,C. Anthony enters the game for J. Holiday,,102-103,,
0:16.0,,,102-103,,J. Anderson enters the game for N. Stauskas
0:16.0,,,102-103,,R. Holmes enters the game for S. Rodriguez
0:07.0,C. Anthony misses 2-pt shot from 14 ft,,102-103,,
0:03.0,Offensive rebound by L. Thomas,,102-103,,
0:03.0,L. Thomas misses 2-pt shot from 5 ft,,102-103,,
0:03.0,,,102-103,,Defensive rebound by D. Saric
0:03.0,Personal foul by K. Porzingis (drawn by D. Saric),,102-103,,
0:03.0,,,102-104,1,D. Saric makes free throw 1 of 2
0:03.0,,,102-105,1,D. Saric makes free throw 2 of 2
0:03.0,New York full timeout,,102-105,,
0:01.0,C. Lee misses 3-pt shot from 25 ft,,102-105,,
0:00.0,Offensive rebound by Team,,102-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
