time,Golden State,pts.away,score,pts.home,New Orleans
4:20.0,Loose ball foul by S. Curry (drawn by D. Cunningham),,48-42,,
4:20.0,K. Thompson enters the game for Z. Pachulia,,48-42,,
4:17.0,,,48-42,,L. Galloway misses 3-pt shot from 26 ft
4:16.0,Defensive rebound by K. Durant,,48-42,,
4:12.0,,,48-42,,Violation by A. Davis (kicked ball)
4:04.0,K. Thompson makes 2-pt shot from 2 ft (assist by K. Durant),2,50-42,,
3:46.0,,,50-42,,D. Cunningham misses 2-pt shot from 2 ft
3:45.0,Defensive rebound by K. Durant,,50-42,,
3:40.0,K. Thompson makes 2-pt shot from 18 ft (assist by K. Durant),2,52-42,,
3:35.0,,,52-42,,New Orleans full timeout
3:35.0,,,52-42,,T. Frazier enters the game for L. Galloway
3:30.0,Personal foul by S. Curry (drawn by A. Davis),,52-42,,
3:30.0,,,52-43,1,A. Davis makes free throw 1 of 2
3:30.0,,,52-44,1,A. Davis makes free throw 2 of 2
3:30.0,P. McCaw enters the game for S. Curry,,52-43,,
3:22.0,K. Thompson makes 2-pt shot from 2 ft (assist by A. Iguodala),2,54-44,,
3:01.0,,,54-44,,Turnover by E. Moore (bad pass; steal by K. Thompson)
2:53.0,K. Durant misses 2-pt shot at rim (block by D. Cunningham),,54-44,,
2:51.0,,,54-44,,Defensive rebound by D. Cunningham
2:46.0,,,54-46,2,D. Cunningham makes 2-pt shot from 1 ft (assist by A. Davis)
2:29.0,K. Thompson misses 3-pt shot from 24 ft,,54-46,,
2:27.0,,,54-46,,Defensive rebound by D. Cunningham
2:14.0,,,54-46,,A. Davis misses 2-pt shot from 17 ft
2:13.0,Defensive rebound by K. Durant,,54-46,,
2:04.0,K. Durant makes 2-pt shot from 20 ft,2,56-46,,
1:38.0,,,56-46,,Turnover by Team (shot clock)
1:26.0,D. Green misses 2-pt shot from 5 ft (block by A. Davis),,56-46,,
1:24.0,,,56-46,,Defensive rebound by L. Stephenson
1:17.0,,,56-46,,Turnover by L. Stephenson (bad pass; steal by K. Thompson)
1:13.0,,,56-46,,Personal foul by A. Davis (drawn by D. Green)
1:10.0,,,56-46,,Personal foul by E. Moore (drawn by D. Green)
1:10.0,D. Green makes free throw 1 of 2,1,57-46,,
1:10.0,D. Green misses free throw 2 of 2,,57-46,,
1:09.0,,,57-46,,Defensive rebound by L. Stephenson
0:56.0,,,57-48,2,A. Davis makes 2-pt shot at rim (assist by T. Frazier)
0:49.0,K. Durant makes 2-pt shot from 3 ft,2,59-48,,
0:33.0,,,59-48,,E. Moore misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by K. Durant,,59-48,,
0:09.0,K. Durant misses 2-pt shot from 8 ft,,59-48,,
0:09.0,,,59-48,,Defensive rebound by A. Davis
0:02.0,,,59-50,2,A. Davis makes 2-pt shot from 12 ft (assist by T. Frazier)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,59-50,,T. Frazier misses 2-pt shot from 9 ft
11:49.0,Defensive rebound by Z. Pachulia,,59-50,,
11:40.0,D. Green makes 3-pt shot from 26 ft (assist by S. Curry),3,62-50,,
11:30.0,,,62-50,,A. Davis misses 2-pt shot from 21 ft
11:30.0,,,62-50,,Offensive rebound by T. Frazier
11:19.0,,,62-50,,D. Cunningham misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by K. Durant,,62-50,,
11:11.0,K. Durant misses 3-pt shot from 27 ft,,62-50,,
11:09.0,,,62-50,,Defensive rebound by D. Cunningham
10:53.0,,,62-52,2,A. Davis makes 2-pt shot from 15 ft
10:33.0,Turnover by K. Durant (bad pass),,62-52,,
10:24.0,,,62-52,,E. Moore misses 2-pt shot from 16 ft
10:23.0,Defensive rebound by D. Green,,62-52,,
10:14.0,S. Curry misses 2-pt shot from 19 ft,,62-52,,
10:13.0,,,62-52,,Defensive rebound by T. Frazier
10:01.0,,,62-54,2,A. Davis makes 2-pt shot from 18 ft (assist by E. Moore)
9:42.0,D. Green misses 2-pt shot from 2 ft (block by D. Cunningham),,62-54,,
9:40.0,Offensive rebound by Z. Pachulia,,62-54,,
9:37.0,K. Thompson misses 3-pt shot from 25 ft,,62-54,,
9:36.0,,,62-54,,Defensive rebound by E. Moore
9:28.0,,,62-56,2,E. Moore makes 2-pt shot from 2 ft
9:14.0,S. Curry makes 2-pt shot from 3 ft (assist by Z. Pachulia),2,64-56,,
9:06.0,,,64-58,2,T. Frazier makes 2-pt shot from 2 ft
8:55.0,S. Curry misses 2-pt shot from 2 ft,,64-58,,
8:53.0,Offensive rebound by Team,,64-58,,
8:53.0,Golden State full timeout,,64-58,,
8:50.0,K. Thompson misses 3-pt shot from 24 ft,,64-58,,
8:49.0,,,64-58,,Defensive rebound by A. Davis
8:38.0,,,64-60,2,A. Davis makes 2-pt shot from 4 ft (assist by T. Frazier)
8:25.0,K. Thompson makes 2-pt shot from 3 ft (assist by S. Curry),2,66-60,,
8:01.0,,,66-63,3,T. Frazier makes 3-pt shot from 26 ft
7:52.0,,,66-63,,Personal foul by E. Moore (drawn by K. Thompson)
7:42.0,K. Durant misses 2-pt shot from 16 ft,,66-63,,
7:41.0,,,66-63,,Defensive rebound by D. Cunningham
7:19.0,,,66-65,2,E. Moore makes 2-pt shot from 23 ft (assist by T. Frazier)
7:04.0,Turnover by K. Thompson (bad pass; steal by E. Moore),,66-65,,
6:54.0,,,66-65,,Turnover by E. Moore (bad pass; steal by K. Durant)
6:52.0,Shooting foul by S. Hill (drawn by K. Durant),,66-65,,
6:52.0,K. Durant makes free throw 1 of 2,1,67-65,,
6:52.0,K. Durant makes free throw 2 of 2,1,68-65,,
6:52.0,A. Iguodala enters the game for Z. Pachulia,,67-65,,
6:39.0,,,68-68,3,A. Davis makes 3-pt shot from 25 ft (assist by E. Moore)
6:23.0,A. Iguodala makes 3-pt shot from 23 ft (assist by K. Durant),3,71-68,,
6:06.0,,,71-70,2,T. Frazier makes 2-pt shot from 1 ft
5:49.0,A. Iguodala misses 3-pt shot from 23 ft,,71-70,,
5:48.0,Offensive rebound by S. Curry,,71-70,,
5:45.0,Turnover by S. Curry (bad pass; steal by E. Moore),,71-70,,
5:45.0,,,71-70,,Turnover by D. Cunningham (bad pass)
5:34.0,A. Iguodala makes 2-pt shot from 16 ft,2,73-70,,
5:20.0,,,73-72,2,T. Frazier makes 2-pt shot from 2 ft
5:20.0,Golden State full timeout,,73-72,,
5:20.0,K. Looney enters the game for K. Durant,,73-72,,
5:00.0,S. Curry misses 3-pt shot from 27 ft,,73-72,,
5:00.0,,,73-72,,Defensive rebound by D. Cunningham
4:36.0,,,73-74,2,T. Frazier makes 2-pt shot from 2 ft
4:30.0,,,73-74,,Personal foul by S. Hill (drawn by D. Green)
4:24.0,,,73-74,,Personal foul by T. Frazier (drawn by K. Thompson)
4:24.0,,,73-74,,B. Hield enters the game for E. Moore
4:09.0,K. Thompson misses 3-pt shot from 23 ft,,73-74,,
4:08.0,Offensive rebound by D. Green,,73-74,,
4:04.0,K. Thompson misses 3-pt shot from 25 ft,,73-74,,
4:03.0,Offensive rebound by K. Looney,,73-74,,
3:57.0,S. Curry makes 3-pt shot from 23 ft (assist by K. Looney),3,76-74,,
3:48.0,,,76-74,,T. Frazier misses 2-pt shot from 12 ft
3:47.0,,,76-74,,Offensive rebound by T. Frazier
3:42.0,,,76-74,,D. Cunningham misses 2-pt shot from 17 ft
3:41.0,Defensive rebound by K. Looney,,76-74,,
3:37.0,Shooting foul by T. Frazier (drawn by S. Curry),,76-74,,
3:37.0,S. Curry makes free throw 1 of 3,1,77-74,,
3:37.0,S. Curry makes free throw 2 of 3,1,78-74,,
