time,Chicago,pts.away,score,pts.home,Minnesota
2:33.0,,,85-115,3,N. Bjelica makes 3-pt shot from 25 ft (assist by T. Jones)
2:15.0,M. Carter-Williams misses 2-pt shot from 6 ft,,85-115,,
2:14.0,,,85-115,,Defensive rebound by Team
2:14.0,,,85-115,,L. Stephenson enters the game for A. Wiggins
2:00.0,,,85-115,,Turnover by L. Stephenson (bad pass; steal by M. Carter-Williams)
1:49.0,C. Felicio misses 2-pt shot from 5 ft,,85-115,,
1:49.0,,,85-115,,Defensive rebound by C. Aldrich
1:24.0,,,85-115,,N. Bjelica misses 2-pt shot from 12 ft
1:23.0,Defensive rebound by B. Portis,,85-115,,
1:16.0,I. Canaan misses 2-pt shot from 13 ft,,85-115,,
1:15.0,Offensive rebound by C. Felicio,,85-115,,
1:15.0,C. Felicio makes 2-pt shot from 1 ft,2,87-115,,
0:54.0,,,87-117,2,L. Stephenson makes 2-pt shot from 5 ft
0:44.0,M. Carter-Williams makes 2-pt shot from 12 ft,2,89-117,,
0:28.0,,,89-117,,N. Bjelica misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by M. Carter-Williams,,89-117,,
0:16.0,I. Canaan misses 2-pt shot from 20 ft,,89-117,,
0:15.0,Offensive rebound by D. Valentine,,89-117,,
0:11.0,D. Valentine misses 3-pt shot from 24 ft,,89-117,,
0:10.0,,,89-117,,Defensive rebound by N. Bjelica
0:00.0,End of 4th quarter,,,,End of 4th quarter
