time,Portland,pts.away,score,pts.home,Denver
8:40.0,,,65-84,2,W. Chandler makes 2-pt shot at rim (assist by E. Mudiay)
8:30.0,D. Lillard misses 2-pt shot from 12 ft,,65-84,,
8:29.0,,,65-84,,Defensive rebound by G. Harris
8:17.0,,,65-86,2,K. Faried makes 2-pt shot from 1 ft (assist by G. Harris)
8:01.0,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum),2,67-86,,
8:01.0,,,67-86,,Denver full timeout
7:39.0,,,67-86,,E. Mudiay misses 3-pt shot from 27 ft
7:38.0,Defensive rebound by M. Harkless,,67-86,,
7:32.0,D. Lillard makes 2-pt shot from 17 ft,2,69-86,,
7:19.0,,,69-86,,D. Gallinari misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by M. Plumlee,,69-86,,
7:17.0,,,69-86,,Loose ball foul by K. Faried (drawn by M. Plumlee)
7:01.0,C. McCollum makes 3-pt shot from 27 ft (assist by D. Lillard),3,72-86,,
6:41.0,,,72-86,,Turnover by E. Mudiay (bad pass)
6:29.0,D. Lillard misses 2-pt shot from 2 ft (block by G. Harris),,72-86,,
6:28.0,,,72-86,,Defensive rebound by W. Chandler
6:18.0,,,72-89,3,E. Mudiay makes 3-pt shot from 24 ft (assist by G. Harris)
5:59.0,,,72-89,,Personal foul by K. Faried (drawn by M. Plumlee)
5:59.0,,,72-89,,J. Nelson enters the game for E. Mudiay
5:52.0,D. Lillard misses 3-pt shot from 28 ft,,72-89,,
5:51.0,,,72-89,,Defensive rebound by Team
5:32.0,,,72-89,,K. Faried misses 2-pt shot from 2 ft
5:31.0,Defensive rebound by N. Vonleh,,72-89,,
5:19.0,M. Harkless misses 3-pt shot from 26 ft,,72-89,,
5:17.0,,,72-89,,Defensive rebound by G. Harris
5:11.0,,,72-91,2,G. Harris makes 2-pt shot from 2 ft
4:46.0,Turnover by N. Vonleh (lost ball; steal by K. Faried),,72-91,,
4:45.0,Personal foul by N. Vonleh (drawn by K. Faried),,72-91,,
4:45.0,A. Crabbe enters the game for C. McCollum,,72-91,,
4:42.0,E. Turner enters the game for N. Vonleh,,72-91,,
