time,Phoenix,pts.away,score,pts.home,Portland
5:39.0,Offensive charge foul by M. Chriss,,101-119,,
5:39.0,Turnover by M. Chriss (offensive foul),,101-119,,
5:39.0,Official timeout,,101-119,,
5:22.0,,,101-119,,E. Turner misses 2-pt shot from 14 ft
5:22.0,Defensive rebound by Team,,101-119,,
5:05.0,T. Ulis makes 2-pt shot from 14 ft,2,103-119,,
4:38.0,,,103-119,,E. Turner misses 2-pt shot from 16 ft
4:37.0,,,103-119,,Offensive rebound by A. Aminu
4:20.0,,,103-122,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
4:14.0,,,103-122,,Shooting block foul by N. Vonleh (drawn by D. Booker)
4:14.0,D. Booker makes free throw 1 of 2,1,104-122,,
4:14.0,D. Booker makes free throw 2 of 2,1,105-122,,
3:55.0,,,105-122,,Shooting foul by A. Len (drawn by D. Lillard)
3:55.0,,,105-123,1,D. Lillard makes free throw 1 of 2
3:55.0,,,105-124,1,D. Lillard makes free throw 2 of 2
3:47.0,D. Booker misses 3-pt shot from 25 ft,,105-124,,
3:47.0,Offensive rebound by D. Booker,,105-124,,
3:44.0,D. Booker makes 2-pt shot from 11 ft,2,107-124,,
3:25.0,,,107-124,,Shooting foul by A. Len (drawn by D. Lillard)
3:25.0,,,107-125,1,D. Lillard makes free throw 1 of 2
3:25.0,,,107-126,1,D. Lillard makes free throw 2 of 2
3:25.0,D. Jones enters the game for A. Len,,107-124,,
3:20.0,Shooting foul by N. Vonleh (drawn by D. Booker),,107-126,,
3:20.0,D. Booker makes free throw 1 of 2,1,108-126,,
3:20.0,D. Booker makes free throw 2 of 2,1,109-126,,
3:04.0,,,109-126,,A. Aminu misses 2-pt shot from 1 ft (block by M. Chriss)
3:03.0,Defensive rebound by D. Jones,,109-126,,
2:49.0,T. Ulis makes 2-pt shot from 2 ft,2,111-126,,
2:49.0,,,111-126,,Portland full timeout
2:49.0,,,111-126,,S. Napier enters the game for C. McCollum
2:49.0,,,111-126,,J. Layman enters the game for D. Lillard
2:49.0,,,111-126,,P. Connaughton enters the game for A. Aminu
2:49.0,,,111-126,,M. Leonard enters the game for E. Turner
2:30.0,Personal foul by D. Jones (drawn by M. Leonard),,111-126,,
2:30.0,,,111-127,1,M. Leonard makes free throw 1 of 2
2:30.0,,,111-128,1,M. Leonard makes free throw 2 of 2
2:20.0,T. Warren makes 3-pt shot from 24 ft (assist by T. Ulis),3,114-128,,
2:04.0,,,114-128,,S. Napier misses 2-pt shot from 1 ft
2:04.0,Defensive rebound by M. Chriss,,114-128,,
1:59.0,Shooting foul by M. Leonard (drawn by T. Ulis),,114-128,,
1:59.0,T. Ulis makes free throw 1 of 2,1,115-128,,
1:59.0,T. Ulis misses free throw 2 of 2,,115-128,,
1:58.0,,,115-128,,Defensive rebound by S. Napier
1:38.0,,,115-128,,S. Napier misses 2-pt shot from 2 ft (block by M. Chriss)
1:38.0,,,115-128,,Offensive rebound by Team
1:34.0,,,115-128,,S. Napier misses 2-pt shot from 18 ft
1:33.0,Defensive rebound by D. Booker,,115-128,,
1:27.0,M. Chriss misses 3-pt shot from 25 ft,,115-128,,
1:25.0,,,115-128,,Defensive rebound by N. Vonleh
1:02.0,,,115-128,,P. Connaughton misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by M. Chriss,,115-128,,
0:56.0,Turnover by D. Booker (lost ball; steal by N. Vonleh),,115-128,,
0:52.0,,,115-130,2,P. Connaughton makes 2-pt shot at rim (assist by N. Vonleh)
0:44.0,T. Warren makes 2-pt shot from 8 ft,2,117-130,,
0:21.0,,,117-130,,S. Napier misses 3-pt shot from 25 ft
0:21.0,Defensive rebound by M. Chriss,,117-130,,
0:17.0,Turnover by D. Booker (bad pass; steal by P. Connaughton),,117-130,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
