time,Utah,pts.away,score,pts.home,Charlotte
2:11.0,R. Hood misses free throw 2 of 2,,94-101,,
2:10.0,,,94-101,,Defensive rebound by N. Batum
2:07.0,Personal foul by G. Hayward (drawn by K. Walker),,94-101,,
2:07.0,,,94-102,1,K. Walker makes free throw 1 of 2
2:07.0,,,94-103,1,K. Walker makes free throw 2 of 2
1:51.0,Turnover by G. Hayward (bad pass),,94-103,,
1:33.0,,,94-103,,K. Walker misses 2-pt shot from 18 ft
1:33.0,,,94-103,,Offensive rebound by Team
1:33.0,Loose ball foul by G. Hayward (drawn by C. Zeller),,94-103,,
1:33.0,,,94-103,,C. Zeller misses free throw 1 of 2
1:33.0,,,94-103,,Offensive rebound by Team
1:33.0,,,94-104,1,C. Zeller makes free throw 2 of 2
1:33.0,Utah full timeout,,94-104,,
1:23.0,R. Hood misses 3-pt shot from 25 ft,,94-104,,
1:22.0,,,94-104,,Defensive rebound by M. Williams
1:09.0,,,94-104,,K. Walker misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by D. Favors,,94-104,,
0:59.0,D. Favors misses 3-pt shot from 25 ft,,94-104,,
0:59.0,Offensive rebound by Team,,94-104,,
0:59.0,,,94-104,,Loose ball foul by K. Walker (drawn by G. Hayward)
0:59.0,G. Hayward makes free throw 1 of 2,1,95-104,,
0:59.0,G. Hayward makes free throw 2 of 2,1,96-104,,
0:59.0,,,96-104,,Charlotte full timeout
0:59.0,,,96-104,,M. Belinelli enters the game for M. Kidd-Gilchrist
0:44.0,,,96-104,,Turnover by M. Belinelli (bad pass; steal by R. Hood)
0:39.0,S. Mack misses 2-pt shot from 1 ft,,96-104,,
0:38.0,Offensive rebound by J. Johnson,,96-104,,
0:34.0,J. Johnson misses 3-pt shot from 24 ft,,96-104,,
0:33.0,,,96-104,,Defensive rebound by C. Zeller
0:09.0,,,96-104,,K. Walker misses 2-pt shot from 1 ft
0:08.0,Defensive rebound by J. Johnson,,96-104,,
0:03.0,S. Mack makes 2-pt shot from 1 ft (assist by J. Johnson),2,98-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
