time,Portland,pts.away,score,pts.home,Brooklyn
4:48.0,E. Turner makes free throw 2 of 2,1,118-95,,
4:48.0,S. Napier enters the game for C. McCollum,,117-95,,
4:31.0,,,118-95,,I. Whitehead misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by M. Plumlee,,118-95,,
4:16.0,A. Crabbe misses 2-pt shot from 21 ft,,118-95,,
4:15.0,,,118-95,,Defensive rebound by L. Scola
4:08.0,,,118-95,,R. Hollis-Jefferson misses 2-pt shot from 16 ft
4:07.0,,,118-95,,Offensive rebound by A. Bennett
4:01.0,,,118-97,2,I. Whitehead makes 2-pt shot from 7 ft (assist by A. Bennett)
3:44.0,S. Napier misses 3-pt shot from 24 ft,,118-97,,
3:42.0,,,118-97,,Defensive rebound by I. Whitehead
3:36.0,,,118-97,,Shooting foul by M. Plumlee (drawn by L. Scola)
3:36.0,,,118-98,1,L. Scola makes free throw 1 of 2
3:36.0,,,118-98,,L. Scola misses free throw 2 of 2
3:36.0,N. Vonleh enters the game for M. Plumlee,,118-98,,
3:36.0,J. Layman enters the game for M. Harkless,,118-98,,
3:35.0,Defensive rebound by N. Vonleh,,118-98,,
3:17.0,J. Layman misses 3-pt shot from 24 ft,,118-98,,
3:16.0,,,118-98,,Defensive rebound by R. Hollis-Jefferson
3:12.0,,,118-98,,Shooting foul by J. Layman (drawn by I. Whitehead)
3:12.0,,,118-99,1,I. Whitehead makes free throw 1 of 2
3:12.0,,,118-100,1,I. Whitehead makes free throw 2 of 2
3:12.0,Portland full timeout,,118-100,,
3:00.0,Offensive foul by N. Vonleh,,118-100,,
3:00.0,Turnover by N. Vonleh (offensive foul),,118-100,,
2:43.0,,,118-100,,Shooting foul by N. Vonleh (drawn by A. Bennett)
2:43.0,,,118-100,,A. Bennett misses free throw 1 of 2
2:43.0,,,118-100,,Offensive rebound by Team
2:43.0,,,118-101,1,A. Bennett makes free throw 2 of 2
2:43.0,P. Connaughton enters the game for E. Turner,,118-100,,
2:22.0,Shooting foul by J. Harris (drawn by S. Napier),,118-101,,
2:22.0,S. Napier makes free throw 1 of 2,1,119-101,,
2:22.0,S. Napier makes free throw 2 of 2,1,120-101,,
2:22.0,T. Quarterman enters the game for A. Crabbe,,119-101,,
2:12.0,,,120-101,,Shooting foul by J. Layman (drawn by J. Harris)
2:12.0,,,120-102,1,J. Harris makes free throw 1 of 2
2:12.0,,,120-103,1,J. Harris makes free throw 2 of 2
2:00.0,S. Napier makes 3-pt shot from 25 ft,3,123-103,,
1:50.0,,,123-103,,I. Whitehead misses 2-pt shot from 8 ft (block by N. Vonleh)
1:47.0,,,123-103,,Offensive rebound by L. Scola
1:45.0,,,123-103,,L. Scola misses 2-pt shot from 3 ft
1:44.0,Defensive rebound by J. Layman,,123-103,,
1:36.0,J. Layman makes 2-pt shot from 21 ft (assist by T. Quarterman),2,125-103,,
1:27.0,,,125-103,,R. Hollis-Jefferson misses 3-pt shot from 25 ft
1:26.0,,,125-103,,Offensive rebound by A. Bennett
1:26.0,,,125-103,,Shooting foul by N. Vonleh (drawn by A. Bennett)
1:26.0,,,125-105,2,A. Bennett makes 2-pt shot from 3 ft
1:26.0,,,125-105,,A. Bennett misses free throw 1 of 1
1:26.0,M. Leonard enters the game for N. Vonleh,,125-105,,
1:25.0,Defensive rebound by J. Layman,,125-105,,
1:02.0,J. Layman misses 3-pt shot from 25 ft,,125-105,,
1:02.0,Offensive rebound by T. Quarterman,,125-105,,
1:01.0,T. Quarterman makes 2-pt shot at rim,2,127-105,,
0:45.0,,,127-105,,J. Harris misses 3-pt shot from 25 ft
0:44.0,,,127-105,,Offensive rebound by A. Bennett
0:44.0,Personal foul by T. Quarterman (drawn by A. Bennett),,127-105,,
0:44.0,,,127-106,1,A. Bennett makes free throw 1 of 2
0:44.0,,,127-106,,A. Bennett misses free throw 2 of 2
0:43.0,Defensive rebound by J. Layman,,127-106,,
0:28.0,P. Connaughton misses 3-pt shot from 23 ft,,127-106,,
0:27.0,,,127-106,,Defensive rebound by Team
0:27.0,Loose ball foul by J. Layman (drawn by A. Bennett),,127-106,,
0:27.0,,,127-107,1,A. Bennett makes free throw 1 of 2
0:27.0,,,127-107,,A. Bennett misses free throw 2 of 2
0:26.0,Defensive rebound by M. Leonard,,127-107,,
0:26.0,,,127-107,,Personal foul by L. Scola (drawn by M. Leonard)
0:26.0,M. Leonard makes free throw 1 of 2,1,128-107,,
0:26.0,M. Leonard makes free throw 2 of 2,1,129-107,,
0:19.0,,,129-107,,Shooting foul by M. Leonard (drawn by L. Scola)
0:19.0,,,129-108,1,L. Scola makes free throw 1 of 2
0:19.0,,,129-109,1,L. Scola makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
