time,Denver,pts.away,score,pts.home,Houston
1:31.0,Offensive rebound by J. Murray,,47-57,,
1:25.0,,,47-57,,Personal foul by J. Harden (drawn by W. Chandler)
1:11.0,W. Chandler misses 2-pt shot from 18 ft,,47-57,,
1:10.0,,,47-57,,Defensive rebound by T. Ariza
1:04.0,,,47-57,,Turnover by J. Harden (bad pass; steal by J. Murray)
1:00.0,J. Murray misses 2-pt shot from 2 ft (block by J. Harden),,47-57,,
0:59.0,,,47-57,,Defensive rebound by P. Beverley
0:50.0,,,47-57,,E. Gordon misses 3-pt shot from 28 ft
0:49.0,Defensive rebound by N. Jokic,,47-57,,
0:38.0,N. Jokic makes 2-pt shot from 2 ft (assist by D. Gallinari),2,49-57,,
0:30.0,,,49-57,,P. Beverley misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by N. Jokic,,49-57,,
0:21.0,,,49-57,,Personal foul by J. Harden (drawn by W. Chandler)
0:21.0,W. Chandler misses free throw 1 of 2,,49-57,,
0:21.0,Offensive rebound by Team,,49-57,,
0:21.0,W. Chandler makes free throw 2 of 2,1,50-57,,
0:01.0,,,50-59,2,J. Harden makes 2-pt shot from 14 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,50-59,,J. Harden misses 3-pt shot from 27 ft
11:51.0,Defensive rebound by D. Gallinari,,50-59,,
11:38.0,Shooting foul by T. Ariza (drawn by D. Gallinari),,50-59,,
11:38.0,D. Gallinari makes free throw 1 of 3,1,51-59,,
11:38.0,D. Gallinari makes free throw 2 of 3,1,52-59,,
11:38.0,D. Gallinari makes free throw 3 of 3,1,53-59,,
11:13.0,,,53-62,3,T. Ariza makes 3-pt shot from 26 ft
11:01.0,Turnover by D. Gallinari (bad pass; steal by T. Williams),,53-62,,
10:55.0,,,53-62,,T. Williams misses 2-pt shot from 2 ft
10:54.0,Defensive rebound by G. Harris,,53-62,,
10:46.0,N. Jokic makes 2-pt shot from 7 ft (assist by J. Nelson),2,55-62,,
10:31.0,,,55-64,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
10:17.0,Shooting foul by T. Williams (drawn by G. Harris),,55-64,,
10:17.0,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic),2,57-64,,
10:17.0,G. Harris misses free throw 1 of 1,,57-64,,
10:17.0,,,57-64,,Defensive rebound by C. Capela
