time,Utah,pts.away,score,pts.home,Milwaukee
4:38.0,,,101-86,,Turnover by M. Beasley (lost ball; steal by G. Hill)
4:26.0,,,101-86,,Personal foul by J. Henson (drawn by R. Gobert)
4:26.0,J. Ingles enters the game for D. Exum,,101-86,,
4:21.0,G. Hayward misses 3-pt shot from 26 ft,,101-86,,
4:20.0,,,101-86,,Defensive rebound by J. Henson
4:10.0,,,101-86,,Shooting foul by G. Hayward (drawn by M. Brogdon)
4:10.0,,,101-87,1,M. Brogdon makes free throw 1 of 2
4:10.0,,,101-88,1,M. Brogdon makes free throw 2 of 2
3:53.0,G. Hayward makes 2-pt shot from 7 ft,2,103-88,,
3:32.0,,,103-90,2,G. Antetokounmpo makes 2-pt shot from 13 ft
3:17.0,Shooting foul by M. Brogdon (drawn by G. Hill),,103-90,,
3:17.0,G. Hill makes free throw 1 of 2,1,104-90,,
3:17.0,G. Hill makes free throw 2 of 2,1,105-90,,
3:17.0,,,104-90,,M. Dellavedova enters the game for M. Brogdon
2:58.0,,,105-90,,J. Henson misses 2-pt shot from 8 ft
2:57.0,Defensive rebound by J. Ingles,,105-90,,
2:43.0,G. Hill misses 2-pt shot at rim,,105-90,,
2:42.0,,,105-90,,Defensive rebound by G. Antetokounmpo
2:37.0,,,105-90,,Shooting foul by G. Hayward (drawn by G. Antetokounmpo)
2:37.0,Utah full timeout,,105-90,,
2:37.0,,,105-91,1,G. Antetokounmpo makes free throw 1 of 2
2:37.0,,,105-92,1,G. Antetokounmpo makes free throw 2 of 2
2:16.0,G. Hayward makes 2-pt shot from 5 ft,2,107-92,,
2:02.0,,,107-92,,J. Terry misses 3-pt shot from 26 ft
2:00.0,Defensive rebound by R. Gobert,,107-92,,
1:43.0,Offensive foul by J. Johnson,,107-92,,
1:43.0,Turnover by J. Johnson (offensive foul),,107-92,,
1:25.0,,,107-92,,Turnover by G. Antetokounmpo (bad pass)
1:16.0,,,107-92,,Personal foul by G. Antetokounmpo (drawn by G. Hayward)
1:16.0,G. Hayward makes free throw 1 of 2,1,108-92,,
1:16.0,G. Hayward makes free throw 2 of 2,1,109-92,,
1:06.0,,,109-92,,M. Dellavedova misses 2-pt shot from 9 ft
1:04.0,Defensive rebound by R. Gobert,,109-92,,
0:48.0,G. Hayward misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,109-92,,
0:46.0,,,109-92,,Defensive rebound by G. Antetokounmpo
0:44.0,,,109-95,3,J. Terry makes 3-pt shot from 28 ft (assist by G. Antetokounmpo)
0:20.0,J. Johnson misses 2-pt shot from 9 ft,,109-95,,
0:19.0,Offensive rebound by G. Hayward,,109-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
