time,Indiana,pts.away,score,pts.home,Portland
2:02.0,,,106-124,,P. Connaughton enters the game for M. Harkless
2:02.0,,,106-124,,S. Napier enters the game for E. Davis
2:02.0,,,106-124,,J. Layman enters the game for M. Plumlee
2:02.0,,,106-124,,T. Quarterman enters the game for C. McCollum
2:02.0,,,106-124,,N. Vonleh enters the game for D. Lillard
2:02.0,R. Christmas enters the game for A. Brooks,,106-124,,
1:46.0,,,107-124,,Turnover by J. Layman (bad pass; steal by G. Robinson)
1:41.0,G. Robinson makes 2-pt shot from 20 ft,2,109-124,,
1:26.0,,,109-126,2,N. Vonleh makes 2-pt shot from 1 ft
1:14.0,G. Robinson misses 3-pt shot from 25 ft,,109-126,,
1:13.0,,,109-126,,Defensive rebound by N. Vonleh
1:01.0,,,109-128,2,T. Quarterman makes 2-pt shot from 8 ft
0:52.0,J. Young misses 3-pt shot from 25 ft,,109-128,,
0:50.0,,,109-128,,Defensive rebound by P. Connaughton
0:25.0,,,109-131,3,T. Quarterman makes 3-pt shot from 28 ft (assist by N. Vonleh)
0:20.0,Turnover by J. Young (lost ball; steal by S. Napier),,109-131,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
