time,Toronto,pts.away,score,pts.home,Minnesota
0:34.0,,,105-106,,Defensive rebound by S. Muhammad
0:34.0,Personal foul by D. Carroll (drawn by S. Muhammad),,105-106,,
0:34.0,,,105-107,1,S. Muhammad makes free throw 1 of 2
0:34.0,,,105-107,,S. Muhammad misses free throw 2 of 2
0:34.0,J. Valanciunas enters the game for N. Powell,,105-107,,
0:33.0,Defensive rebound by J. Valanciunas,,105-107,,
0:33.0,Toronto full timeout,,105-107,,
0:33.0,C. Joseph enters the game for L. Nogueira,,105-107,,
0:30.0,D. DeRozan makes 2-pt shot from 1 ft,2,107-107,,
0:30.0,,,107-107,,Minnesota full timeout
0:20.0,,,107-110,3,T. Jones makes 3-pt shot from 25 ft (assist by A. Wiggins)
0:20.0,Toronto full timeout,,107-110,,
0:20.0,T. Ross enters the game for C. Joseph,,107-110,,
0:13.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,109-110,,
0:13.0,,,109-110,,Minnesota full timeout
0:13.0,C. Joseph enters the game for T. Ross,,109-110,,
0:13.0,,,109-110,,R. Rubio enters the game for S. Muhammad
0:11.0,Personal foul by C. Joseph (drawn by A. Wiggins),,109-110,,
0:11.0,,,109-111,1,A. Wiggins makes free throw 1 of 2
0:11.0,,,109-112,1,A. Wiggins makes free throw 2 of 2
0:11.0,T. Ross enters the game for C. Joseph,,109-111,,
0:00.0,K. Lowry misses 3-pt shot from 22 ft,,109-112,,
0:00.0,Offensive rebound by Team,,109-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
