time,Phoenix,pts.away,score,pts.home,Milwaukee
1:27.0,E. Bledsoe misses 3-pt shot from 25 ft,,92-97,,
1:26.0,,,92-97,,Defensive rebound by K. Middleton
1:08.0,,,92-97,,G. Monroe misses 2-pt shot from 7 ft
1:07.0,Defensive rebound by A. Williams,,92-97,,
1:03.0,M. Chriss makes 2-pt shot from 1 ft (assist by D. Booker),2,94-97,,
0:47.0,,,94-97,,Turnover by K. Middleton (lost ball; steal by T. Warren)
0:45.0,M. Chriss makes 2-pt shot from 1 ft,2,96-97,,
0:45.0,,,96-97,,Milwaukee full timeout
0:45.0,,,96-97,,G. Antetokounmpo enters the game for M. Beasley
0:32.0,,,96-97,,K. Middleton misses 3-pt shot from 23 ft
0:31.0,Defensive rebound by D. Booker,,96-97,,
0:30.0,Shooting foul by T. Snell (drawn by M. Chriss),,96-97,,
0:30.0,M. Chriss misses free throw 1 of 2,,96-97,,
0:30.0,Offensive rebound by Team,,96-97,,
0:30.0,M. Chriss misses free throw 2 of 2,,96-97,,
0:30.0,,,96-97,,Defensive rebound by Team
0:30.0,,,96-97,,Milwaukee full timeout
0:08.0,,,96-100,3,T. Snell makes 3-pt shot from 24 ft (assist by M. Brogdon)
0:08.0,Phoenix full timeout,,96-100,,
0:08.0,,,96-100,,J. Terry enters the game for G. Monroe
0:01.0,D. Booker misses 3-pt shot from 29 ft,,96-100,,
0:00.0,Offensive rebound by A. Williams,,96-100,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
