time,Memphis,pts.away,score,pts.home,Toronto
2:10.0,T. Daniels makes free throw 2 of 2,1,77-80,,
2:03.0,Personal foul by W. Baldwin (drawn by C. Joseph),,77-80,,
2:03.0,,,77-81,1,C. Joseph makes free throw 1 of 2
2:03.0,,,77-82,1,C. Joseph makes free throw 2 of 2
2:03.0,J. Green enters the game for T. Allen,,77-81,,
1:51.0,T. Daniels misses 3-pt shot from 26 ft,,77-82,,
1:50.0,Offensive rebound by D. Davis,,77-82,,
1:48.0,D. Davis misses 2-pt shot from 1 ft,,77-82,,
1:46.0,Offensive rebound by J. Green,,77-82,,
1:46.0,J. Green makes 2-pt shot from 1 ft,2,79-82,,
1:27.0,,,79-82,,T. Ross misses 2-pt shot from 3 ft
1:26.0,,,79-82,,Offensive rebound by L. Nogueira
1:21.0,,,79-85,3,D. DeRozan makes 3-pt shot from 25 ft (assist by L. Nogueira)
1:05.0,W. Baldwin misses 2-pt shot from 3 ft,,79-85,,
1:05.0,,,79-85,,Defensive rebound by P. Patterson
0:53.0,,,79-85,,P. Patterson misses 2-pt shot from 4 ft
0:52.0,Defensive rebound by W. Baldwin,,79-85,,
0:45.0,T. Daniels makes 3-pt shot from 26 ft (assist by W. Baldwin),3,82-85,,
0:35.0,,,82-87,2,L. Nogueira makes 2-pt shot at rim (assist by C. Joseph)
0:21.0,Turnover by W. Baldwin (lost ball; steal by L. Nogueira),,82-87,,
0:16.0,,,82-87,,Shooting foul by J. Green (drawn by D. DeRozan)
0:16.0,,,82-88,1,D. DeRozan makes free throw 1 of 2
0:16.0,,,82-89,1,D. DeRozan makes free throw 2 of 2
0:16.0,A. Harrison enters the game for D. Davis,,82-88,,
0:16.0,,,82-88,,N. Powell enters the game for L. Nogueira
0:03.0,A. Harrison misses 2-pt shot from 5 ft,,82-89,,
0:02.0,,,82-89,,Defensive rebound by D. DeRozan
0:00.0,,,82-89,,D. DeRozan misses 3-pt shot from 46 ft
0:00.0,,,82-89,,Offensive rebound by Team
