time,Indiana,pts.away,score,pts.home,New York
0:18.0,,,79-87,1,C. Anthony makes free throw 1 of 2
0:18.0,,,79-87,,C. Anthony misses free throw 2 of 2
0:18.0,Defensive rebound by C. Miles,,79-87,,
0:18.0,Indiana full timeout,,79-87,,
0:17.0,R. Stuckey enters the game for T. Young,,79-87,,
0:15.0,C. Miles misses 3-pt shot from 23 ft,,79-87,,
0:14.0,Offensive rebound by J. Teague,,79-87,,
0:14.0,J. Teague makes 2-pt shot from 2 ft,2,81-87,,
0:12.0,,,81-87,,W. Hernangomez misses 2-pt shot from 3 ft
0:10.0,Defensive rebound by C. Miles,,81-87,,
0:03.0,P. George misses 3-pt shot from 26 ft,,81-87,,
0:02.0,,,81-87,,Defensive rebound by D. Rose
0:00.0,End of 4th quarter,,,,End of 4th quarter
