time,Minnesota,pts.away,score,pts.home,Chicago
2:08.0,,,91-89,2,J. Butler makes 2-pt shot at rim (assist by D. Wade)
1:46.0,Turnover by G. Dieng (bad pass; steal by J. Butler),,91-89,,
1:34.0,,,91-91,2,J. Butler makes 2-pt shot from 17 ft (assist by D. Wade)
1:19.0,A. Wiggins makes 2-pt shot from 22 ft (assist by R. Rubio),2,93-91,,
0:57.0,,,93-91,,D. Wade misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by R. Rubio,,93-91,,
0:52.0,Z. LaVine makes 2-pt shot from 1 ft (assist by R. Rubio),2,95-91,,
0:52.0,,,95-91,,Chicago full timeout
0:52.0,,,95-91,,N. Mirotic enters the game for T. Gibson
0:45.0,,,95-91,,J. Butler misses 2-pt shot from 19 ft
0:44.0,Defensive rebound by K. Towns,,95-91,,
0:27.0,K. Towns misses 2-pt shot from 14 ft,,95-91,,
0:26.0,,,95-91,,Defensive rebound by N. Mirotic
0:17.0,,,95-91,,D. Wade misses 2-pt shot from 1 ft (block by Z. LaVine)
0:16.0,Defensive rebound by A. Wiggins,,95-91,,
0:14.0,,,95-91,,Personal take foul by J. Butler (drawn by Z. LaVine)
0:14.0,,,95-91,,Technical foul by D. Wade
0:14.0,,,95-91,,Technical foul by D. Wade
0:14.0,R. Rubio makes technical free throw,1,96-91,,
0:14.0,R. Rubio makes technical free throw,1,97-91,,
0:14.0,Z. LaVine makes free throw 1 of 2,1,98-91,,
0:14.0,Z. LaVine makes free throw 2 of 2,1,99-91,,
0:14.0,,,99-91,,Chicago full timeout
0:14.0,,,95-91,,I. Canaan enters the game for D. Wade
0:14.0,,,98-91,,T. Gibson enters the game for N. Mirotic
0:14.0,,,99-91,,N. Mirotic enters the game for T. Gibson
0:09.0,,,99-94,3,J. Butler makes 3-pt shot from 26 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
