time,Memphis,pts.away,score,pts.home,Miami
0:28.0,,,108-105,,Defensive rebound by T. Johnson
0:18.0,,,108-107,2,D. Waiters makes 2-pt shot from 2 ft
0:11.0,,,108-107,,Personal foul by T. Johnson (drawn by M. Conley)
0:11.0,M. Conley makes free throw 1 of 2,1,109-107,,
0:11.0,M. Conley makes free throw 2 of 2,1,110-107,,
0:11.0,,,110-107,,Miami full timeout
0:11.0,T. Allen enters the game for V. Carter,,109-107,,
0:11.0,,,110-107,,R. McGruder enters the game for J. Johnson
0:01.0,,,110-107,,J. Richardson misses 3-pt shot from 25 ft
0:00.0,,,110-107,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
