time,Atlanta,pts.away,score,pts.home,Utah
3:01.0,,,63-89,,Defensive rebound by T. Lyles
2:58.0,,,63-89,,Utah full timeout
2:58.0,,,63-89,,R. Neto enters the game for T. Lyles
2:50.0,,,63-91,2,S. Mack makes 2-pt shot from 5 ft
2:35.0,Turnover by D. Bembry (bad pass),,63-91,,
2:15.0,,,63-91,,D. Exum misses 2-pt shot from 3 ft
2:15.0,Defensive rebound by T. Waller-Prince,,63-91,,
2:01.0,T. Hardaway misses 3-pt shot from 25 ft,,63-91,,
2:00.0,,,63-91,,Defensive rebound by J. Withey
1:46.0,,,63-93,2,J. Withey makes 2-pt shot from 2 ft (assist by S. Mack)
1:45.0,,,63-93,,Personal foul by S. Mack (drawn by T. Waller-Prince)
1:45.0,,,63-93,,J. Bolomboy enters the game for S. Mack
1:33.0,K. Humphries misses 3-pt shot from 24 ft (block by D. Exum),,63-93,,
1:31.0,,,63-93,,Defensive rebound by J. Bolomboy
1:27.0,,,63-93,,Turnover by J. Withey (offensive foul)
1:27.0,,,63-93,,Offensive foul by J. Withey
1:20.0,Turnover by T. Hardaway (lost ball; steal by D. Exum),,63-93,,
1:15.0,,,63-95,2,R. Neto makes 2-pt shot from 3 ft (assist by D. Exum)
1:04.0,R. Kelly makes 3-pt shot from 24 ft (assist by T. Waller-Prince),3,66-95,,
0:47.0,,,66-95,,D. Exum misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by R. Kelly,,66-95,,
0:36.0,T. Waller-Prince misses 2-pt shot from 7 ft,,66-95,,
0:35.0,,,66-95,,Defensive rebound by J. Bolomboy
0:18.0,,,66-95,,J. Ingles misses 3-pt shot from 23 ft
0:18.0,Defensive rebound by T. Waller-Prince,,66-95,,
0:09.0,D. Bembry makes 2-pt shot from 2 ft (assist by T. Waller-Prince),2,68-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
