time,Minnesota,pts.away,score,pts.home,Brooklyn
5:21.0,,,102-102,,Defensive rebound by S. Kilpatrick
5:16.0,,,102-104,2,S. Kilpatrick makes 2-pt shot from 1 ft
5:15.0,Minnesota full timeout,,102-104,,
5:15.0,K. Towns enters the game for G. Dieng,,102-104,,
5:04.0,A. Wiggins makes 2-pt shot from 19 ft,2,104-104,,
4:44.0,,,104-106,2,B. Lopez makes 2-pt shot from 2 ft
4:29.0,K. Towns misses 3-pt shot from 24 ft,,104-106,,
4:28.0,Offensive rebound by Team,,104-106,,
4:28.0,,,104-106,,Loose ball foul by R. Hollis-Jefferson (drawn by A. Wiggins)
4:09.0,Turnover by T. Jones (bad pass; steal by S. Kilpatrick),,104-106,,
4:00.0,,,104-106,,S. Kilpatrick misses 2-pt shot from 4 ft (block by K. Towns)
3:59.0,Defensive rebound by K. Towns,,104-106,,
3:58.0,,,104-106,,Personal foul by B. Lopez (drawn by A. Wiggins)
3:58.0,A. Wiggins makes free throw 1 of 2,1,105-106,,
3:58.0,A. Wiggins makes free throw 2 of 2,1,106-106,,
3:43.0,,,106-108,2,R. Hollis-Jefferson makes 2-pt shot from 8 ft
3:32.0,,,106-108,,Personal foul by R. Hollis-Jefferson (drawn by A. Wiggins)
3:32.0,A. Wiggins misses free throw 1 of 2,,106-108,,
3:32.0,Offensive rebound by Team,,106-108,,
3:32.0,A. Wiggins misses free throw 2 of 2,,106-108,,
3:31.0,,,106-108,,Defensive rebound by T. Booker
3:08.0,,,106-110,2,B. Lopez makes 2-pt shot from 1 ft
2:54.0,S. Muhammad misses 3-pt shot from 24 ft (block by T. Booker),,106-110,,
2:52.0,Offensive rebound by S. Muhammad,,106-110,,
2:50.0,S. Muhammad makes 2-pt shot from 1 ft,2,108-110,,
2:39.0,,,108-110,,Turnover by S. Kilpatrick (bad pass; steal by T. Jones)
2:27.0,Z. LaVine misses 2-pt shot from 1 ft,,108-110,,
2:26.0,,,108-110,,Defensive rebound by R. Hollis-Jefferson
2:10.0,,,108-110,,S. Kilpatrick misses 3-pt shot from 25 ft
2:09.0,Defensive rebound by K. Towns,,108-110,,
1:47.0,S. Muhammad misses 2-pt shot from 9 ft,,108-110,,
1:46.0,Offensive rebound by A. Wiggins,,108-110,,
1:45.0,Turnover by Team (shot clock),,108-110,,
1:34.0,,,108-110,,Shooting foul by S. Muhammad (drawn by S. Kilpatrick)
1:34.0,,,108-111,1,S. Kilpatrick makes free throw 1 of 2
1:34.0,,,108-112,1,S. Kilpatrick makes free throw 2 of 2
1:34.0,Minnesota full timeout,,108-112,,
1:25.0,Z. LaVine misses 2-pt shot from 16 ft,,108-112,,
1:24.0,,,108-112,,Defensive rebound by S. Kilpatrick
1:01.0,,,108-112,,T. Booker misses 2-pt shot from 1 ft
1:00.0,Defensive rebound by A. Wiggins,,108-112,,
0:56.0,A. Wiggins makes 2-pt shot from 19 ft,2,110-112,,
0:37.0,,,110-115,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by B. Lopez)
0:37.0,Minnesota full timeout,,110-115,,
0:37.0,,,110-115,,I. Whitehead enters the game for B. Lopez
0:29.0,Z. LaVine misses 3-pt shot from 25 ft,,110-115,,
0:28.0,,,110-115,,Defensive rebound by R. Hollis-Jefferson
0:23.0,,,110-115,,Turnover by R. Hollis-Jefferson (bad pass; steal by A. Wiggins)
0:19.0,Turnover by A. Wiggins (bad pass; steal by B. Bogdanovic),,110-115,,
0:16.0,Personal foul by A. Wiggins (drawn by I. Whitehead),,110-115,,
0:16.0,,,110-116,1,I. Whitehead makes free throw 1 of 2
0:16.0,,,110-117,1,I. Whitehead makes free throw 2 of 2
0:16.0,Minnesota full timeout,,110-117,,
0:12.0,K. Towns misses 2-pt shot from 3 ft,,110-117,,
0:11.0,,,110-117,,Defensive rebound by B. Bogdanovic
0:08.0,Personal foul by S. Muhammad (drawn by B. Bogdanovic),,110-117,,
0:08.0,,,110-118,1,B. Bogdanovic makes free throw 1 of 2
0:08.0,,,110-119,1,B. Bogdanovic makes free throw 2 of 2
0:04.0,Turnover by A. Wiggins (lost ball),,110-119,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
