time,Minnesota,pts.away,score,pts.home,Charlotte
7:35.0,,,84-87,,Violation by C. Zeller (def goaltending)
7:35.0,N. Bjelica makes 2-pt shot from 2 ft (assist by K. Dunn),2,86-87,,
7:26.0,,,86-87,,Turnover by J. Lamb (lost ball; steal by C. Aldrich)
7:21.0,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine),2,88-87,,
7:05.0,,,88-89,2,K. Walker makes 2-pt shot from 2 ft
6:52.0,N. Bjelica misses 3-pt shot from 26 ft,,88-89,,
6:50.0,,,88-89,,Defensive rebound by J. Lamb
6:36.0,Violation by C. Aldrich (def goaltending),,88-89,,
6:36.0,,,88-91,2,F. Kaminsky makes 2-pt shot from 1 ft
6:20.0,Z. LaVine misses 3-pt shot from 25 ft,,88-91,,
6:18.0,Offensive rebound by C. Aldrich,,88-91,,
6:10.0,Z. LaVine misses 2-pt shot from 2 ft,,88-91,,
6:09.0,,,88-91,,Defensive rebound by J. Lamb
5:54.0,,,88-94,3,K. Walker makes 3-pt shot from 25 ft
5:53.0,Minnesota full timeout,,88-94,,
5:53.0,,,88-94,,M. Kidd-Gilchrist enters the game for M. Belinelli
5:53.0,,,88-94,,N. Batum enters the game for J. Lamb
5:53.0,K. Towns enters the game for S. Muhammad,,88-94,,
5:53.0,R. Rubio enters the game for C. Aldrich,,88-94,,
5:53.0,A. Wiggins enters the game for K. Dunn,,88-94,,
5:53.0,G. Dieng enters the game for N. Bjelica,,88-94,,
5:37.0,K. Towns misses 2-pt shot from 1 ft (block by C. Zeller),,88-94,,
5:37.0,Offensive rebound by Team,,88-94,,
5:33.0,Z. LaVine misses 3-pt shot from 25 ft,,88-94,,
5:33.0,,,88-94,,Defensive rebound by Team
5:13.0,,,88-97,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by K. Walker)
4:52.0,A. Wiggins misses 3-pt shot from 25 ft,,88-97,,
4:51.0,Offensive rebound by Z. LaVine,,88-97,,
4:36.0,A. Wiggins makes 3-pt shot from 26 ft (assist by Z. LaVine),3,91-97,,
4:08.0,,,91-97,,K. Walker misses 2-pt shot from 2 ft
4:07.0,,,91-97,,Offensive rebound by M. Kidd-Gilchrist
4:07.0,,,91-97,,Charlotte full timeout
3:58.0,,,91-97,,K. Walker misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by Team,,91-97,,
3:44.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,93-97,,
3:24.0,,,93-97,,Shooting foul by G. Dieng (drawn by M. Kidd-Gilchrist)
3:24.0,,,93-98,1,M. Kidd-Gilchrist makes free throw 1 of 2
3:24.0,,,93-99,1,M. Kidd-Gilchrist makes free throw 2 of 2
3:04.0,Z. LaVine makes 2-pt shot from 1 ft,2,95-99,,
2:49.0,,,95-99,,F. Kaminsky misses 2-pt shot from 1 ft
2:48.0,Defensive rebound by R. Rubio,,95-99,,
2:29.0,Z. LaVine misses 2-pt shot from 18 ft,,95-99,,
2:28.0,Offensive rebound by K. Towns,,95-99,,
2:28.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Towns),,95-99,,
2:28.0,K. Towns makes free throw 1 of 2,1,96-99,,
2:28.0,K. Towns makes free throw 2 of 2,1,97-99,,
2:17.0,,,97-99,,C. Zeller misses 2-pt shot from 1 ft
2:16.0,Defensive rebound by G. Dieng,,97-99,,
2:05.0,K. Towns misses 2-pt shot from 16 ft,,97-99,,
2:04.0,,,97-99,,Defensive rebound by C. Zeller
1:54.0,,,97-101,2,K. Walker makes 2-pt shot from 2 ft
1:42.0,Turnover by A. Wiggins (step out of bounds),,97-101,,
1:26.0,,,97-104,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by C. Zeller)
1:20.0,,,97-104,,Violation by N. Batum (kicked ball)
1:14.0,Z. LaVine misses 2-pt shot from 3 ft,,97-104,,
1:13.0,,,97-104,,Defensive rebound by F. Kaminsky
0:51.0,,,97-104,,F. Kaminsky misses 3-pt shot from 24 ft (block by K. Towns)
0:51.0,,,97-104,,Offensive rebound by F. Kaminsky
0:51.0,,,97-104,,F. Kaminsky misses 3-pt shot from 24 ft
0:51.0,,,97-104,,Offensive rebound by Team
0:51.0,,,97-104,,Turnover by Team (shot clock)
0:39.0,Z. LaVine makes 3-pt shot from 26 ft,3,100-104,,
0:39.0,Personal take foul by Z. LaVine (drawn by N. Batum),,100-104,,
0:38.0,,,100-104,,Turnover by K. Walker (step out of bounds)
0:32.0,R. Rubio makes 3-pt shot from 24 ft (assist by G. Dieng),3,103-104,,
0:32.0,,,103-104,,Charlotte full timeout
0:32.0,,,103-104,,M. Belinelli enters the game for M. Kidd-Gilchrist
0:15.0,,,103-106,2,K. Walker makes 2-pt shot from 7 ft
0:09.0,A. Wiggins makes 3-pt shot from 31 ft,3,106-106,,
0:09.0,,,106-106,,Charlotte full timeout
0:02.0,,,106-106,,K. Walker misses 2-pt shot from 16 ft
0:00.0,,,106-106,,Offensive rebound by C. Zeller
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:52.0,A. Wiggins makes 2-pt shot at rim (assist by K. Towns),2,108-106,,
4:27.0,,,108-106,,Shooting foul by R. Rubio (drawn by K. Walker)
4:27.0,,,108-106,,K. Walker misses free throw 1 of 2
4:27.0,,,108-106,,Offensive rebound by Team
4:27.0,,,108-106,,K. Walker misses free throw 2 of 2
4:25.0,Defensive rebound by G. Dieng,,108-106,,
4:12.0,G. Dieng makes 3-pt shot from 24 ft (assist by R. Rubio),3,111-106,,
4:01.0,,,111-106,,Turnover by K. Walker (bad pass; steal by R. Rubio)
3:58.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,113-106,,
3:58.0,,,113-106,,Charlotte full timeout
3:58.0,,,113-106,,M. Belinelli enters the game for M. Kidd-Gilchrist
3:38.0,,,113-109,3,N. Batum makes 3-pt shot from 25 ft (assist by F. Kaminsky)
3:24.0,K. Towns misses 2-pt shot at rim (block by C. Zeller),,113-109,,
3:22.0,,,113-109,,Defensive rebound by F. Kaminsky
3:20.0,,,113-109,,Turnover by F. Kaminsky (lost ball; steal by Z. LaVine)
3:02.0,Z. LaVine makes 2-pt shot from 21 ft,2,115-109,,
2:47.0,,,115-111,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by K. Walker)
2:27.0,A. Wiggins makes 2-pt shot from 2 ft,2,117-111,,
2:13.0,,,117-111,,F. Kaminsky misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by R. Rubio,,117-111,,
1:48.0,Z. LaVine misses 2-pt shot from 20 ft,,117-111,,
1:47.0,,,117-111,,Defensive rebound by C. Zeller
1:40.0,,,117-113,2,C. Zeller makes 2-pt shot from 5 ft (assist by N. Batum)
1:20.0,A. Wiggins misses 3-pt shot from 28 ft,,117-113,,
1:18.0,,,117-113,,Defensive rebound by Team
1:18.0,Personal foul by G. Dieng (drawn by C. Zeller),,117-113,,
1:10.0,,,117-113,,K. Walker misses 2-pt shot from 1 ft
1:09.0,Defensive rebound by K. Towns,,117-113,,
0:53.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,119-113,,
0:41.0,,,119-115,2,M. Belinelli makes 2-pt shot at rim (assist by N. Batum)
0:23.0,G. Dieng misses 3-pt shot from 23 ft,,119-115,,
0:21.0,Offensive rebound by K. Towns,,119-115,,
0:21.0,K. Towns makes 2-pt shot at rim,2,121-115,,
0:21.0,,,121-115,,Charlotte full timeout
0:20.0,,,121-118,3,M. Belinelli makes 3-pt shot from 25 ft (assist by F. Kaminsky)
0:20.0,Minnesota full timeout,,121-118,,
0:20.0,N. Bjelica enters the game for G. Dieng,,121-118,,
0:20.0,,,121-118,,M. Kidd-Gilchrist enters the game for M. Belinelli
0:15.0,,,121-118,,Personal take foul by K. Walker (drawn by Z. LaVine)
0:12.0,,,121-118,,Personal take foul by F. Kaminsky (drawn by A. Wiggins)
0:12.0,A. Wiggins makes free throw 1 of 2,1,122-118,,
0:12.0,A. Wiggins makes free throw 2 of 2,1,123-118,,
0:12.0,,,123-118,,Charlotte full timeout
0:12.0,,,123-118,,M. Belinelli enters the game for M. Kidd-Gilchrist
0:08.0,,,123-120,2,N. Batum makes 2-pt shot from 20 ft (assist by F. Kaminsky)
0:08.0,Minnesota full timeout,,123-120,,
0:07.0,,,123-120,,M. Kidd-Gilchrist enters the game for M. Belinelli
0:04.0,,,123-120,,Personal take foul by C. Zeller (drawn by K. Towns)
0:04.0,K. Towns makes free throw 1 of 2,1,124-120,,
0:04.0,K. Towns makes free throw 2 of 2,1,125-120,,
0:00.0,,,125-120,,K. Walker misses 3-pt shot from 26 ft (block by N. Bjelica)
0:00.0,,,125-120,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
