time,Denver,pts.away,score,pts.home,Toronto
5:11.0,,,99-95,,Personal foul by P. Patterson (drawn by D. Gallinari)
5:02.0,J. Nurkic misses 2-pt shot from 5 ft (block by J. Valanciunas),,99-95,,
5:01.0,,,99-95,,Defensive rebound by J. Valanciunas
4:53.0,,,99-95,,Turnover by K. Lowry (lost ball; steal by J. Nelson)
4:44.0,E. Mudiay misses 2-pt shot from 4 ft,,99-95,,
4:43.0,,,99-95,,Defensive rebound by J. Valanciunas
4:26.0,,,99-97,2,D. DeRozan makes 2-pt shot from 3 ft
4:26.0,Denver full timeout,,99-97,,
4:14.0,D. Gallinari misses 3-pt shot from 24 ft,,99-97,,
4:14.0,Offensive rebound by E. Mudiay,,99-97,,
4:14.0,Turnover by E. Mudiay (bad pass; steal by D. DeRozan),,99-97,,
3:57.0,,,99-97,,D. DeRozan misses 2-pt shot from 4 ft (block by J. Nurkic)
3:55.0,Defensive rebound by J. Nurkic,,99-97,,
3:39.0,E. Mudiay misses 2-pt shot from 11 ft,,99-97,,
3:39.0,,,99-97,,Defensive rebound by J. Valanciunas
3:24.0,,,99-99,2,K. Lowry makes 2-pt shot from 4 ft
3:10.0,J. Nelson misses 2-pt shot from 15 ft,,99-99,,
3:10.0,Offensive rebound by J. Nelson,,99-99,,
2:54.0,E. Mudiay makes 2-pt shot from 5 ft,2,101-99,,
2:37.0,,,101-99,,K. Lowry misses 3-pt shot from 29 ft
2:36.0,,,101-99,,Offensive rebound by J. Valanciunas
2:35.0,,,101-99,,J. Valanciunas misses 2-pt shot from 2 ft
2:34.0,,,101-99,,Offensive rebound by J. Valanciunas
2:21.0,,,101-101,2,D. DeRozan makes 2-pt shot from 2 ft
2:00.0,W. Chandler misses 3-pt shot from 25 ft,,101-101,,
2:00.0,,,101-101,,Defensive rebound by K. Lowry
1:36.0,,,101-103,2,K. Lowry makes 2-pt shot from 14 ft
1:21.0,J. Nelson misses 2-pt shot from 11 ft,,101-103,,
1:21.0,Offensive rebound by Team,,101-103,,
1:21.0,,,101-103,,Loose ball foul by J. Valanciunas (drawn by J. Nurkic)
1:21.0,J. Nurkic misses free throw 1 of 2,,101-103,,
1:21.0,Offensive rebound by Team,,101-103,,
1:21.0,,,101-103,,Toronto full timeout
1:21.0,J. Nurkic makes free throw 2 of 2,1,102-103,,
1:07.0,,,102-103,,D. DeRozan misses 2-pt shot from 16 ft
1:07.0,,,102-103,,Offensive rebound by P. Patterson
0:45.0,,,102-105,2,K. Lowry makes 2-pt shot from 3 ft
0:45.0,Denver full timeout,,102-105,,
0:38.0,D. Gallinari misses 3-pt shot from 28 ft,,102-105,,
0:37.0,,,102-105,,Defensive rebound by D. DeRozan
0:35.0,,,102-105,,Toronto full timeout
0:12.0,,,102-105,,K. Lowry misses 2-pt shot from 18 ft
0:12.0,,,102-105,,Offensive rebound by Team
0:12.0,,,102-105,,Turnover by Team (shot clock)
0:03.0,E. Mudiay misses 3-pt shot from 26 ft,,102-105,,
0:02.0,Offensive rebound by J. Nurkic,,102-105,,
0:00.0,J. Nurkic misses 2-pt shot at rim,,102-105,,
0:00.0,Offensive rebound by Team,,102-105,,
0:00.0,N. Jokic enters the game for E. Mudiay,,102-105,,
0:00.0,D. Gallinari misses 3-pt shot from 28 ft,,102-105,,
0:00.0,Offensive rebound by Team,,102-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
