time,New Orleans,pts.away,score,pts.home,Cleveland
2:39.0,,,82-85,1,L. James makes free throw 1 of 2
2:39.0,,,82-86,1,L. James makes free throw 2 of 2
2:39.0,,,82-85,,T. Thompson enters the game for C. Frye
2:21.0,D. Cunningham misses 2-pt shot from 7 ft,,82-86,,
2:20.0,Offensive rebound by A. Davis,,82-86,,
2:20.0,A. Davis misses 2-pt shot from 1 ft,,82-86,,
2:20.0,,,82-86,,Defensive rebound by Team
2:20.0,Loose ball foul by A. Davis (drawn by L. James),,82-86,,
2:20.0,,,82-87,1,L. James makes free throw 1 of 2
2:20.0,,,82-88,1,L. James makes free throw 2 of 2
2:12.0,Turnover by J. Holiday (dbl dribble),,82-88,,
2:12.0,,,82-88,,Cleveland full timeout
2:12.0,,,82-88,,C. Frye enters the game for T. Thompson
1:49.0,,,82-90,2,L. James makes 2-pt shot from 15 ft
1:30.0,A. Davis misses 3-pt shot from 26 ft,,82-90,,
1:29.0,,,82-90,,Defensive rebound by L. James
1:07.0,,,82-90,,L. James misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by A. Davis,,82-90,,
0:53.0,B. Hield misses 2-pt shot at rim (block by L. James),,82-90,,
0:52.0,,,82-90,,Defensive rebound by C. Frye
0:33.0,,,82-90,,Turnover by C. Frye (traveling)
0:33.0,New Orleans full timeout,,82-90,,
0:33.0,L. Galloway enters the game for D. Cunningham,,82-90,,
0:33.0,,,82-90,,D. Liggins enters the game for C. Frye
0:33.0,,,82-90,,T. Thompson enters the game for K. Felder
0:25.0,T. Evans misses 2-pt shot from 5 ft,,82-90,,
0:25.0,,,82-90,,Defensive rebound by R. Jefferson
0:01.0,,,82-90,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
