time,Houston,pts.away,score,pts.home,Washington
0:53.0,,,111-104,1,M. Gortat makes free throw 2 of 2
0:50.0,Turnover by J. Harden (lost ball; steal by M. Morris),,111-104,,
0:46.0,,,111-106,2,J. Wall makes 2-pt shot from 2 ft
0:42.0,Turnover by E. Gordon (bad pass; steal by O. Porter),,111-106,,
0:38.0,,,111-106,,B. Beal misses 3-pt shot from 27 ft
0:36.0,,,111-106,,Offensive rebound by B. Beal
0:33.0,,,111-106,,Washington full timeout
0:33.0,,,111-106,,Technical foul by J. Wall
0:33.0,J. Harden makes technical free throw,1,112-106,,
0:33.0,,,111-106,,M. Thornton enters the game for J. Wall
0:27.0,,,112-106,,Turnover by M. Gortat (bad pass; steal by E. Gordon)
0:16.0,,,112-106,,Personal foul by O. Porter (drawn by J. Harden)
0:15.0,,,112-106,,Personal foul by B. Beal (drawn by J. Harden)
0:15.0,J. Harden makes free throw 1 of 2,1,113-106,,
0:15.0,J. Harden makes free throw 2 of 2,1,114-106,,
0:07.0,,,114-106,,M. Thornton misses 3-pt shot from 32 ft
0:06.0,Defensive rebound by R. Anderson,,114-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
