time,Chicago,pts.away,score,pts.home,Miami
1:21.0,R. Rondo misses 2-pt shot from 8 ft,,90-87,,
1:20.0,,,90-87,,Defensive rebound by H. Whiteside
1:10.0,,,90-89,2,J. Winslow makes 2-pt shot from 3 ft
1:10.0,Chicago full timeout,,90-89,,
0:54.0,J. Butler makes 2-pt shot from 13 ft,2,92-89,,
0:42.0,,,92-89,,T. Johnson misses 3-pt shot from 25 ft
0:41.0,,,92-89,,Offensive rebound by D. Waiters
0:27.0,,,92-89,,D. Waiters misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by D. Wade,,92-89,,
0:21.0,,,92-89,,Personal block foul by J. Winslow (drawn by D. Wade)
0:19.0,,,92-89,,Personal foul by J. Richardson (drawn by J. Butler)
0:19.0,J. Butler makes free throw 1 of 2,1,93-89,,
0:19.0,J. Butler makes free throw 2 of 2,1,94-89,,
0:19.0,,,94-89,,Miami full timeout
0:19.0,T. Gibson enters the game for D. McDermott,,93-89,,
0:19.0,,,93-89,,J. Johnson enters the game for D. Waiters
0:19.0,,,94-89,,D. Waiters enters the game for J. Johnson
0:14.0,,,94-92,3,J. Richardson makes 3-pt shot from 23 ft (assist by D. Waiters)
0:14.0,Chicago full timeout,,94-92,,
0:14.0,,,94-92,,Personal foul by J. Winslow (drawn by D. Wade)
0:14.0,D. Wade makes free throw 1 of 2,1,95-92,,
0:14.0,D. Wade makes free throw 2 of 2,1,96-92,,
0:14.0,,,96-92,,Miami full timeout
0:14.0,,,94-92,,J. Johnson enters the game for H. Whiteside
0:14.0,D. McDermott enters the game for T. Gibson,,94-92,,
0:14.0,T. Gibson enters the game for D. McDermott,,95-92,,
0:14.0,I. Canaan enters the game for R. Lopez,,96-92,,
0:14.0,,,96-92,,L. Babbitt enters the game for J. Johnson
0:10.0,,,96-92,,J. Winslow misses 3-pt shot from 23 ft
0:09.0,Defensive rebound by R. Rondo,,96-92,,
0:08.0,,,96-92,,Personal foul by T. Johnson (drawn by R. Rondo)
0:08.0,R. Rondo makes free throw 1 of 2,1,97-92,,
0:08.0,R. Rondo makes free throw 2 of 2,1,98-92,,
0:08.0,,,97-92,,H. Whiteside enters the game for L. Babbitt
0:01.0,,,98-95,3,J. Richardson makes 3-pt shot from 25 ft (assist by D. Waiters)
0:00.0,End of 4th quarter,,,,End of 4th quarter
