time,LA Lakers,pts.away,score,pts.home,Toronto
2:18.0,Defensive rebound by T. Robinson,,80-106,,
2:10.0,M. World Peace misses 3-pt shot from 27 ft,,80-106,,
2:09.0,,,80-106,,Defensive rebound by N. Powell
1:51.0,,,80-108,2,F. VanVleet makes 2-pt shot from 4 ft
1:36.0,T. Black misses 2-pt shot from 3 ft (block by P. Siakam),,80-108,,
1:35.0,,,80-108,,Defensive rebound by N. Powell
1:29.0,,,80-108,,N. Powell misses 2-pt shot from 3 ft (block by M. World Peace)
1:28.0,,,80-108,,Offensive rebound by P. Siakam
1:18.0,,,80-111,3,B. Caboclo makes 3-pt shot from 25 ft (assist by J. Poeltl)
1:06.0,Turnover by M. Huertas (bad pass; steal by B. Caboclo),,80-111,,
1:01.0,,,80-113,2,P. Siakam makes 2-pt shot at rim (assist by B. Caboclo)
0:49.0,Shooting foul by P. Siakam (drawn by T. Robinson),,80-113,,
0:49.0,T. Robinson misses free throw 1 of 2,,80-113,,
0:49.0,Offensive rebound by Team,,80-113,,
0:49.0,T. Robinson misses free throw 2 of 2,,80-113,,
0:48.0,Offensive rebound by M. World Peace,,80-113,,
0:42.0,T. Robinson misses 2-pt shot from 16 ft,,80-113,,
0:41.0,,,80-113,,Defensive rebound by P. Siakam
0:34.0,,,80-113,,Offensive charge foul by B. Caboclo
0:34.0,,,80-113,,Turnover by B. Caboclo (offensive foul)
0:21.0,J. Calderon misses 3-pt shot from 24 ft,,80-113,,
0:20.0,,,80-113,,Defensive rebound by P. Siakam
0:00.0,End of 4th quarter,,,,End of 4th quarter
