time,Toronto,pts.away,score,pts.home,LA Lakers
4:55.0,D. DeRozan misses 2-pt shot from 14 ft,,110-96,,
4:51.0,Offensive rebound by J. Valanciunas,,110-96,,
4:51.0,J. Valanciunas makes 2-pt shot from 2 ft,2,112-96,,
4:35.0,,,112-96,,Shooting foul by P. Siakam (drawn by N. Young)
4:35.0,,,112-97,1,N. Young makes free throw 1 of 3
4:35.0,,,112-98,1,N. Young makes free throw 2 of 3
4:35.0,,,112-99,1,N. Young makes free throw 3 of 3
4:16.0,Turnover by J. Valanciunas (bad pass; steal by J. Randle),,112-99,,
4:12.0,,,112-101,2,J. Randle makes 2-pt shot from 2 ft
3:49.0,J. Valanciunas misses 2-pt shot at rim (block by J. Randle),,112-101,,
3:48.0,,,112-101,,Defensive rebound by D. Russell
3:36.0,,,112-103,2,D. Russell makes 2-pt shot from 8 ft
3:23.0,Offensive foul by J. Valanciunas,,112-103,,
3:23.0,Turnover by J. Valanciunas (offensive foul),,112-103,,
3:23.0,,,112-103,,LA Lakers full timeout
3:10.0,,,112-106,3,D. Russell makes 3-pt shot from 25 ft
2:46.0,Shooting foul by J. Randle (drawn by K. Lowry),,112-106,,
2:46.0,K. Lowry makes free throw 1 of 2,1,113-106,,
2:46.0,K. Lowry makes free throw 2 of 2,1,114-106,,
2:22.0,,,114-106,,Turnover by Team (shot clock)
2:22.0,Toronto full timeout,,114-106,,
2:22.0,T. Ross enters the game for P. Siakam,,114-106,,
2:05.0,K. Lowry makes 2-pt shot from 2 ft,2,116-106,,
1:52.0,,,116-109,3,N. Young makes 3-pt shot from 24 ft (assist by D. Russell)
1:34.0,D. DeRozan misses 2-pt shot from 15 ft,,116-109,,
1:32.0,Offensive rebound by K. Lowry,,116-109,,
1:26.0,T. Ross makes 3-pt shot from 25 ft (assist by C. Joseph),3,119-109,,
1:20.0,,,119-111,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
0:56.0,T. Ross misses 3-pt shot from 26 ft,,119-111,,
0:54.0,,,119-111,,Defensive rebound by B. Ingram
0:49.0,Personal foul by D. DeRozan (drawn by J. Randle),,119-111,,
0:43.0,,,119-114,3,D. Russell makes 3-pt shot from 26 ft (assist by B. Ingram)
0:34.0,K. Lowry makes 2-pt shot at rim,2,121-114,,
0:29.0,,,121-114,,Shooting foul by D. DeRozan (drawn by D. Russell)
0:29.0,,,121-114,,D. Russell misses free throw 1 of 2
0:29.0,,,121-114,,Offensive rebound by Team
0:29.0,,,121-114,,D. Russell misses free throw 2 of 2
0:27.0,,,121-114,,Offensive rebound by J. Randle
0:23.0,,,121-114,,N. Young misses 3-pt shot from 26 ft
0:23.0,Defensive rebound by K. Lowry,,121-114,,
0:23.0,,,121-114,,Personal take foul by D. Russell (drawn by K. Lowry)
0:23.0,K. Lowry makes free throw 1 of 2,1,122-114,,
0:23.0,K. Lowry makes free throw 2 of 2,1,123-114,,
0:18.0,,,123-114,,D. Russell misses 3-pt shot from 27 ft
0:16.0,Defensive rebound by K. Lowry,,123-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
