time,Washington,pts.away,score,pts.home,Indiana
2:40.0,,,96-101,,J. Teague misses 3-pt shot from 27 ft
2:38.0,,,96-101,,Offensive rebound by Team
2:30.0,,,96-103,2,P. George makes 2-pt shot from 19 ft
2:24.0,Shooting foul by M. Turner (drawn by J. Wall),,96-103,,
2:24.0,J. Wall makes free throw 1 of 2,1,97-103,,
2:24.0,J. Wall makes free throw 2 of 2,1,98-103,,
2:02.0,,,98-105,2,P. George makes 2-pt shot from 17 ft
1:51.0,Offensive foul by M. Gortat,,98-105,,
1:51.0,Turnover by M. Gortat (offensive foul),,98-105,,
1:33.0,,,98-105,,Turnover by P. George (bad pass; steal by M. Morris)
1:20.0,B. Beal makes 3-pt shot from 28 ft (assist by J. Wall),3,101-105,,
1:00.0,,,101-105,,P. George misses 3-pt shot from 26 ft
0:59.0,Defensive rebound by M. Morris,,101-105,,
0:53.0,J. Wall misses 3-pt shot from 27 ft,,101-105,,
0:53.0,Offensive rebound by O. Porter,,101-105,,
0:50.0,,,101-105,,Personal block foul by M. Turner (drawn by B. Beal)
0:50.0,B. Beal makes free throw 1 of 2,1,102-105,,
0:50.0,B. Beal makes free throw 2 of 2,1,103-105,,
0:50.0,,,103-105,,Indiana full timeout
0:50.0,,,101-105,,L. Allen enters the game for M. Turner
0:50.0,,,103-105,,A. Jefferson enters the game for L. Allen
0:38.0,,,103-105,,P. George misses 2-pt shot from 19 ft
0:37.0,Defensive rebound by M. Morris,,103-105,,
0:16.0,B. Beal makes 2-pt shot from 24 ft,2,105-105,,
0:16.0,,,105-105,,Indiana full timeout
0:16.0,,,105-105,,G. Robinson enters the game for A. Jefferson
0:05.0,Personal take foul by O. Porter (drawn by P. George),,105-105,,
0:05.0,,,105-105,,Indiana full timeout
0:05.0,K. Oubre enters the game for M. Gortat,,105-105,,
0:01.0,,,105-107,2,T. Young makes 2-pt shot from 10 ft
0:01.0,Washington full timeout,,105-107,,
0:01.0,M. Gortat enters the game for K. Oubre,,105-107,,
0:00.0,B. Beal misses 3-pt shot from 22 ft,,105-107,,
0:00.0,Offensive rebound by Team,,105-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
