time,Milwaukee,pts.away,score,pts.home,Minnesota
6:37.0,J. Parker misses free throw 1 of 2,,57-69,,
6:37.0,Offensive rebound by Team,,57-69,,
6:37.0,J. Parker makes free throw 2 of 2,1,58-69,,
6:31.0,,,58-71,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
6:30.0,Milwaukee full timeout,,58-71,,
6:14.0,J. Parker misses 3-pt shot from 25 ft,,58-71,,
6:11.0,Offensive rebound by M. Brogdon,,58-71,,
6:09.0,M. Brogdon makes 2-pt shot from 1 ft,2,60-71,,
5:42.0,,,60-71,,G. Dieng misses 2-pt shot from 16 ft
5:41.0,Defensive rebound by G. Antetokounmpo,,60-71,,
5:30.0,Turnover by G. Antetokounmpo (bad pass; steal by G. Dieng),,60-71,,
5:27.0,,,60-71,,Z. LaVine misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
5:26.0,,,60-71,,Offensive rebound by Team
5:26.0,G. Monroe enters the game for J. Henson,,60-71,,
5:26.0,J. Terry enters the game for M. Brogdon,,60-71,,
5:13.0,,,60-71,,K. Towns misses 3-pt shot from 25 ft
5:12.0,Defensive rebound by J. Terry,,60-71,,
5:06.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Terry),2,62-71,,
4:48.0,,,62-73,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
4:26.0,Turnover by G. Antetokounmpo (bad pass; steal by A. Wiggins),,62-73,,
4:21.0,,,62-75,2,Z. LaVine makes 2-pt shot from 1 ft (assist by A. Wiggins)
3:53.0,,,62-75,,Violation by K. Towns (def goaltending)
3:53.0,G. Monroe makes 2-pt shot from 6 ft (assist by G. Antetokounmpo),2,64-75,,
3:35.0,Violation by G. Monroe (kicked ball),,64-75,,
3:35.0,,,64-75,,S. Muhammad enters the game for Z. LaVine
3:35.0,M. Beasley enters the game for J. Parker,,64-75,,
3:22.0,,,64-78,3,S. Muhammad makes 3-pt shot from 25 ft (assist by R. Rubio)
3:11.0,,,64-78,,Personal block foul by A. Wiggins (drawn by G. Antetokounmpo)
3:03.0,G. Monroe makes 2-pt shot from 1 ft,2,66-78,,
2:45.0,,,66-78,,R. Rubio misses 3-pt shot from 24 ft
2:44.0,,,66-78,,Offensive rebound by K. Towns
2:36.0,,,66-80,2,G. Dieng makes 2-pt shot at rim (assist by A. Wiggins)
2:10.0,M. Beasley misses 2-pt shot from 5 ft (block by K. Towns),,66-80,,
2:09.0,,,66-80,,Defensive rebound by K. Towns
2:03.0,,,66-82,2,K. Towns makes 2-pt shot at rim (assist by A. Wiggins)
1:46.0,T. Snell misses 3-pt shot from 24 ft,,66-82,,
1:45.0,,,66-82,,Defensive rebound by K. Towns
1:42.0,,,66-82,,Turnover by R. Rubio (bad pass; steal by G. Antetokounmpo)
1:34.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,66-82,,
1:33.0,,,66-82,,Defensive rebound by G. Dieng
1:26.0,,,66-82,,Shooting foul by M. Beasley (drawn by K. Towns)
1:26.0,,,66-82,,Minnesota full timeout
1:26.0,,,66-82,,K. Towns misses free throw 1 of 2
1:26.0,,,66-82,,Offensive rebound by Team
1:26.0,,,66-83,1,K. Towns makes free throw 2 of 2
1:26.0,,,66-82,,K. Dunn enters the game for R. Rubio
1:26.0,M. Brogdon enters the game for T. Snell,,66-82,,
1:26.0,M. Teletovic enters the game for G. Monroe,,66-82,,
1:11.0,M. Teletovic makes 3-pt shot from 23 ft (assist by J. Terry),3,69-83,,
0:50.0,,,69-83,,Shooting foul by M. Beasley (drawn by A. Wiggins)
0:50.0,,,69-84,1,A. Wiggins makes free throw 1 of 2
0:50.0,,,69-85,1,A. Wiggins makes free throw 2 of 2
0:50.0,,,69-84,,N. Bjelica enters the game for K. Towns
0:39.0,Turnover by M. Beasley (lost ball),,69-85,,
0:23.0,,,69-85,,S. Muhammad misses 2-pt shot from 8 ft (block by M. Teletovic)
0:21.0,Defensive rebound by M. Beasley,,69-85,,
0:19.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Beasley),2,71-85,,
0:02.0,,,71-85,,A. Wiggins misses 2-pt shot from 19 ft
