time,Cleveland,pts.away,score,pts.home,Oklahoma City
5:58.0,,,97-99,,S. Adams misses 2-pt shot from 1 ft (block by L. James)
5:57.0,Defensive rebound by T. Thompson,,97-99,,
5:46.0,K. Irving makes 2-pt shot from 2 ft,2,99-99,,
5:31.0,,,99-101,2,R. Westbrook makes 2-pt shot from 16 ft
5:10.0,Turnover by D. Williams (lost ball),,99-101,,
5:10.0,Official timeout,,99-101,,
4:59.0,,,99-103,2,R. Westbrook makes 2-pt shot from 9 ft
4:44.0,K. Irving makes 2-pt shot from 1 ft,2,101-103,,
4:19.0,,,101-105,2,R. Westbrook makes 2-pt shot from 17 ft
3:51.0,T. Thompson misses 2-pt shot from 3 ft (block by J. Grant),,101-105,,
3:51.0,,,101-105,,Defensive rebound by V. Oladipo
3:43.0,,,101-107,2,R. Westbrook makes 2-pt shot from 17 ft
3:42.0,Cleveland full timeout,,101-107,,
3:42.0,K. Love enters the game for D. Williams,,101-107,,
3:19.0,L. James misses 2-pt shot from 14 ft,,101-107,,
3:18.0,,,101-107,,Defensive rebound by V. Oladipo
3:04.0,,,101-109,2,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook)
2:42.0,Turnover by K. Irving (lost ball; steal by R. Westbrook),,101-109,,
2:23.0,,,101-109,,Turnover by S. Adams (bad pass; steal by K. Love)
2:19.0,,,101-109,,Personal take foul by R. Westbrook (drawn by K. Irving)
2:12.0,K. Irving misses 2-pt shot from 2 ft (block by S. Adams),,101-109,,
2:11.0,,,101-109,,Defensive rebound by V. Oladipo
2:08.0,,,101-111,2,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook)
2:07.0,Cleveland full timeout,,101-111,,
1:54.0,K. Irving misses 2-pt shot from 2 ft (block by S. Adams),,101-111,,
1:54.0,Offensive rebound by T. Thompson,,101-111,,
1:54.0,T. Thompson makes 2-pt shot from 2 ft,2,103-111,,
1:54.0,Shooting foul by S. Adams (drawn by T. Thompson),,103-111,,
1:54.0,T. Thompson makes free throw 1 of 1,1,104-111,,
1:35.0,,,104-111,,R. Westbrook misses 2-pt shot from 2 ft
1:34.0,,,104-111,,Offensive rebound by A. Roberson
1:34.0,,,104-113,2,A. Roberson makes 2-pt shot at rim
1:26.0,Shooting foul by J. Grant (drawn by T. Thompson),,104-113,,
1:26.0,T. Thompson makes free throw 1 of 2,1,105-113,,
1:26.0,T. Thompson makes free throw 2 of 2,1,106-113,,
1:18.0,,,106-113,,Oklahoma City full timeout
1:07.0,,,106-116,3,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook)
1:07.0,Cleveland full timeout,,106-116,,
1:07.0,D. Williams enters the game for L. James,,106-116,,
1:07.0,D. Liggins enters the game for K. Love,,106-116,,
1:07.0,J. McRae enters the game for T. Thompson,,106-116,,
1:07.0,K. Felder enters the game for K. Irving,,106-116,,
1:07.0,J. Jones enters the game for K. Korver,,106-116,,
1:01.0,J. McRae misses 2-pt shot from 2 ft,,106-116,,
1:01.0,Jump ball: S. Adams vs. D. Williams (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. D. Williams (R. Westbrook gains possession)
1:01.0,,,106-116,,Defensive rebound by Team
0:41.0,,,106-116,,R. Westbrook misses 3-pt shot from 26 ft
0:40.0,,,106-116,,Offensive rebound by S. Adams
0:38.0,,,106-118,2,S. Adams makes 2-pt shot from 3 ft
0:38.0,,,106-118,,Shooting foul by D. Williams (drawn by S. Adams)
0:38.0,,,106-118,,S. Adams misses free throw 1 of 1
0:38.0,Defensive rebound by J. Jones,,106-118,,
0:38.0,,,106-118,,C. Payne enters the game for R. Westbrook
0:38.0,,,106-118,,A. Abrines enters the game for A. Roberson
0:25.0,J. Jones makes 3-pt shot from 25 ft (assist by D. Williams),3,109-118,,
0:01.0,,,109-118,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
