time,LA Clippers,pts.away,score,pts.home,Golden State
4:14.0,,,38-50,2,K. Durant makes 2-pt shot from 1 ft (assist by A. Iguodala)
3:51.0,B. Griffin makes 2-pt shot from 5 ft,2,40-50,,
3:30.0,,,40-50,,Shooting foul by J. Crawford (drawn by A. Iguodala)
3:30.0,,,40-51,1,A. Iguodala makes free throw 1 of 2
3:30.0,,,40-52,1,A. Iguodala makes free throw 2 of 2
3:30.0,J. Redick enters the game for J. Crawford,,40-51,,
3:30.0,D. Jordan enters the game for M. Speights,,40-51,,
3:30.0,,,40-51,,Z. Pachulia enters the game for S. Livingston
3:21.0,A. Rivers misses 2-pt shot from 16 ft,,40-52,,
3:19.0,,,40-52,,Defensive rebound by A. Iguodala
3:11.0,Personal foul by R. Felton (drawn by A. Iguodala),,40-52,,
3:02.0,,,40-52,,Turnover by S. Curry (bad pass)
2:52.0,B. Griffin makes 2-pt shot from 5 ft (assist by R. Felton),2,42-52,,
2:38.0,,,42-55,3,S. Curry makes 3-pt shot from 27 ft (assist by D. Green)
2:33.0,,,42-55,,Personal foul by Z. Pachulia (drawn by D. Jordan)
2:33.0,D. Jordan misses free throw 1 of 2,,42-55,,
2:33.0,Offensive rebound by Team,,42-55,,
2:33.0,D. Jordan misses free throw 2 of 2,,42-55,,
2:33.0,,,42-55,,K. Thompson enters the game for Z. Pachulia
2:32.0,Offensive rebound by R. Felton,,42-55,,
2:28.0,J. Redick makes 3-pt shot from 26 ft (assist by D. Jordan),3,45-55,,
2:14.0,,,45-57,2,K. Durant makes 2-pt shot from 9 ft
2:08.0,B. Griffin misses 2-pt shot from 3 ft (block by D. Green),,45-57,,
2:05.0,,,45-57,,Defensive rebound by A. Iguodala
2:01.0,,,45-59,2,D. Green makes 2-pt shot at rim (assist by A. Iguodala)
1:40.0,R. Felton misses 3-pt shot from 24 ft,,45-59,,
1:39.0,,,45-59,,Defensive rebound by D. Green
1:34.0,,,45-62,3,K. Thompson makes 3-pt shot from 23 ft (assist by K. Durant)
1:33.0,LA Clippers full timeout,,45-62,,
1:33.0,J. Crawford enters the game for R. Felton,,45-62,,
1:19.0,A. Rivers makes 2-pt shot from 7 ft,2,47-62,,
1:03.0,,,47-65,3,K. Durant makes 3-pt shot from 26 ft (assist by S. Curry)
0:53.0,A. Rivers makes 3-pt shot from 26 ft,3,50-65,,
0:43.0,,,50-67,2,K. Durant makes 2-pt shot at rim (assist by S. Curry)
0:38.0,,,50-67,,Personal foul by S. Curry (drawn by A. Rivers)
0:38.0,A. Rivers misses free throw 1 of 2,,50-67,,
0:38.0,Offensive rebound by Team,,50-67,,
0:38.0,A. Rivers makes free throw 2 of 2,1,51-67,,
0:29.0,,,51-69,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
0:05.0,J. Crawford misses 2-pt shot from 17 ft,,51-69,,
0:04.0,,,51-69,,Defensive rebound by S. Curry
0:02.0,,,51-72,3,S. Curry makes 3-pt shot from 51 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,B. Griffin misses 3-pt shot from 24 ft,,51-72,,
11:35.0,,,51-72,,Defensive rebound by S. Curry
11:20.0,,,51-74,2,S. Curry makes 2-pt shot from 14 ft (assist by K. Durant)
11:05.0,B. Griffin makes 2-pt shot from 1 ft (assist by L. Mbah a Moute),2,53-74,,
11:05.0,Shooting foul by Z. Pachulia (drawn by B. Griffin),,53-74,,
11:05.0,B. Griffin misses free throw 1 of 1,,53-74,,
11:04.0,,,53-74,,Defensive rebound by D. Green
10:51.0,,,53-76,2,K. Thompson makes 2-pt shot from 17 ft (assist by S. Curry)
10:30.0,Turnover by J. Redick (bad pass; steal by Z. Pachulia),,53-76,,
10:20.0,,,53-76,,D. Green misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by D. Jordan,,53-76,,
10:07.0,Shooting foul by D. Green (drawn by L. Mbah a Moute),,53-76,,
10:07.0,L. Mbah a Moute makes free throw 1 of 2,1,54-76,,
10:07.0,L. Mbah a Moute makes free throw 2 of 2,1,55-76,,
9:54.0,Personal foul by B. Griffin (drawn by D. Green),,55-76,,
9:46.0,,,55-78,2,S. Curry makes 2-pt shot from 1 ft
9:46.0,,,55-78,,Shooting foul by A. Rivers (drawn by S. Curry)
9:46.0,,,55-79,1,S. Curry makes free throw 1 of 1
9:34.0,Turnover by J. Redick (bad pass),,55-79,,
9:20.0,,,55-79,,Shooting foul by L. Mbah a Moute (drawn by K. Durant)
9:20.0,,,55-80,1,K. Durant makes free throw 1 of 2
9:20.0,,,55-81,1,K. Durant makes free throw 2 of 2
9:07.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by D. Green),,55-81,,
9:05.0,,,55-81,,Defensive rebound by Z. Pachulia
8:51.0,Personal foul by B. Griffin (drawn by Z. Pachulia),,55-81,,
8:48.0,,,55-81,,K. Thompson misses 3-pt shot from 27 ft
8:47.0,Defensive rebound by B. Griffin,,55-81,,
8:38.0,Shooting foul by Z. Pachulia (drawn by A. Rivers),,55-81,,
8:38.0,A. Rivers misses free throw 1 of 2,,55-81,,
8:38.0,Offensive rebound by Team,,55-81,,
8:38.0,A. Rivers makes free throw 2 of 2,1,56-81,,
8:28.0,,,56-83,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Curry)
8:14.0,B. Griffin makes 2-pt shot at rim (assist by A. Rivers),2,58-83,,
7:58.0,,,58-83,,Turnover by D. Green (bad pass; steal by A. Rivers)
7:52.0,A. Rivers misses 3-pt shot from 27 ft,,58-83,,
7:51.0,,,58-83,,Defensive rebound by S. Curry
