time,Philadelphia,pts.away,score,pts.home,Sacramento
4:56.0,,,86-87,,O. Casspi enters the game for G. Temple
4:56.0,,,86-87,,D. Collison enters the game for T. Lawson
4:34.0,,,86-87,,D. Cousins misses 3-pt shot from 25 ft
4:34.0,,,86-87,,Offensive rebound by A. Tolliver
4:30.0,,,86-87,,D. Collison misses 3-pt shot from 25 ft
4:29.0,Defensive rebound by E. Ilyasova,,86-87,,
4:19.0,S. Rodriguez makes 3-pt shot from 25 ft,3,89-87,,
4:14.0,,,89-87,,Sacramento full timeout
3:55.0,,,89-87,,Turnover by D. Cousins (bad pass; steal by J. Embiid)
3:47.0,R. Covington makes 2-pt shot from 2 ft (assist by D. Saric),2,91-87,,
3:30.0,,,91-89,2,D. Cousins makes 2-pt shot from 7 ft
3:20.0,Turnover by J. Embiid (bad pass),,91-89,,
3:06.0,,,91-89,,D. Cousins misses 2-pt shot from 13 ft
3:06.0,,,91-89,,Offensive rebound by Team
3:06.0,Loose ball foul by E. Ilyasova (drawn by D. Cousins),,91-89,,
3:06.0,,,91-90,1,D. Cousins makes free throw 1 of 2
3:06.0,,,91-91,1,D. Cousins makes free throw 2 of 2
2:47.0,S. Rodriguez makes 3-pt shot from 25 ft (assist by D. Saric),3,94-91,,
2:24.0,,,94-91,,Shooting foul by J. Embiid (drawn by D. Cousins)
2:24.0,,,94-92,1,D. Cousins makes free throw 1 of 2
2:24.0,,,94-93,1,D. Cousins makes free throw 2 of 2
2:24.0,,,94-92,,G. Temple enters the game for A. Tolliver
2:03.0,,,94-93,,Personal foul by R. Gay (drawn by E. Ilyasova)
2:03.0,E. Ilyasova misses free throw 1 of 2,,94-93,,
2:03.0,Offensive rebound by Team,,94-93,,
2:03.0,E. Ilyasova makes free throw 2 of 2,1,95-93,,
1:40.0,,,95-93,,R. Gay misses 2-pt shot from 9 ft
1:40.0,Defensive rebound by D. Saric,,95-93,,
1:21.0,J. Embiid misses 3-pt shot from 24 ft,,95-93,,
1:18.0,,,95-93,,Defensive rebound by D. Cousins
0:59.0,,,95-96,3,G. Temple makes 3-pt shot from 25 ft (assist by D. Cousins)
0:59.0,Philadelphia full timeout,,95-96,,
0:50.0,E. Ilyasova makes 2-pt shot from 7 ft,2,97-96,,
0:29.0,Violation by J. Embiid (kicked ball),,97-96,,
0:29.0,T. McConnell enters the game for S. Rodriguez,,97-96,,
0:21.0,,,97-99,3,D. Cousins makes 3-pt shot from 26 ft (assist by D. Collison)
0:21.0,Philadelphia full timeout,,97-99,,
0:21.0,S. Rodriguez enters the game for T. McConnell,,97-99,,
0:18.0,E. Ilyasova misses 2-pt shot from 13 ft,,97-99,,
0:17.0,,,97-99,,Defensive rebound by G. Temple
0:15.0,Personal foul by J. Embiid (drawn by G. Temple),,97-99,,
0:15.0,,,97-100,1,G. Temple makes free throw 1 of 2
0:15.0,,,97-101,1,G. Temple makes free throw 2 of 2
0:15.0,,,97-100,,T. Lawson enters the game for R. Gay
0:07.0,S. Rodriguez makes 3-pt shot from 25 ft,3,100-101,,
0:06.0,Personal take foul by R. Covington (drawn by D. Cousins),,100-101,,
0:06.0,,,100-101,,D. Cousins misses free throw 1 of 2
0:06.0,,,100-101,,Offensive rebound by Team
0:06.0,,,100-102,1,D. Cousins makes free throw 2 of 2
0:04.0,J. Embiid misses 3-pt shot from 25 ft (block by D. Cousins),,100-102,,
0:03.0,Offensive rebound by J. Embiid,,100-102,,
0:02.0,J. Embiid misses 3-pt shot from 28 ft,,100-102,,
0:00.0,Offensive rebound by Team,,100-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
