time,Portland,pts.away,score,pts.home,Golden State
6:56.0,Turnover by N. Vonleh (lost ball; steal by D. Green),,90-103,,
6:53.0,,,90-103,,D. Green misses 2-pt shot at rim
6:52.0,Defensive rebound by Team,,90-103,,
6:39.0,D. Lillard misses 3-pt shot from 28 ft,,90-103,,
6:38.0,Offensive rebound by D. Lillard,,90-103,,
6:36.0,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard),3,93-103,,
6:36.0,,,93-103,,Golden State full timeout
6:36.0,,,93-103,,K. Durant enters the game for D. Green
6:36.0,,,93-103,,S. Livingston enters the game for K. Thompson
6:36.0,,,93-103,,S. Curry enters the game for I. Clark
6:36.0,A. Aminu enters the game for N. Vonleh,,93-103,,
6:14.0,,,93-103,,S. Curry misses 2-pt shot from 14 ft
6:13.0,Defensive rebound by D. Lillard,,93-103,,
6:06.0,D. Lillard makes 2-pt shot from 1 ft,2,95-103,,
5:52.0,,,95-103,,Shooting foul by C. McCollum (drawn by S. Curry)
5:52.0,,,95-104,1,S. Curry makes free throw 1 of 2
5:52.0,,,95-105,1,S. Curry makes free throw 2 of 2
5:38.0,C. McCollum makes 2-pt shot from 1 ft,2,97-105,,
