time,Miami,pts.away,score,pts.home,Oklahoma City
8:05.0,,,67-90,,D. Sabonis enters the game for J. Lauvergne
7:46.0,J. Winslow misses 2-pt shot from 19 ft,,67-90,,
7:46.0,,,67-90,,Defensive rebound by D. Sabonis
7:30.0,,,67-90,,Turnover by A. Abrines (bad pass; steal by H. Whiteside)
7:20.0,Shooting foul by A. Abrines (drawn by T. Johnson),,67-90,,
7:20.0,T. Johnson makes free throw 1 of 2,1,68-90,,
7:20.0,T. Johnson makes free throw 2 of 2,1,69-90,,
7:20.0,D. Waiters enters the game for J. Winslow,,68-90,,
7:08.0,,,69-90,,J. Grant misses 2-pt shot from 15 ft
7:08.0,Defensive rebound by H. Whiteside,,69-90,,
6:51.0,J. Richardson misses 2-pt shot from 4 ft,,69-90,,
6:51.0,,,69-90,,Defensive rebound by A. Abrines
6:51.0,,,69-90,,Oklahoma City full timeout
6:51.0,,,69-90,,V. Oladipo enters the game for A. Abrines
6:51.0,,,69-90,,A. Roberson enters the game for J. Grant
6:33.0,,,69-90,,S. Christon misses 2-pt shot from 9 ft
6:32.0,Defensive rebound by T. Johnson,,69-90,,
6:19.0,T. Johnson misses 3-pt shot from 25 ft,,69-90,,
6:19.0,,,69-90,,Defensive rebound by D. Sabonis
5:55.0,,,69-90,,D. Sabonis misses 2-pt shot from 5 ft
5:53.0,Defensive rebound by H. Whiteside,,69-90,,
5:45.0,J. Richardson misses 3-pt shot from 25 ft,,69-90,,
5:45.0,,,69-90,,Defensive rebound by S. Christon
5:22.0,,,69-90,,D. Sabonis misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by Team,,69-90,,
5:06.0,J. Richardson makes 2-pt shot from 16 ft,2,71-90,,
4:43.0,,,71-90,,Offensive foul by S. Adams
4:43.0,,,71-90,,Turnover by S. Adams (offensive foul)
4:25.0,D. Waiters misses 2-pt shot from 17 ft,,71-90,,
4:25.0,Offensive rebound by Team,,71-90,,
4:25.0,R. McGruder enters the game for T. Johnson,,71-90,,
4:23.0,Turnover by J. Richardson (bad pass; steal by S. Adams),,71-90,,
