time,Boston,pts.away,score,pts.home,Golden State
1:45.0,A. Bradley makes 2-pt shot from 19 ft (assist by A. Horford),2,95-84,,
1:38.0,,,95-84,,Turnover by A. Iguodala (bad pass; steal by I. Thomas)
1:36.0,,,95-84,,Personal foul by A. Iguodala (drawn by I. Thomas)
1:36.0,I. Thomas makes free throw 1 of 2,1,96-84,,
1:36.0,I. Thomas makes free throw 2 of 2,1,97-84,,
1:36.0,,,96-84,,J. McAdoo enters the game for D. Green
1:36.0,,,96-84,,K. Looney enters the game for K. Thompson
1:36.0,,,96-84,,M. Barnes enters the game for S. Curry
1:36.0,,,96-84,,I. Clark enters the game for A. Iguodala
1:27.0,Personal foul by I. Thomas (drawn by P. McCaw),,97-84,,
1:14.0,,,97-84,,K. Looney misses 2-pt shot from 16 ft
1:13.0,Defensive rebound by J. Crowder,,97-84,,
0:56.0,I. Thomas misses 2-pt shot from 6 ft,,97-84,,
0:56.0,Offensive rebound by A. Bradley,,97-84,,
0:56.0,A. Bradley makes 2-pt shot at rim,2,99-84,,
0:48.0,,,99-84,,P. McCaw misses 3-pt shot from 27 ft
0:47.0,,,99-84,,Offensive rebound by K. Looney
0:45.0,Personal foul by M. Smart (drawn by K. Looney),,99-84,,
0:45.0,,,99-84,,K. Looney misses free throw 1 of 2
0:45.0,,,99-84,,Offensive rebound by Team
0:45.0,,,99-84,,K. Looney misses free throw 2 of 2
0:45.0,J. Jerebko enters the game for J. Crowder,,99-84,,
0:45.0,J. Mickey enters the game for A. Horford,,99-84,,
0:45.0,J. Brown enters the game for A. Bradley,,99-84,,
0:45.0,T. Rozier enters the game for I. Thomas,,99-84,,
0:45.0,T. Zeller enters the game for M. Smart,,99-84,,
0:44.0,Defensive rebound by J. Mickey,,99-84,,
0:30.0,J. Brown misses 2-pt shot from 15 ft,,99-84,,
0:29.0,,,99-84,,Defensive rebound by M. Barnes
0:20.0,,,99-86,2,I. Clark makes 2-pt shot from 2 ft (assist by P. McCaw)
0:00.0,End of 4th quarter,,,,End of 4th quarter
