time,Minnesota,pts.away,score,pts.home,Milwaukee
0:32.0,,,93-97,,G. Antetokounmpo misses 2-pt shot from 1 ft
0:30.0,Defensive rebound by N. Bjelica,,93-97,,
0:26.0,A. Wiggins misses 3-pt shot from 28 ft,,93-97,,
0:24.0,,,93-97,,Defensive rebound by K. Middleton
0:22.0,Personal take foul by R. Rubio (drawn by T. Snell),,93-97,,
0:22.0,,,93-97,,T. Snell misses free throw 1 of 2
0:22.0,,,93-97,,Offensive rebound by Team
0:22.0,,,93-98,1,T. Snell makes free throw 2 of 2
0:22.0,Minnesota full timeout,,93-98,,
0:20.0,K. Towns misses 2-pt shot from 11 ft,,93-98,,
0:19.0,,,93-98,,Defensive rebound by Team
0:19.0,Loose ball foul by N. Bjelica (drawn by K. Middleton),,93-98,,
0:19.0,,,93-99,1,K. Middleton makes free throw 1 of 2
0:19.0,,,93-100,1,K. Middleton makes free throw 2 of 2
0:13.0,A. Wiggins misses 3-pt shot from 27 ft,,93-100,,
0:12.0,,,93-100,,Defensive rebound by T. Snell
0:10.0,Personal take foul by N. Bjelica (drawn by T. Snell),,93-100,,
0:10.0,,,93-101,1,T. Snell makes free throw 1 of 2
0:10.0,,,93-102,1,T. Snell makes free throw 2 of 2
0:04.0,N. Bjelica makes 2-pt shot at rim (assist by R. Rubio),2,95-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
