time,Orlando,pts.away,score,pts.home,Phoenix
6:45.0,N. Vucevic enters the game for C. Watson,,93-92,,
6:45.0,,,93-92,,T. Warren enters the game for R. Price
6:25.0,,,93-94,2,T. Ulis makes 2-pt shot from 16 ft
6:24.0,Orlando full timeout,,93-94,,
6:08.0,E. Fournier misses 2-pt shot from 9 ft,,93-94,,
6:07.0,,,93-94,,Defensive rebound by T. Warren
5:43.0,,,93-94,,T. Ulis misses 2-pt shot from 4 ft
5:41.0,Defensive rebound by N. Vucevic,,93-94,,
5:33.0,E. Payton misses 2-pt shot from 3 ft (block by M. Chriss),,93-94,,
5:33.0,Offensive rebound by Team,,93-94,,
5:23.0,T. Ross misses 2-pt shot from 10 ft,,93-94,,
5:23.0,Offensive rebound by N. Vucevic,,93-94,,
5:19.0,N. Vucevic makes 2-pt shot from 1 ft,2,95-94,,
5:00.0,,,95-94,,J. Dudley misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by T. Ross,,95-94,,
4:53.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,97-94,,
4:52.0,,,97-94,,Phoenix full timeout
4:52.0,,,97-94,,D. Booker enters the game for J. Dudley
4:52.0,,,97-94,,A. Williams enters the game for D. Jones
4:37.0,,,97-96,2,T. Warren makes 2-pt shot from 5 ft
4:15.0,E. Fournier makes 3-pt shot from 27 ft,3,100-96,,
3:59.0,Personal foul by T. Ross (drawn by D. Booker),,100-96,,
3:52.0,,,100-98,2,D. Booker makes 2-pt shot from 2 ft
3:32.0,,,100-98,,Personal foul by T. Warren
3:29.0,,,100-98,,Personal foul by T. Ulis (drawn by N. Vucevic)
3:15.0,E. Fournier makes 2-pt shot from 2 ft,2,102-98,,
3:08.0,Personal foul by T. Ross (drawn by D. Booker),,102-98,,
3:08.0,C. Watson enters the game for T. Ross,,102-98,,
2:59.0,,,102-98,,T. Warren misses 2-pt shot from 13 ft
2:58.0,Defensive rebound by N. Vucevic,,102-98,,
2:37.0,N. Vucevic misses 2-pt shot from 6 ft,,102-98,,
2:35.0,Offensive rebound by N. Vucevic,,102-98,,
2:35.0,N. Vucevic makes 2-pt shot from 1 ft,2,104-98,,
2:23.0,,,104-98,,Offensive charge foul by D. Booker
2:23.0,,,104-98,,Turnover by D. Booker (offensive foul)
2:23.0,T. Ross enters the game for C. Watson,,104-98,,
2:06.0,T. Ross makes 3-pt shot from 26 ft (assist by E. Fournier),3,107-98,,
2:06.0,,,107-98,,Phoenix full timeout
1:54.0,,,107-98,,Turnover by T. Warren (bad pass)
1:47.0,,,107-98,,Personal foul by T. Warren
1:35.0,E. Fournier misses 2-pt shot from 10 ft (block by T. Warren),,107-98,,
1:34.0,,,107-98,,Defensive rebound by A. Williams
1:29.0,,,107-100,2,D. Booker makes 2-pt shot from 1 ft (assist by A. Williams)
1:12.0,N. Vucevic misses 2-pt shot from 6 ft,,107-100,,
1:11.0,,,107-100,,Defensive rebound by A. Williams
1:00.0,,,107-100,,T. Ulis misses 2-pt shot from 10 ft
1:00.0,,,107-100,,Offensive rebound by Team
0:53.0,,,107-100,,T. Ulis misses 3-pt shot from 24 ft
0:51.0,Defensive rebound by N. Vucevic,,107-100,,
0:38.0,Turnover by T. Ross (bad pass; steal by D. Booker),,107-100,,
0:34.0,,,107-100,,D. Booker misses 2-pt shot from 1 ft
0:34.0,,,107-100,,Offensive rebound by T. Warren
0:34.0,,,107-100,,Shooting foul by T. Ross
0:34.0,,,107-101,1,T. Warren makes free throw 1 of 2
0:34.0,,,107-102,1,T. Warren makes free throw 2 of 2
0:34.0,Orlando full timeout,,107-102,,
0:34.0,C. Watson enters the game for T. Ross,,107-100,,
0:19.0,E. Fournier misses 3-pt shot from 24 ft,,107-102,,
0:19.0,,,107-102,,Defensive rebound by M. Chriss
0:11.0,,,107-102,,Shooting foul by E. Payton (drawn by T. Ulis)
0:11.0,,,107-102,,T. Ulis misses free throw 1 of 2
0:11.0,,,107-102,,Offensive rebound by Team
0:11.0,,,107-103,1,T. Ulis makes free throw 2 of 2
0:11.0,Orlando full timeout,,107-103,,
0:11.0,,,107-103,,D. Jones enters the game for D. Booker
0:11.0,J. Green enters the game for A. Gordon,,107-103,,
0:11.0,D. Augustin enters the game for E. Payton,,107-103,,
0:09.0,,,107-103,,Personal take foul by T. Warren
0:09.0,E. Fournier makes free throw 1 of 2,1,108-103,,
0:09.0,E. Fournier makes free throw 2 of 2,1,109-103,,
0:09.0,,,109-103,,Phoenix full timeout
0:09.0,E. Payton enters the game for D. Augustin,,108-103,,
0:09.0,A. Gordon enters the game for J. Green,,108-103,,
0:09.0,,,109-103,,D. Booker enters the game for T. Ulis
0:09.0,,,109-103,,J. Dudley enters the game for D. Jones
0:08.0,,,109-103,,D. Booker misses 3-pt shot from 25 ft (block by A. Gordon)
0:07.0,,,109-103,,Offensive rebound by Team
0:04.0,,,109-103,,J. Dudley misses 3-pt shot from 24 ft
0:03.0,Defensive rebound by E. Fournier,,109-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
