time,New York,pts.away,score,pts.home,San Antonio
5:32.0,Defensive rebound by D. Rose,,86-96,,
5:27.0,D. Rose makes 2-pt shot at rim,2,88-96,,
5:07.0,Violation by K. Porzingis (def goaltending),,88-96,,
5:07.0,,,88-98,2,P. Mills makes 2-pt shot from 1 ft (assist by L. Aldridge)
4:45.0,K. Porzingis misses 2-pt shot from 20 ft,,88-98,,
4:43.0,,,88-98,,Defensive rebound by K. Leonard
4:27.0,,,88-101,3,P. Gasol makes 3-pt shot from 24 ft (assist by K. Leonard)
4:05.0,K. Porzingis makes 2-pt shot from 3 ft (assist by W. Hernangomez),2,90-101,,
3:49.0,,,90-101,,P. Mills misses 3-pt shot from 23 ft
3:48.0,Defensive rebound by C. Lee,,90-101,,
3:42.0,J. Holiday misses 3-pt shot from 24 ft,,90-101,,
3:40.0,,,90-101,,Defensive rebound by J. Simmons
3:20.0,,,90-103,2,K. Leonard makes 2-pt shot from 18 ft (assist by L. Aldridge)
3:07.0,D. Rose misses 2-pt shot from 18 ft,,90-103,,
3:06.0,,,90-103,,Defensive rebound by P. Gasol
2:44.0,,,90-103,,J. Simmons misses 3-pt shot from 25 ft
2:42.0,,,90-103,,Offensive rebound by P. Gasol
2:30.0,,,90-103,,L. Aldridge misses 2-pt shot from 20 ft
2:27.0,Defensive rebound by J. Holiday,,90-103,,
2:27.0,New York full timeout,,90-103,,
2:27.0,,,90-103,,San Antonio full timeout
2:27.0,M. Kuzminskas enters the game for J. Holiday,,90-103,,
2:18.0,K. Porzingis makes 2-pt shot from 18 ft (assist by D. Rose),2,92-103,,
2:02.0,Personal foul by W. Hernangomez (drawn by L. Aldridge),,92-103,,
1:48.0,,,92-103,,P. Gasol misses 2-pt shot from 8 ft
1:48.0,,,92-103,,Offensive rebound by Team
1:48.0,Loose ball foul by W. Hernangomez (drawn by L. Aldridge),,92-103,,
1:37.0,,,92-106,3,K. Leonard makes 3-pt shot from 26 ft (assist by P. Gasol)
1:24.0,W. Hernangomez makes 2-pt shot from 2 ft (assist by C. Lee),2,94-106,,
1:24.0,,,94-106,,San Antonio full timeout
1:24.0,,,94-106,,K. Anderson enters the game for K. Leonard
1:24.0,,,94-106,,B. Forbes enters the game for L. Aldridge
1:24.0,,,94-106,,J. Anthony enters the game for P. Gasol
1:24.0,,,94-106,,D. Bertans enters the game for P. Mills
1:10.0,,,94-106,,Turnover by J. Simmons (traveling)
0:58.0,K. Porzingis makes 2-pt shot from 13 ft,2,96-106,,
0:41.0,,,96-106,,J. Simmons misses 3-pt shot from 24 ft
0:40.0,Defensive rebound by K. Porzingis,,96-106,,
0:30.0,M. Kuzminskas misses 2-pt shot from 3 ft (block by J. Anthony),,96-106,,
0:29.0,,,96-106,,Defensive rebound by B. Forbes
0:07.0,,,96-106,,Turnover by J. Simmons (lost ball; steal by K. Porzingis)
0:03.0,M. Kuzminskas makes 2-pt shot from 3 ft (assist by K. Porzingis),2,98-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
